Year,Series,Units,Geography,Value
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Toronto, Ontario",0.1284
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Montréal, Quebec",0.2237
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Vancouver, British Columbia",0.0566
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Calgary, Alberta",0.1205
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Ottawa - Gatineau, Ontario et Québec",0.1467
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Edmonton, Alberta",0.0742
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Winnipeg, Manitoba",0.2758
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Québec, Quebec",0.1232
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Kitchener, Ontario",0.0962
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"London, Ontario",0.1401
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Victoria, British Columbia",0.027
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Halifax, Nova Scotia",0.0287
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Windsor, Ontario",0.1335
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Saskatoon, Saskatchewan",0.1669
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"St. Catharines - Niagara Falls, Ontario",0.1305
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Regina, Saskatchewan",0.07
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Kelowna, British Columbia",0.0906
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"St. John's, Newfoundland and Labrador",0.0678
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Sherbrooke, Quebec",0.1055
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Barrie, Ontario",0.3196
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Guelph, Ontario",0.1346
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Trois-Rivières, Quebec",0.4297
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Kingston, Ontario",0.0755
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Moncton, New Brunswick",0.0329
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Milton, Ontario",0.1382
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Saint-Jérôme, Quebec",0.0528
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Nanaimo, British Columbia",0.0096
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Chicoutimi - Jonquière, Quebec",-1.6562
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Brantford, Ontario",0.2403
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Thunder Bay, Ontario",0.5415
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Red Deer, Alberta",0.151
2011-2021,Ratio of land consumption rate to population growth rate,Ratio,"Sudbury, Ontario",0.0199
2011-2021,Land consumption rate,Percentage (%),"Toronto, Ontario",0.0012
2011-2021,Land consumption rate,Percentage (%),"Montréal, Quebec",0.0018
2011-2021,Land consumption rate,Percentage (%),"Vancouver, British Columbia",0.0008
2011-2021,Land consumption rate,Percentage (%),"Calgary, Alberta",0.0023
2011-2021,Land consumption rate,Percentage (%),"Ottawa - Gatineau, Ontario et Québec",0.0019
2011-2021,Land consumption rate,Percentage (%),"Edmonton, Alberta",0.0015
2011-2021,Land consumption rate,Percentage (%),"Winnipeg, Manitoba",0.0034
2011-2021,Land consumption rate,Percentage (%),"Québec, Quebec",0.0008
2011-2021,Land consumption rate,Percentage (%),"Kitchener, Ontario",0.0015
2011-2021,Land consumption rate,Percentage (%),"London, Ontario",0.002
2011-2021,Land consumption rate,Percentage (%),"Victoria, British Columbia",0.0004
2011-2021,Land consumption rate,Percentage (%),"Halifax, Nova Scotia",0.0004
2011-2021,Land consumption rate,Percentage (%),"Windsor, Ontario",0.0012
2011-2021,Land consumption rate,Percentage (%),"Saskatoon, Saskatchewan",0.003
2011-2021,Land consumption rate,Percentage (%),"St. Catharines - Niagara Falls, Ontario",0.0012
2011-2021,Land consumption rate,Percentage (%),"Regina, Saskatchewan",0.0011
2011-2021,Land consumption rate,Percentage (%),"Kelowna, British Columbia",0.0019
2011-2021,Land consumption rate,Percentage (%),"St. John's, Newfoundland and Labrador",0.0004
2011-2021,Land consumption rate,Percentage (%),"Sherbrooke, Quebec",0.0012
2011-2021,Land consumption rate,Percentage (%),"Barrie, Ontario",0.0028
2011-2021,Land consumption rate,Percentage (%),"Guelph, Ontario",0.0022
2011-2021,Land consumption rate,Percentage (%),"Trois-Rivières, Quebec",0.0026
2011-2021,Land consumption rate,Percentage (%),"Kingston, Ontario",0.0006
2011-2021,Land consumption rate,Percentage (%),"Moncton, New Brunswick",0.0005
2011-2021,Land consumption rate,Percentage (%),"Milton, Ontario",0.0066
2011-2021,Land consumption rate,Percentage (%),"Saint-Jérôme, Quebec",0.0011
2011-2021,Land consumption rate,Percentage (%),"Nanaimo, British Columbia",0.0002
2011-2021,Land consumption rate,Percentage (%),"Chicoutimi - Jonquière, Quebec",0.0018
2011-2021,Land consumption rate,Percentage (%),"Brantford, Ontario",0.0025
2011-2021,Land consumption rate,Percentage (%),"Thunder Bay, Ontario",0.0004
2011-2021,Land consumption rate,Percentage (%),"Red Deer, Alberta",0.0017
2011-2021,Land consumption rate,Percentage (%),"Sudbury, Ontario",0.0001
2011-2021,Population growth rate,Percentage (%),"Toronto, Ontario",0.0096
2011-2021,Population growth rate,Percentage (%),"Montréal, Quebec",0.0079
2011-2021,Population growth rate,Percentage (%),"Vancouver, British Columbia",0.0134
2011-2021,Population growth rate,Percentage (%),"Calgary, Alberta",0.0193
2011-2021,Population growth rate,Percentage (%),"Ottawa - Gatineau, Ontario et Québec",0.0131
2011-2021,Population growth rate,Percentage (%),"Edmonton, Alberta",0.0205
2011-2021,Population growth rate,Percentage (%),"Winnipeg, Manitoba",0.0122
2011-2021,Population growth rate,Percentage (%),"Québec, Quebec",0.0067
2011-2021,Population growth rate,Percentage (%),"Kitchener, Ontario",0.0152
2011-2021,Population growth rate,Percentage (%),"London, Ontario",0.0143
2011-2021,Population growth rate,Percentage (%),"Victoria, British Columbia",0.0139
2011-2021,Population growth rate,Percentage (%),"Halifax, Nova Scotia",0.0124
2011-2021,Population growth rate,Percentage (%),"Windsor, Ontario",0.0093
2011-2021,Population growth rate,Percentage (%),"Saskatoon, Saskatchewan",0.0181
2011-2021,Population growth rate,Percentage (%),"St. Catharines - Niagara Falls, Ontario",0.0091
2011-2021,Population growth rate,Percentage (%),"Regina, Saskatchewan",0.0155
2011-2021,Population growth rate,Percentage (%),"Kelowna, British Columbia",0.0207
2011-2021,Population growth rate,Percentage (%),"St. John's, Newfoundland and Labrador",0.006
2011-2021,Population growth rate,Percentage (%),"Sherbrooke, Quebec",0.0113
2011-2021,Population growth rate,Percentage (%),"Barrie, Ontario",0.0089
2011-2021,Population growth rate,Percentage (%),"Guelph, Ontario",0.0163
2011-2021,Population growth rate,Percentage (%),"Trois-Rivières, Quebec",0.0059
2011-2021,Population growth rate,Percentage (%),"Kingston, Ontario",0.0082
2011-2021,Population growth rate,Percentage (%),"Moncton, New Brunswick",0.0146
2011-2021,Population growth rate,Percentage (%),"Milton, Ontario",0.048
2011-2021,Population growth rate,Percentage (%),"Saint-Jérôme, Quebec",0.0205
2011-2021,Population growth rate,Percentage (%),"Nanaimo, British Columbia",0.0168
2011-2021,Population growth rate,Percentage (%),"Chicoutimi - Jonquière, Quebec",-0.0011
2011-2021,Population growth rate,Percentage (%),"Brantford, Ontario",0.0102
2011-2021,Population growth rate,Percentage (%),"Thunder Bay, Ontario",0.0008
2011-2021,Population growth rate,Percentage (%),"Red Deer, Alberta",0.0109
2011-2021,Population growth rate,Percentage (%),"Sudbury, Ontario",0.0044
