Year,Units,Series,Value
2015-2016,Percentage (%),Forest area net change rate,-0.01
2016-2017,Percentage (%),Forest area net change rate,-0.01
2017-2018,Percentage (%),Forest area net change rate,-0.01
2018-2019,Percentage (%),Forest area net change rate,-0.01
2019-2020,Percentage (%),Forest area net change rate,-0.01
2010,Tonnes/hectare,Above-ground biomass stock in forest,91.16
2015,Tonnes/hectare,Above-ground biomass stock in forest,90.49
2016,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2017,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2018,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2019,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2020,Tonnes/hectare,Above-ground biomass stock in forest,90.43
2010,Percentage (%),Proportion of forest area located within legally established protected areas,8.13
2015,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2016,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2017,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2018,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2019,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2020,Percentage (%),Proportion of forest area located within legally established protected areas,8.5
2010,Percentage (%),Proportion of forest area under a long-term forest management plan,54.12
2015,Percentage (%),Proportion of forest area under a long-term forest management plan,54.35
2016,Percentage (%),Proportion of forest area under a long-term forest management plan,57.64
2017,Percentage (%),Proportion of forest area under a long-term forest management plan,57.64
2018,Percentage (%),Proportion of forest area under a long-term forest management plan,60.71
2019,Percentage (%),Proportion of forest area under a long-term forest management plan,60.82
2020,Percentage (%),Proportion of forest area under a long-term forest management plan,60.82
2000,Hectares (Millions),Forest area under an independently verified forest management certification scheme,5.0
2001,Hectares (Millions),Forest area under an independently verified forest management certification scheme,17.0
2002,Hectares (Millions),Forest area under an independently verified forest management certification scheme,28.0
2003,Hectares (Millions),Forest area under an independently verified forest management certification scheme,58.0
2004,Hectares (Millions),Forest area under an independently verified forest management certification scheme,86.0
2005,Hectares (Millions),Forest area under an independently verified forest management certification scheme,120.0
2006,Hectares (Millions),Forest area under an independently verified forest management certification scheme,124.0
2007,Hectares (Millions),Forest area under an independently verified forest management certification scheme,138.0
2008,Hectares (Millions),Forest area under an independently verified forest management certification scheme,146.0
2009,Hectares (Millions),Forest area under an independently verified forest management certification scheme,143.0
2010,Hectares (Millions),Forest area under an independently verified forest management certification scheme,150.0
2011,Hectares (Millions),Forest area under an independently verified forest management certification scheme,151.0
2012,Hectares (Millions),Forest area under an independently verified forest management certification scheme,148.0
2013,Hectares (Millions),Forest area under an independently verified forest management certification scheme,153.0
2014,Hectares (Millions),Forest area under an independently verified forest management certification scheme,161.0
2015,Hectares (Millions),Forest area under an independently verified forest management certification scheme,166.0
2016,Hectares (Millions),Forest area under an independently verified forest management certification scheme,168.0
2017,Hectares (Millions),Forest area under an independently verified forest management certification scheme,170.0
2018,Hectares (Millions),Forest area under an independently verified forest management certification scheme,164.0
2019,Hectares (Millions),Forest area under an independently verified forest management certification scheme,168.0
2020,Hectares (Millions),Forest area under an independently verified forest management certification scheme,164.0
2021,Hectares (Millions),Forest area under an independently verified forest management certification scheme,158.0
2022,Hectares (Millions),Forest area under an independently verified forest management certification scheme,155.0
2023,Hectares (Millions),Forest area under an independently verified forest management certification scheme,160.0
