Year,Series,Species group,System,Value
1970,By species group,,,0.0
1971,By species group,,,1.45
1972,By species group,,,2.66
1973,By species group,,,3.52
1974,By species group,,,3.98
1975,By species group,,,4.53
1976,By species group,,,4.85
1977,By species group,,,5.03
1978,By species group,,,5.59
1979,By species group,,,6.34
1980,By species group,,,7.25
1981,By species group,,,8.03
1982,By species group,,,8.01
1983,By species group,,,8.11
1984,By species group,,,8.97
1985,By species group,,,9.7
1986,By species group,,,10.02
1987,By species group,,,8.85
1988,By species group,,,8.06
1989,By species group,,,7.23
1990,By species group,,,6.96
1991,By species group,,,6.58
1992,By species group,,,6.3
1993,By species group,,,6.5
1994,By species group,,,7.07
1995,By species group,,,7.15
1996,By species group,,,6.95
1997,By species group,,,6.52
1998,By species group,,,5.27
1999,By species group,,,4.17
2000,By species group,,,3.31
2001,By species group,,,2.77
2002,By species group,,,2.07
2003,By species group,,,1.59
2004,By species group,,,1.07
2005,By species group,,,1.17
2006,By species group,,,1.32
2007,By species group,,,1.17
2008,By species group,,,0.43
2009,By species group,,,-0.14
2010,By species group,,,-0.76
2011,By species group,,,-1.28
2012,By species group,,,-2.59
2013,By species group,,,-4.32
2014,By species group,,,-5.86
2015,By species group,,,-6.61
2016,By species group,,,-6.44
2017,By species group,,,-7.48
2018,By species group,,,-7.43
1970,By species group,Birds index,,0.0
1971,By species group,Birds index,,1.27
1972,By species group,Birds index,,2.57
1973,By species group,Birds index,,3.96
1974,By species group,Birds index,,5.58
1975,By species group,Birds index,,7.11
1976,By species group,Birds index,,8.36
1977,By species group,Birds index,,9.23
1978,By species group,Birds index,,9.96
1979,By species group,Birds index,,10.83
1980,By species group,Birds index,,11.78
1981,By species group,Birds index,,12.6
1982,By species group,Birds index,,13.19
1983,By species group,Birds index,,13.7
1984,By species group,Birds index,,15.24
1985,By species group,Birds index,,16.79
1986,By species group,Birds index,,18.13
1987,By species group,Birds index,,17.71
1988,By species group,Birds index,,17.72
1989,By species group,Birds index,,17.83
1990,By species group,Birds index,,18.03
1991,By species group,Birds index,,18.27
1992,By species group,Birds index,,18.49
1993,By species group,Birds index,,18.56
1994,By species group,Birds index,,18.38
1995,By species group,Birds index,,17.98
1996,By species group,Birds index,,17.32
1997,By species group,Birds index,,16.44
1998,By species group,Birds index,,15.4
1999,By species group,Birds index,,14.2
2000,By species group,Birds index,,12.93
2001,By species group,Birds index,,12.11
2002,By species group,Birds index,,11.12
2003,By species group,Birds index,,10.34
2004,By species group,Birds index,,10.53
2005,By species group,Birds index,,11.11
2006,By species group,Birds index,,11.57
2007,By species group,Birds index,,11.36
2008,By species group,Birds index,,10.53
2009,By species group,Birds index,,9.55
2010,By species group,Birds index,,8.89
2011,By species group,Birds index,,8.59
2012,By species group,Birds index,,8.25
2013,By species group,Birds index,,7.56
2014,By species group,Birds index,,6.74
2015,By species group,Birds index,,6.08
2016,By species group,Birds index,,5.73
2017,By species group,Birds index,,5.67
2018,By species group,Birds index,,5.79
1970,By species group,Mammals index,,0.0
1971,By species group,Mammals index,,-8.81
1972,By species group,Mammals index,,-15.93
1973,By species group,Mammals index,,-21.93
1974,By species group,Mammals index,,-30.66
