Year,Size,Characteristics,Value
2001,Small-scale food producers,Total,8466
2006,Small-scale food producers,Total,8414
2011,Small-scale food producers,Total,9044
2016,Small-scale food producers,Total,12337
2021,Small-scale food producers,Total,14745
2001,Small-scale food producers,Male,9538
2006,Small-scale food producers,Male,9472
2011,Small-scale food producers,Male,10157
2016,Small-scale food producers,Male,13877
2021,Small-scale food producers,Male,16371
2001,Small-scale food producers,Female,5882
2006,Small-scale food producers,Female,6045
2011,Small-scale food producers,Female,6580
2016,Small-scale food producers,Female,9227
2021,Small-scale food producers,Female,11653
2001,Small-scale food producers,Under 35 years,8068
2006,Small-scale food producers,Under 35 years,7988
2011,Small-scale food producers,Under 35 years,8472
2016,Small-scale food producers,Under 35 years,11653
2021,Small-scale food producers,Under 35 years,15645
2001,Small-scale food producers,35 to 54 years,8135
2006,Small-scale food producers,35 to 54 years,8100
2011,Small-scale food producers,35 to 54 years,8768
2016,Small-scale food producers,35 to 54 years,11628
2021,Small-scale food producers,35 to 54 years,14172
2001,Small-scale food producers,55 years and over,8962
2006,Small-scale food producers,55 years and over,8790
2011,Small-scale food producers,55 years and over,9298
2016,Small-scale food producers,55 years and over,12808
2021,Small-scale food producers,55 years and over,14873
2001,Medium-Large scale food producers,Total,208074
2006,Medium-Large scale food producers,Total,247326
2011,Medium-Large scale food producers,Total,345676
2016,Medium-Large scale food producers,Total,513857
2021,Medium-Large scale food producers,Total,667966
2001,Medium-Large scale food producers,Male,236175
2006,Medium-Large scale food producers,Male,283770
2011,Medium-Large scale food producers,Male,400924
2016,Medium-Large scale food producers,Male,590083
2021,Medium-Large scale food producers,Male,768217
2001,Medium-Large scale food producers,Female,121400
2006,Medium-Large scale food producers,Female,142782
2011,Medium-Large scale food producers,Female,181330
2016,Medium-Large scale food producers,Female,295356
2021,Medium-Large scale food producers,Female,404423
2001,Medium-Large scale food producers,Under 35 years,164324
2006,Medium-Large scale food producers,Under 35 years,200479
2011,Medium-Large scale food producers,Under 35 years,284951
2016,Medium-Large scale food producers,Under 35 years,409277
2021,Medium-Large scale food producers,Under 35 years,527310
2001,Medium-Large scale food producers,35 to 54 years,243097
2006,Medium-Large scale food producers,35 to 54 years,286777
2011,Medium-Large scale food producers,35 to 54 years,411485
2016,Medium-Large scale food producers,35 to 54 years,547961
2021,Medium-Large scale food producers,35 to 54 years,782253
2001,Medium-Large scale food producers,55 years and over,162381
2006,Medium-Large scale food producers,55 years and over,203285
2011,Medium-Large scale food producers,55 years and over,288523
2016,Medium-Large scale food producers,55 years and over,508362
2021,Medium-Large scale food producers,55 years and over,622965
2001,,,131840
2006,,,155771
2011,,,216729
2016,,,319872
2021,,,398271
2001,Total,Male,153143
2006,Total,Male,183163
2011,Total,Male,258834
2016,Total,Male,381125
2021,Total,Male,475954
2001,Total,Female,72257
2006,Total,Female,84538
2011,Total,Female,105415
2016,Total,Female,167494
2021,Total,Female,220446
2001,Total,Under 35 years,112463
2006,Total,Under 35 years,138425
2011,Total,Under 35 years,204596
2016,Total,Under 35 years,278230
2021,Total,Under 35 years,355616
2001,Total,35 to 54 years,160692
2006,Total,35 to 54 years,189894
2011,Total,35 to 54 years,275738
2016,Total,35 to 54 years,363363
2021,Total,35 to 54 years,512631
2001,Total,55 years and over,93890
2006,Total,55 years and over,117549
2011,Total,55 years and over,165613
2016,Total,55 years and over,297855
2021,Total,55 years and over,345984
