Year,Causes of death,Age at time of death,Sex,Value
2015,Malignant neoplasms,All ages,Both sexes,215.0
2015,Diabetes mellitus,All ages,Both sexes,20.0
2015,Diseases of heart,All ages,Both sexes,143.8
2015,Essential hypertension and hypertensive renal disease,All ages,Both sexes,4.2
2015,Cerebrovascular diseases,All ages,Both sexes,38.5
2015,Atherosclerosis,All ages,Both sexes,1.6
2015,Aortic aneurysm and dissection,All ages,Both sexes,4.1
2015,Chronic lower respiratory diseases,All ages,Both sexes,35.1
2015,Pneumoconioses and chemical effects,All ages,Both sexes,0.3
2015,Pneumonitis due to solids and liquids,All ages,Both sexes,3.5
2015,Malignant neoplasms,All ages,Males,227.4
2015,Diabetes mellitus,All ages,Males,22.2
2015,Diseases of heart,All ages,Males,153.6
2015,Essential hypertension and hypertensive renal disease,All ages,Males,3.2
2015,Cerebrovascular diseases,All ages,Males,32.4
2015,Atherosclerosis,All ages,Males,1.4
2015,Aortic aneurysm and dissection,All ages,Males,5.0
2015,Chronic lower respiratory diseases,All ages,Males,35.1
2015,Pneumoconioses and chemical effects,All ages,Males,0.6
2015,Pneumonitis due to solids and liquids,All ages,Males,4.0
2015,Malignant neoplasms,All ages,Females,202.8
2015,Diabetes mellitus,All ages,Females,17.8
2015,Diseases of heart,All ages,Females,134.2
2015,Essential hypertension and hypertensive renal disease,All ages,Females,5.1
2015,Cerebrovascular diseases,All ages,Females,44.5
2015,Atherosclerosis,All ages,Females,1.7
2015,Aortic aneurysm and dissection,All ages,Females,3.3
2015,Chronic lower respiratory diseases,All ages,Females,35.1
2015,Pneumoconioses and chemical effects,All ages,Females,0.0
2015,Pneumonitis due to solids and liquids,All ages,Females,3.1
2015,Malignant neoplasms,1 to 14 years,Both sexes,2.4
2015,Diabetes mellitus,1 to 14 years,Both sexes,0.0
2015,Diseases of heart,1 to 14 years,Both sexes,0.3
2015,Essential hypertension and hypertensive renal disease,1 to 14 years,Both sexes,0.0
2015,Cerebrovascular diseases,1 to 14 years,Both sexes,0.2
2015,Atherosclerosis,1 to 14 years,Both sexes,0.0
2015,Aortic aneurysm and dissection,1 to 14 years,Both sexes,0.0
2015,Chronic lower respiratory diseases,1 to 14 years,Both sexes,0.1
2015,Pneumoconioses and chemical effects,1 to 14 years,Both sexes,0.0
2015,Pneumonitis due to solids and liquids,1 to 14 years,Both sexes,0.0
2015,Malignant neoplasms,1 to 14 years,Males,2.5
2015,Diabetes mellitus,1 to 14 years,Males,0.0
2015,Diseases of heart,1 to 14 years,Males,0.3
2015,Essential hypertension and hypertensive renal disease,1 to 14 years,Males,0.0
2015,Cerebrovascular diseases,1 to 14 years,Males,0.2
2015,Atherosclerosis,1 to 14 years,Males,0.0
2015,Aortic aneurysm and dissection,1 to 14 years,Males,0.0
2015,Chronic lower respiratory diseases,1 to 14 years,Males,0.1
2015,Pneumoconioses and chemical effects,1 to 14 years,Males,0.0
2015,Pneumonitis due to solids and liquids,1 to 14 years,Males,0.0
2015,Malignant neoplasms,1 to 14 years,Females,2.4
2015,Diabetes mellitus,1 to 14 years,Females,0.0
2015,Diseases of heart,1 to 14 years,Females,0.2
2015,Essential hypertension and hypertensive renal disease,1 to 14 years,Females,0.0
2015,Cerebrovascular diseases,1 to 14 years,Females,0.2
2015,Atherosclerosis,1 to 14 years,Females,0.0
2015,Aortic aneurysm and dissection,1 to 14 years,Females,0.0
2015,Chronic lower respiratory diseases,1 to 14 years,Females,0.2
2015,Pneumoconioses and chemical effects,1 to 14 years,Females,0.0
2015,Pneumonitis due to solids and liquids,1 to 14 years,Females,0.0
2015,Malignant neoplasms,1 to 4 years,Both sexes,2.1
2015,Diabetes mellitus,1 to 4 years,Both sexes,0.0
2015,Diseases of heart,1 to 4 years,Both sexes,0.6
2015,Essential hypertension and hypertensive renal disease,1 to 4 years,Both sexes,0.0
2015,Cerebrovascular diseases,1 to 4 years,Both sexes,0.1
