Year,Series,Antigen or vaccine,Geography,Gender,GeoCode,Value
2015,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Canada,,11124,76.9
2015,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Canada,,11124,77.0
2015,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Canada,,11124,76.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Canada,,11124,75.8
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Canada,,11124,75.8
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Canada,,11124,75.8
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Newfoundland and Labrador,,10,88.9
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Newfoundland and Labrador,,10,88.9
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Newfoundland and Labrador,,10,88.9
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Prince Edward Island,,11,81.2
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Prince Edward Island,,11,81.2
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Prince Edward Island,,11,81.2
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Nova Scotia,,12,73.8
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Nova Scotia,,12,73.8
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Nova Scotia,,12,73.8
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,New Brunswick,,13,75.5
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),New Brunswick,,13,75.5
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,New Brunswick,,13,75.5
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Ontario,,35,75.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Ontario,,35,75.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Ontario,,35,75.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Quebec,,24,73.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Quebec,,24,73.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Quebec,,24,73.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Manitoba,,46,67.5
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Manitoba,,46,67.5
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Manitoba,,46,67.5
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Saskatchewan,,47,78.6
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Saskatchewan,,47,78.6
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Saskatchewan,,47,78.6
