Year,Series,Units,Highest level of education,Age group,Sex,Location,COMMENT_OBS,Progress,Value
2015,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.0,1.013
2016,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.04626405239105,1.046
2017,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.0,1.013
2015,Completion rate,Adjusted location parity index,Upper secondary education,,,,,1.0641742673454,0.94
2016,Completion rate,Adjusted location parity index,Upper secondary education,,,,,1.0,1.006
2017,Completion rate,Adjusted location parity index,Upper secondary education,,,,,1.0479315221139,0.954
2015,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,1.10550887808998,0.905
2016,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,1.12914790105838,0.886
2017,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,1.05873429083701,0.945
2015,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.991
2016,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.996
2017,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.997
2018,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.995
2019,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.995
2020,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.994
2021,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.993
2022,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.997
2023,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.995
2024,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.996
2015,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.991
2016,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.996
2017,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.997
2018,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.995
2019,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.995
2020,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.994
2021,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.993
2022,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.997
2023,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.995
2024,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.996
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Female,,,1.04914181529526,0.953
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Female,,,1.03836767756589,0.963
2015,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.0
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.01
2017,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.01
2018,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.011
2019,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.008
2020,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.008
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.014
2022,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.011
2023,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.011
2024,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.012
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,,,,1.08013525691977,0.926
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,,,,1.06849025423588,0.936
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Male,,,1.11227280477951,0.899
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Male,,,1.09938432125278,0.91
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Rural,,1.05539000034332,1.055
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Rural,,1.05870997905731,1.059
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Urban,,1.0,0.999
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Urban,,1.0,1.003
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Female,,,1.11954500760556,0.893
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Female,,,1.13395402046985,0.882
2015,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.005
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.001
2017,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.02
2018,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.025
2019,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.018
2020,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.025
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.023
2022,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.03940141796396,1.039
2023,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0346214302335,1.035
2024,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.03812229224545,1.038
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,,,,1.13839462436582,0.878
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,,,,1.1583056216694,0.863
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Male,,,1.15772900615865,0.864
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Male,,,1.18241045260781,0.846
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Rural,,1.0,1.026
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Rural,,1.05485999584198,1.055
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Urban,,1.0,0.993
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Urban,,1.0,1.014
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Female,,,1.19717462718912,0.835
2021,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Female,,,1.25453196360775,0.797
2016,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.15823996067047,1.158
2021,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.14199995994568,1.142
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,,,,1.34044660258247,0.746
