Year,Activity group,Gender,Age group,Geography,GeoCode,Value
2015,,,,,,12.5
2015,"Total, unpaid work activities",Men+,"Total, 15 years and over",Canada,,10.0
2015,"Total, unpaid work activities",Women+,"Total, 15 years and over",Canada,,15.0
2015,"Total, unpaid work activities","Total, all persons",15 to 24 years,Canada,,5.4
2015,"Total, unpaid work activities",Men+,15 to 24 years,Canada,,4.6
2015,"Total, unpaid work activities",Women+,15 to 24 years,Canada,,6.7
2015,"Total, unpaid work activities","Total, all persons",25 to 54 years,Canada,,13.3
2015,"Total, unpaid work activities",Men+,25 to 54 years,Canada,,10.4
2015,"Total, unpaid work activities",Women+,25 to 54 years,Canada,,16.3
2015,"Total, unpaid work activities","Total, all persons",25 to 34 years,Canada,,12.1
2015,"Total, unpaid work activities",Men+,25 to 34 years,Canada,,7.9
2015,"Total, unpaid work activities",Women+,25 to 34 years,Canada,,15.8
2015,"Total, unpaid work activities","Total, all persons",35 to 44 years,Canada,,15.0
2015,"Total, unpaid work activities",Men+,35 to 44 years,Canada,,11.7
2015,"Total, unpaid work activities",Women+,35 to 44 years,Canada,,17.9
2015,"Total, unpaid work activities","Total, all persons",45 to 54 years,Canada,,13.3
2015,"Total, unpaid work activities",Men+,45 to 54 years,Canada,,11.3
2015,"Total, unpaid work activities",Women+,45 to 54 years,Canada,,15.4
2015,"Total, unpaid work activities","Total, all persons",55 to 64 years,Canada,,14.2
2015,"Total, unpaid work activities",Men+,55 to 64 years,Canada,,12.1
2015,"Total, unpaid work activities",Women+,55 to 64 years,Canada,,16.3
2015,"Total, unpaid work activities","Total, all persons",65 years and over,Canada,,15.0
2015,"Total, unpaid work activities",Men+,65 years and over,Canada,,13.3
2015,"Total, unpaid work activities",Women+,65 years and over,Canada,,16.7
2015,Unpaid household work,"Total, all persons","Total, 15 years and over",Canada,,8.8
2015,Unpaid household work,Men+,"Total, 15 years and over",Canada,,7.1
2015,Unpaid household work,Women+,"Total, 15 years and over",Canada,,10.0
2015,Unpaid household work,"Total, all persons",15 to 24 years,Canada,,3.8
2015,Unpaid household work,Men+,15 to 24 years,Canada,,3.3
2015,Unpaid household work,Women+,15 to 24 years,Canada,,4.2
2015,Unpaid household work,"Total, all persons",25 to 54 years,Canada,,8.3
2015,Unpaid household work,Men+,25 to 54 years,Canada,,6.7
2015,Unpaid household work,Women+,25 to 54 years,Canada,,10.0
2015,Unpaid household work,"Total, all persons",25 to 34 years,Canada,,6.7
2015,Unpaid household work,Men+,25 to 34 years,Canada,,5.0
2015,Unpaid household work,Women+,25 to 34 years,Canada,,8.3
2015,Unpaid household work,"Total, all persons",35 to 44 years,Canada,,8.3
2015,Unpaid household work,Men+,35 to 44 years,Canada,,6.7
2015,Unpaid household work,Women+,35 to 44 years,Canada,,10.0
2015,Unpaid household work,"Total, all persons",45 to 54 years,Canada,,10.0
2015,Unpaid household work,Men+,45 to 54 years,Canada,,8.8
2015,Unpaid household work,Women+,45 to 54 years,Canada,,11.3
2015,Unpaid household work,"Total, all persons",55 to 64 years,Canada,,10.8
2015,Unpaid household work,Men+,55 to 64 years,Canada,,9.6
2015,Unpaid household work,Women+,55 to 64 years,Canada,,12.1
