Year,Water quality category,Land use category,Geography,Value
2016-2018,Excellent,Agriculture,Canada,0
2016-2018,Good,Agriculture,Canada,6
2016-2018,Excellent,Forestry,Canada,1
2016-2018,Good,Forestry,Canada,6
2016-2018,Excellent,Mining,Canada,0
2016-2018,Good,Mining,Canada,2
2016-2018,Excellent,Populated,Canada,0
2016-2018,Good,Populated,Canada,0
2016-2018,Excellent,Mixed pressures,Canada,2
2016-2018,Good,Mixed pressures,Canada,13
2016-2018,Excellent,Undeveloped,Canada,3
2016-2018,Good,Undeveloped,Canada,7
2016-2018,Excellent,Total,Canada,5
2016-2018,Good,Total,Canada,35
2016-2018,Excellent,Total,Atlantic Ocean,4
2016-2018,Good,Total,Atlantic Ocean,53
2016-2018,Excellent,Total,Great Lakes and St. Lawrence River,0
2016-2018,Good,Total,Great Lakes and St. Lawrence River,29
2016-2018,Excellent,Total,Hudson Bay,11
2016-2018,Good,Total,Hudson Bay,31
2016-2018,Excellent,Total,Mackenzie River,15
2016-2018,Good,Total,Mackenzie River,35
2016-2018,Excellent,Total,Pacific Ocean,8
2016-2018,Good,Total,Pacific Ocean,28
2016-2018,Excellent,Agriculture,Atlantic Ocean,0
2016-2018,Good,Agriculture,Atlantic Ocean,7
2016-2018,Excellent,Forestry,Atlantic Ocean,2
2016-2018,Good,Forestry,Atlantic Ocean,18
2016-2018,Excellent,Mining,Atlantic Ocean,0
2016-2018,Good,Mining,Atlantic Ocean,2
2016-2018,Excellent,Populated,Atlantic Ocean,0
2016-2018,Good,Populated,Atlantic Ocean,0
2016-2018,Excellent,Mixed pressures,Atlantic Ocean,0
2016-2018,Good,Mixed pressures,Atlantic Ocean,9
2016-2018,Excellent,Undeveloped,Atlantic Ocean,2
2016-2018,Good,Undeveloped,Atlantic Ocean,18
2016-2018,Excellent,Agriculture,Great Lakes and St. Lawrence River,0
2016-2018,Good,Agriculture,Great Lakes and St. Lawrence River,5
2016-2018,Excellent,Forestry,Great Lakes and St. Lawrence River,0
2016-2018,Good,Forestry,Great Lakes and St. Lawrence River,2
2016-2018,Excellent,Mining,Great Lakes and St. Lawrence River,0
2016-2018,Good,Mining,Great Lakes and St. Lawrence River,5
2016-2018,Excellent,Populated,Great Lakes and St. Lawrence River,0
2016-2018,Good,Populated,Great Lakes and St. Lawrence River,0
2016-2018,Excellent,Mixed pressures,Great Lakes and St. Lawrence River,0
2016-2018,Good,Mixed pressures,Great Lakes and St. Lawrence River,10
2016-2018,Excellent,Undeveloped,Great Lakes and St. Lawrence River,0
2016-2018,Good,Undeveloped,Great Lakes and St. Lawrence River,7
2016-2018,Excellent,Agriculture,Hudson Bay,0
2016-2018,Good,Agriculture,Hudson Bay,11
2016-2018,Excellent,Forestry,Hudson Bay,0
2016-2018,Good,Forestry,Hudson Bay,0
2016-2018,Excellent,Mining,Hudson Bay,0
2016-2018,Good,Mining,Hudson Bay,0
2016-2018,Excellent,Populated,Hudson Bay,0
2016-2018,Good,Populated,Hudson Bay,0
2016-2018,Excellent,Mixed pressures,Hudson Bay,7
2016-2018,Good,Mixed pressures,Hudson Bay,20
2016-2018,Excellent,Undeveloped,Hudson Bay,4
2016-2018,Good,Undeveloped,Hudson Bay,0
2016-2018,Excellent,Agriculture,Mackenzie River,0
2016-2018,Good,Agriculture,Mackenzie River,0
2016-2018,Excellent,Forestry,Mackenzie River,0
2016-2018,Good,Forestry,Mackenzie River,0
2016-2018,Excellent,Mining,Mackenzie River,0
2016-2018,Good,Mining,Mackenzie River,10
2016-2018,Excellent,Populated,Mackenzie River,0
2016-2018,Good,Populated,Mackenzie River,0
2016-2018,Excellent,Mixed pressures,Mackenzie River,5
2016-2018,Good,Mixed pressures,Mackenzie River,10
2016-2018,Excellent,Undeveloped,Mackenzie River,10
2016-2018,Good,Undeveloped,Mackenzie River,15
2016-2018,Excellent,Agriculture,Pacific Ocean,0
2016-2018,Good,Agriculture,Pacific Ocean,0
2016-2018,Excellent,Forestry,Pacific Ocean,0
2016-2018,Good,Forestry,Pacific Ocean,8
2016-2018,Excellent,Mining,Pacific Ocean,0
2016-2018,Good,Mining,Pacific Ocean,8
2016-2018,Excellent,Populated,Pacific Ocean,0
2016-2018,Good,Populated,Pacific Ocean,0
2016-2018,Excellent,Mixed pressures,Pacific Ocean,0
2016-2018,Good,Mixed pressures,Pacific Ocean,8
2016-2018,Excellent,Undeveloped,Pacific Ocean,8
2016-2018,Good,Undeveloped,Pacific Ocean,4
2017-2019,Excellent,Agriculture,Canada,0
2017-2019,Good,Agriculture,Canada,9
2017-2019,Excellent,Forestry,Canada,1
2017-2019,Good,Forestry,Canada,5
2017-2019,Excellent,Mining,Canada,0
2017-2019,Good,Mining,Canada,2
2017-2019,Excellent,Populated,Canada,0
2017-2019,Good,Populated,Canada,0
2017-2019,Excellent,Mixed pressures,Canada,2
2017-2019,Good,Mixed pressures,Canada,10
2017-2019,Excellent,Undeveloped,Canada,2
2017-2019,Good,Undeveloped,Canada,8
2017-2019,Excellent,Total,Canada,6
2017-2019,Good,Total,Canada,35
2017-2019,Excellent,Total,Atlantic Ocean,4
2017-2019,Excellent,Total,Great Lakes and St. Lawrence River,0
2017-2019,Excellent,Total,Hudson Bay,14
2017-2019,Excellent,Total,Mackenzie River,10
2017-2019,Excellent,Total,Pacific Ocean,8
2017-2019,Good,Total,Atlantic Ocean,51
2017-2019,Good,Total,Great Lakes and St. Lawrence River,28
2017-2019,Good,Total,Hudson Bay,36
2017-2019,Good,Total,Mackenzie River,30
2017-2019,Good,Total,Pacific Ocean,29
2017-2019,Excellent,Agriculture,Atlantic Ocean,0
2017-2019,Good,Agriculture,Atlantic Ocean,9
2017-2019,Excellent,Forestry,Atlantic Ocean,4
2017-2019,Good,Forestry,Atlantic Ocean,13
2017-2019,Excellent,Mining,Atlantic Ocean,0
2017-2019,Good,Mining,Atlantic Ocean,2
2017-2019,Excellent,Populated,Atlantic Ocean,0
2017-2019,Good,Populated,Atlantic Ocean,0
2017-2019,Excellent,Mixed pressures,Atlantic Ocean,0
2017-2019,Good,Mixed pressures,Atlantic Ocean,7
2017-2019,Excellent,Undeveloped,Atlantic Ocean,0
2017-2019,Good,Undeveloped,Atlantic Ocean,20
2017-2019,Excellent,Agriculture,Great Lakes and St. Lawrence River,0
2017-2019,Good,Agriculture,Great Lakes and St. Lawrence River,7
2017-2019,Excellent,Forestry,Great Lakes and St. Lawrence River,0
2017-2019,Good,Forestry,Great Lakes and St. Lawrence River,2
2017-2019,Excellent,Mining,Great Lakes and St. Lawrence River,0
2017-2019,Good,Mining,Great Lakes and St. Lawrence River,3
2017-2019,Excellent,Populated,Great Lakes and St. Lawrence River,0
2017-2019,Good,Populated,Great Lakes and St. Lawrence River,0
2017-2019,Excellent,Mixed pressures,Great Lakes and St. Lawrence River,0
2017-2019,Good,Mixed pressures,Great Lakes and St. Lawrence River,9
2017-2019,Excellent,Undeveloped,Great Lakes and St. Lawrence River,0
2017-2019,Good,Undeveloped,Great Lakes and St. Lawrence River,7
2017-2019,Excellent,Agriculture,Hudson Bay,0
2017-2019,Good,Agriculture,Hudson Bay,18
2017-2019,Excellent,Forestry,Hudson Bay,0
2017-2019,Good,Forestry,Hudson Bay,0
2017-2019,Excellent,Mining,Hudson Bay,0
2017-2019,Good,Mining,Hudson Bay,0
2017-2019,Excellent,Populated,Hudson Bay,0
2017-2019,Good,Populated,Hudson Bay,0
2017-2019,Excellent,Mixed pressures,Hudson Bay,9
2017-2019,Good,Mixed pressures,Hudson Bay,18
2017-2019,Excellent,Undeveloped,Hudson Bay,5
2017-2019,Good,Undeveloped,Hudson Bay,0
2017-2019,Excellent,Agriculture,Mackenzie River,0
2017-2019,Good,Agriculture,Mackenzie River,0
2017-2019,Excellent,Forestry,Mackenzie River,0
2017-2019,Good,Forestry,Mackenzie River,0
2017-2019,Excellent,Mining,Mackenzie River,0
2017-2019,Good,Mining,Mackenzie River,10
2017-2019,Excellent,Populated,Mackenzie River,0
2017-2019,Good,Populated,Mackenzie River,0
2017-2019,Excellent,Mixed pressures,Mackenzie River,5
2017-2019,Good,Mixed pressures,Mackenzie River,5
2017-2019,Excellent,Undeveloped,Mackenzie River,5
