Year,Series,Units,Economic activity,Value
2007,Percent change in water-use efficiency over time (%),Percent change (%),,2.026
2007,Percent change in water-use efficiency over time (%),Percent change (%),Services,1.837
2007,Percent change in water-use efficiency over time (%),Percent change (%),Industry,0.563
2007,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",0.727
2008,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",14.579
2008,Percent change in water-use efficiency over time (%),Percent change (%),Services,3.605
2008,Percent change in water-use efficiency over time (%),Percent change (%),,4.522
2008,Percent change in water-use efficiency over time (%),Percent change (%),Industry,6.795
2009,Percent change in water-use efficiency over time (%),Percent change (%),,0.073
2009,Percent change in water-use efficiency over time (%),Percent change (%),Services,6.588
2009,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",-13.293
2009,Percent change in water-use efficiency over time (%),Percent change (%),Industry,-15.728
2010,Percent change in water-use efficiency over time (%),Percent change (%),Services,5.061
2010,Percent change in water-use efficiency over time (%),Percent change (%),Industry,11.387
2010,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",-54.998
2010,Percent change in water-use efficiency over time (%),Percent change (%),,-1.264
2011,Percent change in water-use efficiency over time (%),Percent change (%),Services,5.639
2011,Percent change in water-use efficiency over time (%),Percent change (%),Industry,8.736
2011,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",18.793
2011,Percent change in water-use efficiency over time (%),Percent change (%),,6.177
2012,Percent change in water-use efficiency over time (%),Percent change (%),Industry,1.798
2012,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",0.935
2012,Percent change in water-use efficiency over time (%),Percent change (%),,4.432
2012,Percent change in water-use efficiency over time (%),Percent change (%),Services,3.204
2013,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",18.7
2013,Percent change in water-use efficiency over time (%),Percent change (%),Industry,4.321
2013,Percent change in water-use efficiency over time (%),Percent change (%),,5.246
2013,Percent change in water-use efficiency over time (%),Percent change (%),Services,3.279
2014,Percent change in water-use efficiency over time (%),Percent change (%),Industry,7.414
2014,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",-3.018
2014,Percent change in water-use efficiency over time (%),Percent change (%),Services,2.564
2014,Percent change in water-use efficiency over time (%),Percent change (%),,6.079
2015,Percent change in water-use efficiency over time (%),Percent change (%),Industry,-8.825
2015,Percent change in water-use efficiency over time (%),Percent change (%),,2.916
2015,Percent change in water-use efficiency over time (%),Percent change (%),Services,4.05
2015,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",48.448
2016,Percent change in water-use efficiency over time (%),Percent change (%),,-0.717
2016,Percent change in water-use efficiency over time (%),Percent change (%),Industry,-4.189
2016,Percent change in water-use efficiency over time (%),Percent change (%),Services,3.773
2016,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",-12.333
2017,Percent change in water-use efficiency over time (%),Percent change (%),,1.366
2017,Percent change in water-use efficiency over time (%),Percent change (%),Industry,7.258
2017,Percent change in water-use efficiency over time (%),Percent change (%),Services,3.014
2017,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",-11.979
2018,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",-7.713
2018,Percent change in water-use efficiency over time (%),Percent change (%),,5.45
2018,Percent change in water-use efficiency over time (%),Percent change (%),Services,2.606
2018,Percent change in water-use efficiency over time (%),Percent change (%),Industry,8.359
2019,Percent change in water-use efficiency over time (%),Percent change (%),Services,2.6
2019,Percent change in water-use efficiency over time (%),Percent change (%),Industry,1.986
2019,Percent change in water-use efficiency over time (%),Percent change (%),,3.968
2019,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",2.724
2020,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",-11.202
2020,Percent change in water-use efficiency over time (%),Percent change (%),Services,-5.192
2020,Percent change in water-use efficiency over time (%),Percent change (%),,-2.535
2020,Percent change in water-use efficiency over time (%),Percent change (%),Industry,-0.605
2021,Percent change in water-use efficiency over time (%),Percent change (%),,4.634
2021,Percent change in water-use efficiency over time (%),Percent change (%),Industry,4.791
2021,Percent change in water-use efficiency over time (%),Percent change (%),"Agriculture, forestry and fishing",2.879
2021,Percent change in water-use efficiency over time (%),Percent change (%),Services,4.586
2006,Water-use efficiency (USD per cubic metre),USD per cubic metre,,30.159
2006,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,151.709
2006,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,10.88
2006,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.402
2007,Water-use efficiency (USD per cubic metre),USD per cubic metre,,30.77
2007,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,154.496
2007,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,10.941
2007,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.405
2008,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.464
2008,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,160.065
2008,Water-use efficiency (USD per cubic metre),USD per cubic metre,,32.162
2008,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,11.684
2009,Water-use efficiency (USD per cubic metre),USD per cubic metre,,32.185
2009,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,170.61
2009,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.402
2009,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,9.847
2010,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,179.245
2010,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,10.968
2010,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.181
2010,Water-use efficiency (USD per cubic metre),USD per cubic metre,,31.778
2011,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,189.354
2011,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,11.926
2011,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.215
2011,Water-use efficiency (USD per cubic metre),USD per cubic metre,,33.742
2012,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,12.14
2012,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.217
2012,Water-use efficiency (USD per cubic metre),USD per cubic metre,,35.237
2012,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,195.42
2013,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.257
2013,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,12.665
2013,Water-use efficiency (USD per cubic metre),USD per cubic metre,,37.086
2013,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,201.828
2014,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,13.604
2014,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.25
2014,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,207.004
2014,Water-use efficiency (USD per cubic metre),USD per cubic metre,,39.34
2015,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,12.403
2015,Water-use efficiency (USD per cubic metre),USD per cubic metre,,40.487
2015,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,215.388
2015,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.371
2016,Water-use efficiency (USD per cubic metre),USD per cubic metre,,40.197
2016,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,11.884
2016,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,223.516
2016,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.325
2017,Water-use efficiency (USD per cubic metre),USD per cubic metre,,40.746
2017,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,12.746
2017,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,230.252
2017,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.286
2018,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.264
2018,Water-use efficiency (USD per cubic metre),USD per cubic metre,,42.967
2018,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,236.252
2018,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,13.812
2019,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,242.395
2019,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,14.086
2019,Water-use efficiency (USD per cubic metre),USD per cubic metre,,44.672
2019,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.271
2020,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.241
2020,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,229.81
2020,Water-use efficiency (USD per cubic metre),USD per cubic metre,,43.54
2020,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,14.001
2021,Water-use efficiency (USD per cubic metre),USD per cubic metre,,45.557
2021,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,14.672
2021,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.248
2021,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,240.35
