Year,Units,Sector,Value
2015,"US dollar, Millions, 2023 constant prices",Agricultural water resources,8.183523
2015,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,75.974244
2016,"US dollar, Millions, 2023 constant prices",Agricultural water resources,10.857892
2016,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,39.300907
2017,"US dollar, Millions, 2023 constant prices",Agricultural water resources,9.568422
2017,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,47.152373
2018,"US dollar, Millions, 2023 constant prices",Agricultural water resources,10.937722
2018,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,47.423277
2019,"US dollar, Millions, 2023 constant prices",Agricultural water resources,13.848602
2019,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,32.188709
2020,"US dollar, Millions, 2023 constant prices",Agricultural water resources,16.657033
2020,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,27.954532
2021,"US dollar, Millions, 2023 constant prices",Agricultural water resources,20.532922
2021,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,47.374795
2022,"US dollar, Millions, 2023 constant prices",Agricultural water resources,6.721995
2022,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,34.431967
2023,"US dollar, Millions, 2023 constant prices",Agricultural water resources,9.253652
2023,"US dollar, Millions, 2023 constant prices",Water supply and sanitation,22.72156
2015,"US dollar, Millions, 2023 constant prices",,84.157767
2016,"US dollar, Millions, 2023 constant prices",,50.158799
2017,"US dollar, Millions, 2023 constant prices",,56.720795
2018,"US dollar, Millions, 2023 constant prices",,58.360999
2019,"US dollar, Millions, 2023 constant prices",,46.037311
2020,"US dollar, Millions, 2023 constant prices",,44.611565
2021,"US dollar, Millions, 2023 constant prices",,67.907717
2022,"US dollar, Millions, 2023 constant prices",,41.153962
2023,"US dollar, Millions, 2023 constant prices",,31.975212
