Year,Series,Value
2015,"Number of commercial bank branches per 100,000 adults",22.91
2016,"Number of commercial bank branches per 100,000 adults",22.34
2017,"Number of commercial bank branches per 100,000 adults",20.83
2018,"Number of commercial bank branches per 100,000 adults",20.18
2019,"Number of commercial bank branches per 100,000 adults",19.75
2020,"Number of commercial bank branches per 100,000 adults",20.18
2021,"Number of commercial bank branches per 100,000 adults",20.69
2022,"Number of commercial bank branches per 100,000 adults",19.77
2023,"Number of commercial bank branches per 100,000 adults",19.02
2015,"Number of automated teller machines (ATMs) per 100,000 adults",222.13
2016,"Number of automated teller machines (ATMs) per 100,000 adults",224.76
2017,"Number of automated teller machines (ATMs) per 100,000 adults",229.25
2018,"Number of automated teller machines (ATMs) per 100,000 adults",220.49
2019,"Number of automated teller machines (ATMs) per 100,000 adults",214.33
2020,"Number of automated teller machines (ATMs) per 100,000 adults",210.34
2021,"Number of automated teller machines (ATMs) per 100,000 adults",212.43
2022,"Number of automated teller machines (ATMs) per 100,000 adults",206.02
2023,"Number of automated teller machines (ATMs) per 100,000 adults",188.53
