Year,Gender,Age group,Geography,GeoCode,Progress,Value
2015,,,,,7.0,7.0
2016,,,,,7.1,7.1
2017,,,,,6.4,6.4
2018,,,,,5.8,5.8
2019,,,,,5.7,5.7
2020,,,,,9.7,9.7
2021,,,,,7.5,7.5
2022,,,,,5.3,5.3
2023,,,,,5.4,5.4
2024,,,,,6.3,6.3
2015,Total - Gender,15 to 24 years,Canada,,12.8,12.8
2015,Total - Gender,25 years and over,Canada,,6.0,6.0
2015,Total - Gender,25 to 44 years,Canada,,6.2,6.2
2015,Total - Gender,45 to 64 years,Canada,,5.8,5.8
2015,Total - Gender,45 years and over,Canada,,5.7,5.7
2015,Total - Gender,25 to 54 years,Canada,,5.9,5.9
2015,Total - Gender,55 years and over,Canada,,6.0,6.0
2015,Total - Gender,15 to 64 years,Canada,,7.1,7.1
2015,Total - Gender,15 to 19 years,Canada,,17.5,17.5
2015,Total - Gender,20 to 24 years,Canada,,10.1,10.1
2015,Total - Gender,25 to 29 years,Canada,,7.5,7.5
2015,Total - Gender,30 to 34 years,Canada,,5.8,5.8
2015,Total - Gender,35 to 39 years,Canada,,5.8,5.8
2015,Total - Gender,40 to 44 years,Canada,,5.6,5.6
2015,Total - Gender,45 to 49 years,Canada,,5.2,5.2
2015,Total - Gender,50 to 54 years,Canada,,5.7,5.7
2015,Total - Gender,55 to 59 years,Canada,,6.1,6.1
2015,Total - Gender,60 to 64 years,Canada,,6.7,6.7
2015,Total - Gender,65 years and over,Canada,,4.6,4.6
2015,Total - Gender,65 to 69 years,Canada,,5.4,5.4
2015,Total - Gender,70 years and over,Canada,,-1.0,2.9
2015,Men+,15 years and over,Canada,,7.5,7.5
2015,Men+,15 to 24 years,Canada,,14.7,14.7
2015,Men+,25 years and over,Canada,,6.3,6.3
2015,Men+,25 to 44 years,Canada,,6.5,6.5
2015,Men+,45 to 64 years,Canada,,6.3,6.3
2015,Men+,45 years and over,Canada,,6.1,6.1
2015,Men+,25 to 54 years,Canada,,6.3,6.3
2015,Men+,55 years and over,Canada,,6.4,6.4
2015,Men+,15 to 64 years,Canada,,7.7,7.7
2015,Men+,15 to 19 years,Canada,,19.2,19.2
2015,Men+,20 to 24 years,Canada,,12.2,12.2
2015,Men+,25 to 29 years,Canada,,8.3,8.3
2015,Men+,30 to 34 years,Canada,,6.1,6.1
2015,Men+,35 to 39 years,Canada,,6.0,6.0
2015,Men+,40 to 44 years,Canada,,5.7,5.7
2015,Men+,45 to 49 years,Canada,,5.5,5.5
2015,Men+,50 to 54 years,Canada,,6.2,6.2
2015,Men+,55 to 59 years,Canada,,6.5,6.5
2015,Men+,60 to 64 years,Canada,,7.5,7.5
2015,Men+,65 years and over,Canada,,4.8,4.8
2015,Men+,65 to 69 years,Canada,,6.0,6.0
