Year,Status,Geography,Gender,Age group,GeoCode,Value
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Total - Gender,15 to 19 years,,7
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Men+,15 to 19 years,,7
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Women+,15 to 19 years,,6
2015,,,,,,11
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Men+,15 to 24 years,,12
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Women+,15 to 24 years,,9
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Total - Gender,18 to 24 years,,13
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Men+,18 to 24 years,,14
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Women+,18 to 24 years,,11
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Total - Gender,20 to 24 years,,14
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Men+,20 to 24 years,,15
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Women+,20 to 24 years,,12
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Total - Gender,15 to 19 years,,2
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Men+,15 to 19 years,,3
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Women+,15 to 19 years,,2
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Total - Gender,15 to 24 years,,5
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Men+,15 to 24 years,,6
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Women+,15 to 24 years,,3
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Total - Gender,18 to 24 years,,6
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Men+,18 to 24 years,,8
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Women+,18 to 24 years,,4
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Total - Gender,20 to 24 years,,7
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Men+,20 to 24 years,,9
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Women+,20 to 24 years,,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Total - Gender,15 to 19 years,,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Men+,15 to 19 years,,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Women+,15 to 19 years,,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Total - Gender,15 to 24 years,,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Men+,15 to 24 years,,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Women+,15 to 24 years,,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Total - Gender,18 to 24 years,,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Men+,18 to 24 years,,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Women+,18 to 24 years,,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Total - Gender,20 to 24 years,,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Men+,20 to 24 years,,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Women+,20 to 24 years,,8
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,15 to 19 years,10,7
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,15 to 19 years,10,10
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,15 to 24 years,10,14
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,15 to 24 years,10,18
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,15 to 24 years,10,10
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,18 to 24 years,10,19
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,18 to 24 years,10,24
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,18 to 24 years,10,13
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,20 to 24 years,10,21
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,20 to 24 years,10,26
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,20 to 24 years,10,15
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,15 to 19 years,10,3
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,15 to 19 years,10,5
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,15 to 24 years,10,9
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,15 to 24 years,10,12
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,15 to 24 years,10,5
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,18 to 24 years,10,12
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,18 to 24 years,10,17
