Year,Series,Sex,Value
2015,Fatality claims,Male,811
2015,Fatality claims,Female,40
2015,Fatality claims,,851
2016,Fatality claims,Male,863
2016,Fatality claims,Female,41
2016,Fatality claims,,904
2017,Fatality claims,Male,920
2017,Fatality claims,Female,31
2017,Fatality claims,,951
2018,Fatality claims,Male,997
2018,Fatality claims,Female,30
2018,Fatality claims,,1027
2019,Fatality claims,Male,882
2019,Fatality claims,Female,43
2019,Fatality claims,,925
2020,Fatality claims,Male,878
2020,Fatality claims,Female,46
2020,Fatality claims,,924
2021,Fatality claims,Male,1009
2021,Fatality claims,Female,72
2021,Fatality claims,,1081
2022,Fatality claims,Male,941
2022,Fatality claims,Female,50
2022,Fatality claims,,993
2015,Lost time claims,Male,143478
2015,Lost time claims,Female,89123
2015,Lost time claims,Unknown,28
2015,Lost time claims,,232629
2016,Lost time claims,Male,145401
2016,Lost time claims,Female,95235
2016,Lost time claims,Unknown,46
2016,Lost time claims,,240682
2017,Lost time claims,Male,152240
2017,Lost time claims,Female,99319
2017,Lost time claims,Unknown,66
2017,Lost time claims,,251625
2018,Lost time claims,Male,158969
2018,Lost time claims,Female,105443
2018,Lost time claims,Unknown,26
2018,Lost time claims,,264438
2019,Lost time claims,Male,160801
2019,Lost time claims,Female,110948
2019,Lost time claims,Unknown,57
2019,Lost time claims,,271806
2020,Lost time claims,Male,138776
2020,Lost time claims,Female,114489
2020,Lost time claims,Unknown,132
2020,Lost time claims,,253397
2021,Lost time claims,Male,158600
2021,Lost time claims,Female,118422
2021,Lost time claims,Unknown,195
2021,Lost time claims,,277217
2022,Lost time claims,Male,170809
2022,Lost time claims,Female,177637
2022,Lost time claims,Unknown,301
2022,Lost time claims,,348747
