Year,Industry,Size,Value
2019,Food products,1-9 employees,0.125333663759477
2019,Food products,10-19 employees,0.31397916914966
2019,Food products,20-49 employees,1.14346996695531
2019,Food products,50-249 employees,5.80985420380784
2019,Food products,250 employees and more,7.12624987669312
2019,Food products,All enterprises,14.5188868803654
2019,Beverages,1-9 employees,0.0329364705820116
2019,Beverages,10-19 employees,0.0643812585050631
2019,Beverages,20-49 employees,0.278928226680529
2019,Beverages,50-249 employees,0.891183122158301
2019,Beverages,250 employees and more,2.59721248257755
2019,Beverages,All enterprises,3.86464156050346
2019,Textiles,1-9 employees,0.0550724289853485
2019,Textiles,20-49 employees,0.214725553107225
2019,Textiles,50-249 employees,0.640800221221107
2019,Textiles,All enterprises,1.30834516093999
2019,"Wood products, excluding furniture",1-9 employees,0.0396684896377096
2019,"Wood products, excluding furniture",10-19 employees,0.0737132284869553
2019,"Wood products, excluding furniture",20-49 employees,0.41915694966932
2019,"Wood products, excluding furniture",50-249 employees,3.13242046433716
2019,"Wood products, excluding furniture",250 employees and more,0.782418309384051
2019,"Wood products, excluding furniture",All enterprises,4.447377445405
2019,Paper and paper products,1-9 employees,0.0118224772967521
2019,Paper and paper products,20-49 employees,0.146118377097812
2019,Paper and paper products,50-249 employees,1.9045734562056
2019,Paper and paper products,All enterprises,4.51435175431854
2019,Printing and reproduction of recorded media,1-9 employees,0.0357004468921531
2019,Printing and reproduction of recorded media,10-19 employees,0.0443416688268062
2019,Printing and reproduction of recorded media,20-49 employees,0.232180572156388
2019,Printing and reproduction of recorded media,50-249 employees,1.03064013465578
2019,Printing and reproduction of recorded media,250 employees and more,0.678154894139679
2019,Printing and reproduction of recorded media,All enterprises,2.02101771667081
2019,Coke and refined petroleum products,1-9 employees,0.242620156917929
2019,Coke and refined petroleum products,10-19 employees,0.217383501056627
2019,Coke and refined petroleum products,20-49 employees,1.04641857684718
2019,Coke and refined petroleum products,50-249 employees,5.27365980976665
2019,Coke and refined petroleum products,250 employees and more,8.27731555546289
2019,Coke and refined petroleum products,All enterprises,15.0573976039411
2019,Rubber and plastics products,1-9 employees,0.0281233983719446
2019,Rubber and plastics products,10-19 employees,0.0773906054002347
2019,Rubber and plastics products,20-49 employees,0.344094125395555
