Year,Series,Units,Technology,Value
2016,Long-Term Evolution (LTE),Percentage (%),,98.55
2017,Long-Term Evolution (LTE),Percentage (%),,99.14
2018,Long-Term Evolution (LTE),Percentage (%),,99.3
2019,Long-Term Evolution (LTE),Percentage (%),,99.48
2020,Long-Term Evolution (LTE),Percentage (%),,99.53
2021,Long-Term Evolution (LTE),Percentage (%),,99.42
2022,Long-Term Evolution (LTE),Percentage (%),,99.47
2016,Long-Term Evolution - A (LTE-A),Percentage (%),,83.35
2017,Long-Term Evolution - A (LTE-A),Percentage (%),,92.43
2018,Long-Term Evolution - A (LTE-A),Percentage (%),,94.9
2019,Long-Term Evolution - A (LTE-A),Percentage (%),,95.86
2020,Long-Term Evolution - A (LTE-A),Percentage (%),,97.45
2021,Long-Term Evolution - A (LTE-A),Percentage (%),,97.82
2022,Long-Term Evolution - A (LTE-A),Percentage (%),,97.8
2020,5G,Percentage (%),,53.27
2021,5G,Percentage (%),,87.78
2022,5G,Percentage (%),,91.4
2016,Evolved High-Speed Packet Access (HSPA+),Percentage (%),,99.47
2017,Evolved High-Speed Packet Access (HSPA+),Percentage (%),,99.49
2018,Evolved High-Speed Packet Access (HSPA+),Percentage (%),,99.48
2019,Evolved High-Speed Packet Access (HSPA+),Percentage (%),,99.53
2020,Evolved High-Speed Packet Access (HSPA+),Percentage (%),,99.45
2021,Evolved High-Speed Packet Access (HSPA+),Percentage (%),,99.5
2022,Evolved High-Speed Packet Access (HSPA+),Percentage (%),,99.57
2022,,,Evolved High-Speed Packet Access (HSPA+),
2022,,,5G,
2022,,,Long-Term Evolution - A (LTE-A),
2022,,,Long-Term Evolution (LTE),
