Year,Persons in low income,Geography,GeoCode,Value
2015,,,,14.5
2016,,,,12.9
2017,,,,11.9
2018,,,,11.2
2019,,,,10.3
2020,,,,6.4
2021,,,,7.4
2022,,,,9.9
2023,,,,10.2
2015,All persons,Alberta,48,9.4
2016,All persons,Alberta,48,10.1
2017,All persons,Alberta,48,8.5
2018,All persons,Alberta,48,8.8
2019,All persons,Alberta,48,7.7
2020,All persons,Alberta,48,5.5
2021,All persons,Alberta,48,7.8
2022,All persons,Alberta,48,9.7
2023,All persons,Alberta,48,8.9
2015,Females,Alberta,48,9.9
2016,Females,Alberta,48,10.5
2017,Females,Alberta,48,9.3
2018,Females,Alberta,48,8.7
2019,Females,Alberta,48,7.7
2020,Females,Alberta,48,5.5
2021,Females,Alberta,48,8.1
2022,Females,Alberta,48,10.2
2023,Females,Alberta,48,9.1
2015,"Females, 18 to 64 years",Alberta,48,9.5
2016,"Females, 18 to 64 years",Alberta,48,11.6
2017,"Females, 18 to 64 years",Alberta,48,10.8
2018,"Females, 18 to 64 years",Alberta,48,9.9
2019,"Females, 18 to 64 years",Alberta,48,9.1
2020,"Females, 18 to 64 years",Alberta,48,6.5
2021,"Females, 18 to 64 years",Alberta,48,8.6
2022,"Females, 18 to 64 years",Alberta,48,10.5
2023,"Females, 18 to 64 years",Alberta,48,10.1
2015,"Females, 65 years and over",Alberta,48,3.2
2016,"Females, 65 years and over",Alberta,48,4.1
2017,"Females, 65 years and over",Alberta,48,3.0
2018,"Females, 65 years and over",Alberta,48,4.3
2019,"Females, 65 years and over",Alberta,48,2.7
2020,"Females, 65 years and over",Alberta,48,3.5
2021,"Females, 65 years and over",Alberta,48,6.3
2022,"Females, 65 years and over",Alberta,48,5.9
2023,"Females, 65 years and over",Alberta,48,4.5
2015,"Females, under 18 years",Alberta,48,15.0
2016,"Females, under 18 years",Alberta,48,10.8
2017,"Females, under 18 years",Alberta,48,8.4
2018,"Females, under 18 years",Alberta,48,8.1
2019,"Females, under 18 years",Alberta,48,6.7
2020,"Females, under 18 years",Alberta,48,4.2
2021,"Females, under 18 years",Alberta,48,8.1
2022,"Females, under 18 years",Alberta,48,12.4
2023,"Females, under 18 years",Alberta,48,9.4
2015,Males,Alberta,48,8.9
2016,Males,Alberta,48,9.8
2017,Males,Alberta,48,7.8
2018,Males,Alberta,48,8.9
2019,Males,Alberta,48,7.8
2020,Males,Alberta,48,5.5
2021,Males,Alberta,48,7.5
2022,Males,Alberta,48,9.3
2023,Males,Alberta,48,8.7
2015,"Males, 18 to 64 years",Alberta,48,9.6
2016,"Males, 18 to 64 years",Alberta,48,10.3
2017,"Males, 18 to 64 years",Alberta,48,8.8
2018,"Males, 18 to 64 years",Alberta,48,9.9
2019,"Males, 18 to 64 years",Alberta,48,8.6
2020,"Males, 18 to 64 years",Alberta,48,6.6
2021,"Males, 18 to 64 years",Alberta,48,8.1
2022,"Males, 18 to 64 years",Alberta,48,9.8
2023,"Males, 18 to 64 years",Alberta,48,8.8
2016,"Males, 65 years and over",Alberta,48,4.5
2017,"Males, 65 years and over",Alberta,48,2.7
2018,"Males, 65 years and over",Alberta,48,2.4
2019,"Males, 65 years and over",Alberta,48,4.5
2020,"Males, 65 years and over",Alberta,48,2.3
2021,"Males, 65 years and over",Alberta,48,5.5
2022,"Males, 65 years and over",Alberta,48,5.3
2023,"Males, 65 years and over",Alberta,48,3.9
2015,"Males, under 18 years",Alberta,48,9.8
2016,"Males, under 18 years",Alberta,48,10.8
2017,"Males, under 18 years",Alberta,48,7.2
2018,"Males, under 18 years",Alberta,48,9.4
2019,"Males, under 18 years",Alberta,48,7.1
2020,"Males, under 18 years",Alberta,48,4.3
2021,"Males, under 18 years",Alberta,48,6.9
2022,"Males, under 18 years",Alberta,48,10.1
2023,"Males, under 18 years",Alberta,48,11.2
2015,Persons 18 to 64 years,Alberta,48,9.5
2016,Persons 18 to 64 years,Alberta,48,10.9
2017,Persons 18 to 64 years,Alberta,48,9.8
2018,Persons 18 to 64 years,Alberta,48,9.9
2019,Persons 18 to 64 years,Alberta,48,8.9
2020,Persons 18 to 64 years,Alberta,48,6.5
2021,Persons 18 to 64 years,Alberta,48,8.3
2022,Persons 18 to 64 years,Alberta,48,10.2
2023,Persons 18 to 64 years,Alberta,48,9.5
2015,Persons 65 years and over,Alberta,48,3.1
2016,Persons 65 years and over,Alberta,48,4.3
2017,Persons 65 years and over,Alberta,48,2.9
2018,Persons 65 years and over,Alberta,48,3.4
2019,Persons 65 years and over,Alberta,48,3.5
2020,Persons 65 years and over,Alberta,48,2.9
2021,Persons 65 years and over,Alberta,48,5.9
2022,Persons 65 years and over,Alberta,48,5.6
2023,Persons 65 years and over,Alberta,48,4.2
2015,Persons under 18 years,Alberta,48,12.3
2016,Persons under 18 years,Alberta,48,10.8
2017,Persons under 18 years,Alberta,48,7.8
2018,Persons under 18 years,Alberta,48,8.8
2019,Persons under 18 years,Alberta,48,6.9
2020,Persons under 18 years,Alberta,48,4.2
2021,Persons under 18 years,Alberta,48,7.5
2022,Persons under 18 years,Alberta,48,11.2
2023,Persons under 18 years,Alberta,48,10.3
2015,All persons,Atlantic provinces,,15.7
2016,All persons,Atlantic provinces,,14.5
2017,All persons,Atlantic provinces,,13.5
2018,All persons,Atlantic provinces,,12.3
2019,All persons,Atlantic provinces,,11.2
2020,All persons,Atlantic provinces,,7.5
2021,All persons,Atlantic provinces,,7.8
2022,All persons,Atlantic provinces,,11.5
2023,All persons,Atlantic provinces,,12.1
2015,Females,Atlantic provinces,,16.3
2016,Females,Atlantic provinces,,15.0
2017,Females,Atlantic provinces,,14.6
2018,Females,Atlantic provinces,,12.5
2019,Females,Atlantic provinces,,12.4
2020,Females,Atlantic provinces,,8.1
2021,Females,Atlantic provinces,,8.8
2022,Females,Atlantic provinces,,11.8
2023,Females,Atlantic provinces,,12.3
2015,"Females, 18 to 64 years",Atlantic provinces,,16.7
2016,"Females, 18 to 64 years",Atlantic provinces,,16.3
2017,"Females, 18 to 64 years",Atlantic provinces,,16.0
2018,"Females, 18 to 64 years",Atlantic provinces,,13.7
2019,"Females, 18 to 64 years",Atlantic provinces,,13.5
2020,"Females, 18 to 64 years",Atlantic provinces,,9.5
2021,"Females, 18 to 64 years",Atlantic provinces,,9.4
2022,"Females, 18 to 64 years",Atlantic provinces,,12.7
2023,"Females, 18 to 64 years",Atlantic provinces,,13.6
2015,"Females, 65 years and over",Atlantic provinces,,12.4
2016,"Females, 65 years and over",Atlantic provinces,,9.7
2017,"Females, 65 years and over",Atlantic provinces,,8.3
2018,"Females, 65 years and over",Atlantic provinces,,8.7
2019,"Females, 65 years and over",Atlantic provinces,,8.8
2020,"Females, 65 years and over",Atlantic provinces,,5.0
2021,"Females, 65 years and over",Atlantic provinces,,7.6
2022,"Females, 65 years and over",Atlantic provinces,,9.7
2023,"Females, 65 years and over",Atlantic provinces,,8.0
2015,"Females, under 18 years",Atlantic provinces,,19.3
2016,"Females, under 18 years",Atlantic provinces,,16.4
2017,"Females, under 18 years",Atlantic provinces,,17.5
2018,"Females, under 18 years",Atlantic provinces,,12.9
2019,"Females, under 18 years",Atlantic provinces,,13.2
2020,"Females, under 18 years",Atlantic provinces,,7.3
2021,"Females, under 18 years",Atlantic provinces,,8.3
2022,"Females, under 18 years",Atlantic provinces,,11.8
2023,"Females, under 18 years",Atlantic provinces,,14.2
2015,Males,Atlantic provinces,,15.0
2016,Males,Atlantic provinces,,14.0
2017,Males,Atlantic provinces,,12.3
2018,Males,Atlantic provinces,,12.1
2019,Males,Atlantic provinces,,9.9
2020,Males,Atlantic provinces,,6.9
2021,Males,Atlantic provinces,,6.7
2022,Males,Atlantic provinces,,11.1
2023,Males,Atlantic provinces,,11.8
2015,"Males, 18 to 64 years",Atlantic provinces,,15.8
2016,"Males, 18 to 64 years",Atlantic provinces,,14.7
2017,"Males, 18 to 64 years",Atlantic provinces,,13.4
2018,"Males, 18 to 64 years",Atlantic provinces,,13.8
2019,"Males, 18 to 64 years",Atlantic provinces,,10.9
2020,"Males, 18 to 64 years",Atlantic provinces,,8.4
2021,"Males, 18 to 64 years",Atlantic provinces,,7.3
2022,"Males, 18 to 64 years",Atlantic provinces,,12.1
2023,"Males, 18 to 64 years",Atlantic provinces,,12.7
2015,"Males, 65 years and over",Atlantic provinces,,8.2
2016,"Males, 65 years and over",Atlantic provinces,,7.4
2017,"Males, 65 years and over",Atlantic provinces,,5.6
2018,"Males, 65 years and over",Atlantic provinces,,5.2
2019,"Males, 65 years and over",Atlantic provinces,,4.8
2020,"Males, 65 years and over",Atlantic provinces,,3.8
2021,"Males, 65 years and over",Atlantic provinces,,5.8
2022,"Males, 65 years and over",Atlantic provinces,,7.2
2023,"Males, 65 years and over",Atlantic provinces,,6.3
2015,"Males, under 18 years",Atlantic provinces,,18.7
2016,"Males, under 18 years",Atlantic provinces,,17.9
2017,"Males, under 18 years",Atlantic provinces,,15.6
2018,"Males, under 18 years",Atlantic provinces,,13.9
2019,"Males, under 18 years",Atlantic provinces,,11.9
2020,"Males, under 18 years",Atlantic provinces,,5.4
2021,"Males, under 18 years",Atlantic provinces,,6.0
2022,"Males, under 18 years",Atlantic provinces,,12.4
2023,"Males, under 18 years",Atlantic provinces,,15.5
2015,Persons 18 to 64 years,Atlantic provinces,,16.3
2016,Persons 18 to 64 years,Atlantic provinces,,15.6
2017,Persons 18 to 64 years,Atlantic provinces,,14.7
2018,Persons 18 to 64 years,Atlantic provinces,,13.7
2019,Persons 18 to 64 years,Atlantic provinces,,12.2
2020,Persons 18 to 64 years,Atlantic provinces,,9.0
2021,Persons 18 to 64 years,Atlantic provinces,,8.4
2022,Persons 18 to 64 years,Atlantic provinces,,12.4
2023,Persons 18 to 64 years,Atlantic provinces,,13.1
2015,Persons 65 years and over,Atlantic provinces,,10.5
2016,Persons 65 years and over,Atlantic provinces,,8.6
2017,Persons 65 years and over,Atlantic provinces,,7.0
2018,Persons 65 years and over,Atlantic provinces,,7.0
2019,Persons 65 years and over,Atlantic provinces,,6.9
2020,Persons 65 years and over,Atlantic provinces,,4.4
2021,Persons 65 years and over,Atlantic provinces,,6.8
