Year,Unwanted or inappropriate behaviour,Sex,Value
2018,Sexual assault,Women,2.9
2018,Sexual assault,Men,1.0
2018,Physical assault,Women,2.0
2018,Physical assault,Men,3.6
2018,Unwanted or inappropriate behaviour in public,Women,31.8
2018,Unwanted or inappropriate behaviour in public,Men,13.4
2018,Unwanted or inappropriate behaviour online,Women,18.4
2018,Unwanted or inappropriate behaviour online,Men,13.6
2018,Unwanted or inappropriate behaviour in the workplace,Women,28.8
2018,Unwanted or inappropriate behaviour in the workplace,Men,16.8
