Year,Geography,Household hazardous waste,GeoCode,Value
2011,Canada,Leftover or expired medication,,34.0
2011,Canada,Medical sharps,,9.0
2011,Canada,Leftover paint or solvents,,37.0
2011,Canada,Unwanted engine oil or anti-freeze,,16.0
2011,Canada,Dead or unwanted batteries (excluding car batteries),,51.0
2011,Newfoundland and Labrador,Leftover or expired medication,10,23.0
2011,Newfoundland and Labrador,Medical sharps,10,6.0
2011,Newfoundland and Labrador,Leftover paint or solvents,10,35.0
2011,Newfoundland and Labrador,Unwanted engine oil or anti-freeze,10,16.0
2011,Newfoundland and Labrador,Dead or unwanted batteries (excluding car batteries),10,34.0
2011,Prince Edward Island,Leftover or expired medication,11,30.0
2011,Prince Edward Island,Medical sharps,11,14.0
2011,Prince Edward Island,Leftover paint or solvents,11,32.0
2011,Prince Edward Island,Unwanted engine oil or anti-freeze,11,11.0
2011,Prince Edward Island,Dead or unwanted batteries (excluding car batteries),11,47.0
2011,Nova Scotia,Leftover or expired medication,12,30.0
2011,Nova Scotia,Medical sharps,12,11.0
2011,Nova Scotia,Leftover paint or solvents,12,38.0
2011,Nova Scotia,Unwanted engine oil or anti-freeze,12,14.0
2011,Nova Scotia,Dead or unwanted batteries (excluding car batteries),12,46.0
2011,New Brunswick,Leftover or expired medication,13,31.0
2011,New Brunswick,Medical sharps,13,12.0
2011,New Brunswick,Leftover paint or solvents,13,40.0
2011,New Brunswick,Unwanted engine oil or anti-freeze,13,16.0
2011,New Brunswick,Dead or unwanted batteries (excluding car batteries),13,50.0
2011,Quebec,Leftover or expired medication,24,43.0
2011,Quebec,Medical sharps,24,10.0
2011,Quebec,Leftover paint or solvents,24,47.0
2011,Quebec,Unwanted engine oil or anti-freeze,24,16.0
2011,Quebec,Dead or unwanted batteries (excluding car batteries),24,62.0
2011,Ontario,Leftover or expired medication,35,30.0
2011,Ontario,Medical sharps,35,9.0
2011,Ontario,Leftover paint or solvents,35,33.0
2011,Ontario,Unwanted engine oil or anti-freeze,35,12.0
2011,Ontario,Dead or unwanted batteries (excluding car batteries),35,49.0
2011,Manitoba,Leftover or expired medication,46,24.0
2011,Manitoba,Medical sharps,46,8.0
2011,Manitoba,Leftover paint or solvents,46,30.0
2011,Manitoba,Unwanted engine oil or anti-freeze,46,20.0
2011,Manitoba,Dead or unwanted batteries (excluding car batteries),46,46.0
2011,Saskatchewan,Leftover or expired medication,47,29.0
2011,Saskatchewan,Medical sharps,47,9.0
2011,Saskatchewan,Leftover paint or solvents,47,30.0
2011,Saskatchewan,Unwanted engine oil or anti-freeze,47,20.0
2011,Saskatchewan,Dead or unwanted batteries (excluding car batteries),47,39.0
2011,Alberta,Leftover or expired medication,48,36.0
2011,Alberta,Medical sharps,48,8.0
2011,Alberta,Leftover paint or solvents,48,35.0
2011,Alberta,Unwanted engine oil or anti-freeze,48,21.0
2011,Alberta,Dead or unwanted batteries (excluding car batteries),48,46.0
2011,British Columbia,Leftover or expired medication,59,32.0
2011,British Columbia,Medical sharps,59,6.0
2011,British Columbia,Leftover paint or solvents,59,34.0
2011,British Columbia,Unwanted engine oil or anti-freeze,59,19.0
2011,British Columbia,Dead or unwanted batteries (excluding car batteries),59,49.0
2011,All census metropolitan areas,Leftover or expired medication,,34.0
2011,All census metropolitan areas,Medical sharps,,8.0
2011,All census metropolitan areas,Leftover paint or solvents,,35.0
2011,All census metropolitan areas,Unwanted engine oil or anti-freeze,,13.0
2011,All census metropolitan areas,Dead or unwanted batteries (excluding car batteries),,51.0
2011,"St. John's, Newfoundland and Labrador",Leftover or expired medication,,27.0
2011,"St. John's, Newfoundland and Labrador",Medical sharps,,
2011,"St. John's, Newfoundland and Labrador",Leftover paint or solvents,,42.0
2011,"St. John's, Newfoundland and Labrador",Unwanted engine oil or anti-freeze,,21.0
2011,"St. John's, Newfoundland and Labrador",Dead or unwanted batteries (excluding car batteries),,39.0
2011,"Halifax, Nova Scotia",Leftover or expired medication,,28.0
2011,"Halifax, Nova Scotia",Medical sharps,,10.0
2011,"Halifax, Nova Scotia",Leftover paint or solvents,,35.0
2011,"Halifax, Nova Scotia",Unwanted engine oil or anti-freeze,,
2011,"Halifax, Nova Scotia",Dead or unwanted batteries (excluding car batteries),,54.0
2011,"Moncton, New Brunswick",Leftover or expired medication,,39.0
2011,"Moncton, New Brunswick",Medical sharps,,
2011,"Moncton, New Brunswick",Leftover paint or solvents,,39.0
2011,"Moncton, New Brunswick",Unwanted engine oil or anti-freeze,,
2011,"Moncton, New Brunswick",Dead or unwanted batteries (excluding car batteries),,52.0
2011,"Saint John, New Brunswick",Leftover or expired medication,,30.0
2011,"Saint John, New Brunswick",Medical sharps,,
2011,"Saint John, New Brunswick",Leftover paint or solvents,,34.0
2011,"Saint John, New Brunswick",Unwanted engine oil or anti-freeze,,19.0
2011,"Saint John, New Brunswick",Dead or unwanted batteries (excluding car batteries),,47.0
2011,"Saguenay, Quebec",Leftover or expired medication,,51.0
2011,"Saguenay, Quebec",Medical sharps,,
2011,"Saguenay, Quebec",Leftover paint or solvents,,51.0
2011,"Saguenay, Quebec",Unwanted engine oil or anti-freeze,,22.0
2011,"Saguenay, Quebec",Dead or unwanted batteries (excluding car batteries),,64.0
2011,"Québec, Quebec",Leftover or expired medication,,45.0
2011,"Québec, Quebec",Medical sharps,,7.0
2011,"Québec, Quebec",Leftover paint or solvents,,46.0
2011,"Québec, Quebec",Unwanted engine oil or anti-freeze,,15.0
2011,"Québec, Quebec",Dead or unwanted batteries (excluding car batteries),,63.0
2011,"Sherbrooke, Quebec",Leftover or expired medication,,47.0
2011,"Sherbrooke, Quebec",Medical sharps,,12.0
2011,"Sherbrooke, Quebec",Leftover paint or solvents,,45.0
2011,"Sherbrooke, Quebec",Unwanted engine oil or anti-freeze,,10.0
2011,"Sherbrooke, Quebec",Dead or unwanted batteries (excluding car batteries),,71.0
2011,"Trois-Rivières, Quebec",Leftover or expired medication,,41.0
2011,"Trois-Rivières, Quebec",Medical sharps,,
2011,"Trois-Rivières, Quebec",Leftover paint or solvents,,47.0
2011,"Trois-Rivières, Quebec",Unwanted engine oil or anti-freeze,,14.0
2011,"Trois-Rivières, Quebec",Dead or unwanted batteries (excluding car batteries),,60.0
2011,"Montréal, Quebec",Leftover or expired medication,,41.0
2011,"Montréal, Quebec",Medical sharps,,8.0
2011,"Montréal, Quebec",Leftover paint or solvents,,42.0
2011,"Montréal, Quebec",Unwanted engine oil or anti-freeze,,11.0
2011,"Montréal, Quebec",Dead or unwanted batteries (excluding car batteries),,60.0
2011,"Ottawa-Gatineau, Ontario/Quebec",Leftover or expired medication,,30.0
2011,"Ottawa-Gatineau, Ontario/Quebec",Medical sharps,,9.0
2011,"Ottawa-Gatineau, Ontario/Quebec",Leftover paint or solvents,,36.0
2011,"Ottawa-Gatineau, Ontario/Quebec",Unwanted engine oil or anti-freeze,,15.0
2011,"Ottawa-Gatineau, Ontario/Quebec",Dead or unwanted batteries (excluding car batteries),,57.0
2011,Ottawa-Gatineau (Quebec part),Leftover or expired medication,,44.0
