Year,Geography,Type of materials diverted,Sources of materials prepared for recycling,GeoCode,Value
2018,Canada,All materials diverted,All sources of diverted materials,,9551229.0
2020,Canada,All materials diverted,All sources of diverted materials,,9903027.0
2018,Canada,All paper fibres,All sources of diverted materials,,3519689.0
2020,Canada,All paper fibres,All sources of diverted materials,,3502683.0
2018,Canada,All paper fibres,Residential sources of diverted materials,,1537059.0
2020,Canada,All paper fibres,Residential sources of diverted materials,,1548028.0
2018,Canada,All paper fibres,Non-residential sources of diverted materials,,1982630.0
2020,Canada,All paper fibres,Non-residential sources of diverted materials,,1954655.0
2018,Canada,Glass,All sources of diverted materials,,396931.0
2020,Canada,Glass,All sources of diverted materials,,423565.0
2018,Canada,Glass,Residential sources of diverted materials,,298052.0
2020,Canada,Glass,Residential sources of diverted materials,,303780.0
2018,Canada,Glass,Non-residential sources of diverted materials,,98879.0
2020,Canada,Glass,Non-residential sources of diverted materials,,119785.0
2018,Canada,Ferrous metals,All sources of diverted materials,,624866.0
2020,Canada,Ferrous metals,All sources of diverted materials,,722367.0
2018,Canada,Ferrous metals,Residential sources of diverted materials,,114861.0
2020,Canada,Ferrous metals,Residential sources of diverted materials,,126447.0
2018,Canada,Ferrous metals,Non-residential sources of diverted materials,,510005.0
2020,Canada,Ferrous metals,Non-residential sources of diverted materials,,595920.0
2018,Canada,Copper and aluminum,All sources of diverted materials,,132062.0
2020,Canada,Copper and aluminum,All sources of diverted materials,,76847.0
2018,Canada,Copper and aluminum,Residential sources of diverted materials,,40715.0
2020,Canada,Copper and aluminum,Residential sources of diverted materials,,46248.0
2018,Canada,Copper and aluminum,Non-residential sources of diverted materials,,91347.0
2020,Canada,Copper and aluminum,Non-residential sources of diverted materials,,30599.0
2018,Canada,Mixed metals,All sources of diverted materials,,116987.0
2020,Canada,Mixed metals,All sources of diverted materials,,132548.0
2018,Canada,Mixed metals,Residential sources of diverted materials,,59862.0
2020,Canada,Mixed metals,Residential sources of diverted materials,,61025.0
2018,Canada,Mixed metals,Non-residential sources of diverted materials,,57125.0
2020,Canada,Mixed metals,Non-residential sources of diverted materials,,71524.0
2018,Canada,White goods,All sources of diverted materials,,63459.0
2020,Canada,White goods,All sources of diverted materials,,63119.0
2018,Canada,White goods,Residential sources of diverted materials,,38603.0
2020,Canada,White goods,Residential sources of diverted materials,,41832.0
2018,Canada,White goods,Non-residential sources of diverted materials,,24856.0
2020,Canada,White goods,Non-residential sources of diverted materials,,21287.0
2018,Canada,Electronics,All sources of diverted materials,,105270.0
2020,Canada,Electronics,All sources of diverted materials,,95176.0
2018,Canada,Electronics,Residential sources of diverted materials,,
2020,Canada,Electronics,Residential sources of diverted materials,,
2018,Canada,Electronics,Non-residential sources of diverted materials,,
2020,Canada,Electronics,Non-residential sources of diverted materials,,
2018,Canada,Plastics,All sources of diverted materials,,354559.0
2020,Canada,Plastics,All sources of diverted materials,,368343.0
2018,Canada,Plastics,Residential sources of diverted materials,,250323.0
2020,Canada,Plastics,Residential sources of diverted materials,,239874.0
2018,Canada,Plastics,Non-residential sources of diverted materials,,104236.0
2020,Canada,Plastics,Non-residential sources of diverted materials,,128469.0
2018,Canada,Gable top and aseptic containers,All sources of diverted materials,,25223.0
2020,Canada,Gable top and aseptic containers,All sources of diverted materials,,20265.0
2018,Canada,Gable top and aseptic containers,Residential sources of diverted materials,,22205.0
2020,Canada,Gable top and aseptic containers,Residential sources of diverted materials,,17853.0
2018,Canada,Gable top and aseptic containers,Non-residential sources of diverted materials,,3018.0
2020,Canada,Gable top and aseptic containers,Non-residential sources of diverted materials,,2411.0
2018,Canada,Textiles,All sources of diverted materials,,58895.0
2020,Canada,Textiles,All sources of diverted materials,,62363.0
2018,Canada,Textiles,Residential sources of diverted materials,,58407.0
2020,Canada,Textiles,Residential sources of diverted materials,,61840.0
2018,Canada,Textiles,Non-residential sources of diverted materials,,488.0
2020,Canada,Textiles,Non-residential sources of diverted materials,,523.0
2018,Canada,Tires,All sources of diverted materials,,487904.0
2020,Canada,Tires,All sources of diverted materials,,430467.0
2018,Canada,Tires,Residential sources of diverted materials,,
2020,Canada,Tires,Residential sources of diverted materials,,
2018,Canada,Tires,Non-residential sources of diverted materials,,
2020,Canada,Tires,Non-residential sources of diverted materials,,
2018,Canada,"Construction, renovation and demolition",All sources of diverted materials,,722451.0
2020,Canada,"Construction, renovation and demolition",All sources of diverted materials,,750525.0
2018,Canada,"Construction, renovation and demolition",Residential sources of diverted materials,,117626.0
2020,Canada,"Construction, renovation and demolition",Residential sources of diverted materials,,124613.0
2018,Canada,"Construction, renovation and demolition",Non-residential sources of diverted materials,,604825.0
2020,Canada,"Construction, renovation and demolition",Non-residential sources of diverted materials,,625912.0
2018,Canada,Organics,All sources of diverted materials,,2878960.0
2020,Canada,Organics,All sources of diverted materials,,3152774.0
2018,Canada,Organics,Residential sources of diverted materials,,2278984.0
2020,Canada,Organics,Residential sources of diverted materials,,2511704.0
2018,Canada,Organics,Non-residential sources of diverted materials,,599976.0
2020,Canada,Organics,Non-residential sources of diverted materials,,641070.0
2018,Canada,Other materials,All sources of diverted materials,,63973.0
2020,Canada,Other materials,All sources of diverted materials,,101985.0
2018,Canada,Other materials,Residential sources of diverted materials,,46485.0
2020,Canada,Other materials,Residential sources of diverted materials,,79399.0
2018,Canada,Other materials,Non-residential sources of diverted materials,,17488.0
2020,Canada,Other materials,Non-residential sources of diverted materials,,22587.0
2018,Newfoundland and Labrador,All materials diverted,All sources of diverted materials,10,41739.0
