Year,Standard Accounting Tools,Value
2008,,6
2009,,9
2010,,8
2011,,9
2012,,9
2013,,9
2014,,9
2015,,9
2016,,8
2017,,10
2018,,8
2019,,8
2020,,6
2021,,6
2008,Tourism Satellite Account Tables,6
2009,Tourism Satellite Account Tables,6
2010,Tourism Satellite Account Tables,6
2011,Tourism Satellite Account Tables,6
2012,Tourism Satellite Account Tables,7
2013,Tourism Satellite Account Tables,6
2014,Tourism Satellite Account Tables,7
2015,Tourism Satellite Account Tables,6
2016,Tourism Satellite Account Tables,6
2017,Tourism Satellite Account Tables,7
2018,Tourism Satellite Account Tables,6
2019,Tourism Satellite Account Tables,6
2020,Tourism Satellite Account Tables,6
2021,Tourism Satellite Account Tables,6
2008,System of Environmental Economic Accounting Tables,0
2009,System of Environmental Economic Accounting Tables,3
2010,System of Environmental Economic Accounting Tables,2
2011,System of Environmental Economic Accounting Tables,3
2012,System of Environmental Economic Accounting Tables,2
2013,System of Environmental Economic Accounting Tables,3
2014,System of Environmental Economic Accounting Tables,2
2015,System of Environmental Economic Accounting Tables,3
2016,System of Environmental Economic Accounting Tables,2
2017,System of Environmental Economic Accounting Tables,3
2018,System of Environmental Economic Accounting Tables,2
2019,System of Environmental Economic Accounting Tables,2
2020,System of Environmental Economic Accounting Tables,0
2021,System of Environmental Economic Accounting Tables,0
