Year,Stock group,Value
2011,,89.6774193548387
2012,,95.483870967742
2013,,97.4193548387097
2014,,98.7012987012987
2015,,95.5974842767296
2016,,95.8823529411765
2017,,95.5307262569832
2018,,96.045197740113
2019,,94.3181818181818
2020,,98.3333333333333
2021,,95.3125
2022,,96.9230769230769
2023,,97.4874371859297
2023,Marine mammals,94.1176470588235
2023,Groundfish,100.0
2023,Small pelagics,95.8333333333333
2023,Large pelagics,100.0
2023,Salmonids,96.0
2023,Crustaceans,98.2142857142857
2023,Molluscs,100.0
2023,Others,83.3333333333333
2022,Marine mammals,94.1176470588235
2022,Groundfish,100.0
2022,Small pelagics,100.0
2022,Large pelagics,100.0
2022,Salmonids,96.0
2022,Crustaceans,92.3076923076923
2022,Molluscs,100.0
2022,Others,100.0
2021,Marine mammals,94.1176470588235
2021,Groundfish,100.0
2021,Small pelagics,95.0
2021,Large pelagics,100.0
2021,Salmonids,91.6666666666667
2021,Crustaceans,92.3076923076923
2021,Molluscs,94.4444444444444
2021,Others,100.0
2020,Marine mammals,94.1176470588235
2020,Groundfish,100.0
2020,Small pelagics,100.0
2020,Large pelagics,100.0
2020,Salmonids,95.4545454545455
2020,Crustaceans,97.6744186046512
2020,Molluscs,100.0
2020,Others,100.0
