Year,Gender,Indigenous identity,Geography,GeoCode,Value
2014,,,,,1.48
2015,,,,,1.72
2016,,,,,1.71
2017,,,,,1.83
2018,,,,,1.79
2019,,,,,1.84
2020,,,,,2.01
2021,,,,,2.09
2022,,,,,2.27
2023,,,,,1.99
2024,,,,,1.91
2014,All genders,Indigenous identity,Canada,,7.19
2014,All genders,Non-Indigenous identity,Canada,,1.18
2014,Male,Total,Canada,,2.12
2014,Male,Indigenous identity,Canada,,10.87
2014,Male,Non-Indigenous identity,Canada,,1.65
2014,Female,Total,Canada,,0.86
2014,Female,Indigenous identity,Canada,,3.63
2014,Female,Non-Indigenous identity,Canada,,0.72
2014,All genders,Total,Newfoundland and Labrador,10,0.38
2014,All genders,Indigenous identity,Newfoundland and Labrador,,0.0
2014,All genders,Non-Indigenous identity,Newfoundland and Labrador,,0.41
2014,Male,Total,Newfoundland and Labrador,,0.77
2014,Male,Indigenous identity,Newfoundland and Labrador,,0.0
2014,Male,Non-Indigenous identity,Newfoundland and Labrador,,0.83
2014,Female,Total,Newfoundland and Labrador,,0.0
2014,Female,Indigenous identity,Newfoundland and Labrador,,0.0
2014,Female,Non-Indigenous identity,Newfoundland and Labrador,,0.0
2014,All genders,Total,Prince Edward Island,11,2.06
2014,All genders,Indigenous identity,Prince Edward Island,,0.0
2014,All genders,Non-Indigenous identity,Prince Edward Island,,2.1
2014,Male,Total,Prince Edward Island,,4.23
2014,Male,Indigenous identity,Prince Edward Island,,0.0
2014,Male,Non-Indigenous identity,Prince Edward Island,,4.31
2014,Female,Total,Prince Edward Island,,0.0
2014,Female,Indigenous identity,Prince Edward Island,,0.0
2014,Female,Non-Indigenous identity,Prince Edward Island,,0.0
2014,All genders,Total,Nova Scotia,12,0.64
2014,All genders,Indigenous identity,Nova Scotia,,2.14
2014,All genders,Non-Indigenous identity,Nova Scotia,,0.45
2014,Male,Total,Nova Scotia,,0.87
2014,Male,Indigenous identity,Nova Scotia,,0.0
2014,Male,Non-Indigenous identity,Nova Scotia,,0.68
2014,Female,Total,Nova Scotia,,0.42
2014,Female,Indigenous identity,Nova Scotia,,4.19
2014,Female,Non-Indigenous identity,Nova Scotia,,0.22
2014,All genders,Total,New Brunswick,13,1.45
2014,All genders,Indigenous identity,New Brunswick,,0.0
2014,All genders,Non-Indigenous identity,New Brunswick,,1.5
2014,Male,Total,New Brunswick,,1.6
2014,Male,Indigenous identity,New Brunswick,,0.0
2014,Male,Non-Indigenous identity,New Brunswick,,1.66
2014,Female,Total,New Brunswick,,1.3
2014,Female,Indigenous identity,New Brunswick,,0.0
2014,Female,Non-Indigenous identity,New Brunswick,,1.35
2014,All genders,Total,Quebec,24,0.89
2014,All genders,Indigenous identity,Quebec,,2.15
2014,All genders,Non-Indigenous identity,Quebec,,0.83
2014,Male,Total,Quebec,,1.19
2014,Male,Indigenous identity,Quebec,,2.12
2014,Male,Non-Indigenous identity,Quebec,,1.11
2014,Female,Total,Quebec,,0.59
2014,Female,Indigenous identity,Quebec,,2.17
2014,Female,Non-Indigenous identity,Quebec,,0.55
2014,All genders,Total,Ontario,35,1.15
2014,All genders,Indigenous identity,Ontario,,5.57
2014,All genders,Non-Indigenous identity,Ontario,,1.0
2014,Male,Total,Ontario,,1.72
2014,Male,Indigenous identity,Ontario,,9.8
2014,Male,Non-Indigenous identity,Ontario,,1.46
2014,Female,Total,Ontario,,0.59
2014,Female,Indigenous identity,Ontario,,1.55
2014,Female,Non-Indigenous identity,Ontario,,0.55
2014,All genders,Total,Manitoba,46,3.51
2014,All genders,Indigenous identity,Manitoba,,12.88
2014,All genders,Non-Indigenous identity,Manitoba,,1.52
2014,Male,Total,Manitoba,,5.18
2014,Male,Indigenous identity,Manitoba,,19.87
2014,Male,Non-Indigenous identity,Manitoba,,2.09
2014,Female,Total,Manitoba,,1.87
2014,Female,Indigenous identity,Manitoba,,6.12
2014,Female,Non-Indigenous identity,Manitoba,,0.95
2014,All genders,Total,Saskatchewan,47,2.17
2014,All genders,Indigenous identity,Saskatchewan,,6.73
2014,All genders,Non-Indigenous identity,Saskatchewan,,1.29
2014,Male,Total,Saskatchewan,,3.41
2014,Male,Indigenous identity,Saskatchewan,,12.59
2014,Male,Non-Indigenous identity,Saskatchewan,,1.7
2014,Female,Total,Saskatchewan,,0.91
2014,Female,Indigenous identity,Saskatchewan,,1.1
2014,Female,Non-Indigenous identity,Saskatchewan,,0.87
2014,All genders,Total,Alberta,48,2.65
2014,All genders,Indigenous identity,Alberta,,12.23
2014,All genders,Non-Indigenous identity,Alberta,,1.99
2014,Male,Total,Alberta,,3.63
2014,Male,Indigenous identity,Alberta,,17.08
2014,Male,Non-Indigenous identity,Alberta,,2.72
2014,Female,Total,Alberta,,1.65
2014,Female,Indigenous identity,Alberta,,7.53
2014,Female,Non-Indigenous identity,Alberta,,1.24
2014,All genders,Total,British Columbia,59,1.89
2014,All genders,Indigenous identity,British Columbia,,5.17
2014,All genders,Non-Indigenous identity,British Columbia,,1.69
2014,Male,Total,British Columbia,,2.61
2014,Male,Indigenous identity,British Columbia,,8.29
2014,Male,Non-Indigenous identity,British Columbia,,2.27
2014,Female,Total,British Columbia,,1.18
2014,Female,Indigenous identity,British Columbia,,2.17
2014,Female,Non-Indigenous identity,British Columbia,,1.12
2014,All genders,Total,Yukon,60,8.08
2014,All genders,Indigenous identity,Yukon,,11.52
2014,All genders,Non-Indigenous identity,Yukon,,7.03
2014,Male,Total,Yukon,,10.58
2014,Male,Indigenous identity,Yukon,,0.0
2014,Male,Non-Indigenous identity,Yukon,,13.6
2014,Female,Total,Yukon,,5.49
2014,Female,Indigenous identity,Yukon,,22.34
2014,Female,Non-Indigenous identity,Yukon,,0.0
2014,All genders,Total,Northwest Territories,61,6.78
2014,All genders,Indigenous identity,Northwest Territories,,13.27
2014,All genders,Non-Indigenous identity,Northwest Territories,,0.0
2014,Male,Total,Northwest Territories,,8.8
2014,Male,Indigenous identity,Northwest Territories,,17.71
2014,Male,Non-Indigenous identity,Northwest Territories,,0.0
2014,Female,Total,Northwest Territories,,4.65
2014,Female,Indigenous identity,Northwest Territories,,8.84
2014,Female,Non-Indigenous identity,Northwest Territories,,0.0
