Year,Type of childhood maltreatment,Geography,Gender,Age,Immigrant status,Visible minority,Indigenous identity,Disability status,Sexual orientation,GeoCode,Value
2018,,,,,,,,,,,27.04
2018,Physical or sexual abuse,Canada,Male gender,"Total, age",,,,,,,26.13
2018,Physical or sexual abuse,Canada,Female gender,"Total, age",,,,,,,27.87
2018,Physical or sexual abuse,Canada,"Total, gender",15 to 24 years,,,,,,,20.19
2018,Physical or sexual abuse,Canada,Male gender,15 to 24 years,,,,,,,19.87
2018,Physical or sexual abuse,Canada,Female gender,15 to 24 years,,,,,,,20.58
2018,Physical or sexual abuse,Canada,"Total, gender",25 to 34 years,,,,,,,24.82
2018,Physical or sexual abuse,Canada,Male gender,25 to 34 years,,,,,,,21.61
2018,Physical or sexual abuse,Canada,Female gender,25 to 34 years,,,,,,,27.7
2018,Physical or sexual abuse,Canada,"Total, gender",35 to 44 years,,,,,,,29.05
2018,Physical or sexual abuse,Canada,Male gender,35 to 44 years,,,,,,,27.3
2018,Physical or sexual abuse,Canada,Female gender,35 to 44 years,,,,,,,30.7
2018,Physical or sexual abuse,Canada,"Total, gender",45 to 54 years,,,,,,,32.0
2018,Physical or sexual abuse,Canada,Male gender,45 to 54 years,,,,,,,31.34
2018,Physical or sexual abuse,Canada,Female gender,45 to 54 years,,,,,,,32.65
2018,Physical abuse,Canada,"Total, gender","Total, age",,,,,,,23.54
2018,Physical abuse,Canada,Male gender,"Total, age",,,,,,,24.8
2018,Physical abuse,Canada,Female gender,"Total, age",,,,,,,22.26
2018,Physical abuse,Canada,"Total, gender",15 to 24 years,,,,,,,18.77
2018,Physical abuse,Canada,Male gender,15 to 24 years,,,,,,,19.39
2018,Physical abuse,Canada,Female gender,15 to 24 years,,,,,,,18.17
2018,Physical abuse,Canada,"Total, gender",25 to 34 years,,,,,,,22.54
2018,Physical abuse,Canada,Male gender,25 to 34 years,,,,,,,20.86
2018,Physical abuse,Canada,Female gender,25 to 34 years,,,,,,,23.85
2018,Physical abuse,Canada,"Total, gender",35 to 44 years,,,,,,,25.16
2018,Physical abuse,Canada,Male gender,35 to 44 years,,,,,,,25.82
2018,Physical abuse,Canada,Female gender,35 to 44 years,,,,,,,24.41
2018,Physical abuse,Canada,"Total, gender",45 to 54 years,,,,,,,27.66
2018,Physical abuse,Canada,Male gender,45 to 54 years,,,,,,,29.42
2018,Physical abuse,Canada,Female gender,45 to 54 years,,,,,,,25.91
2018,Sexual abuse,Canada,"Total, gender","Total, age",,,,,,,7.77
2018,Sexual abuse,Canada,Male gender,"Total, age",,,,,,,3.7
2018,Sexual abuse,Canada,Female gender,"Total, age",,,,,,,11.76
2018,Sexual abuse,Canada,"Total, gender",15 to 24 years,,,,,,,3.14
2018,Sexual abuse,Canada,Male gender,15 to 24 years,,,,,,,1.33
2018,Sexual abuse,Canada,Female gender,15 to 24 years,,,,,,,5.1
2018,Sexual abuse,Canada,"Total, gender",25 to 34 years,,,,,,,5.33
2018,Sexual abuse,Canada,Male gender,25 to 34 years,,,,,,,2.2
2018,Sexual abuse,Canada,Female gender,25 to 34 years,,,,,,,8.51
2018,Sexual abuse,Canada,"Total, gender",35 to 44 years,,,,,,,8.99
2018,Sexual abuse,Canada,Male gender,35 to 44 years,,,,,,,4.46
2018,Sexual abuse,Canada,Female gender,35 to 44 years,,,,,,,13.44
2018,Sexual abuse,Canada,"Total, gender",45 to 54 years,,,,,,,10.52
2018,Sexual abuse,Canada,Male gender,45 to 54 years,,,,,,,5.31
2018,Sexual abuse,Canada,Female gender,45 to 54 years,,,,,,,15.71
2018,Physical or sexual abuse,Newfoundland and Labrador,"Total, gender","Total, age",,,,,,10,18.92
2018,Physical or sexual abuse,Newfoundland and Labrador,Male gender,"Total, age",,,,,,10,18.91
2018,Physical or sexual abuse,Newfoundland and Labrador,Female gender,"Total, age",,,,,,10,18.97
2018,Physical or sexual abuse,Newfoundland and Labrador,"Total, gender",25 to 34 years,,,,,,10,12.91
2018,Physical or sexual abuse,Newfoundland and Labrador,Female gender,25 to 34 years,,,,,,10,18.28
2018,Physical or sexual abuse,Newfoundland and Labrador,"Total, gender",35 to 44 years,,,,,,10,17.17
2018,Physical or sexual abuse,Newfoundland and Labrador,Male gender,35 to 44 years,,,,,,10,13.44
2018,Physical or sexual abuse,Newfoundland and Labrador,Female gender,35 to 44 years,,,,,,10,20.57
2018,Physical or sexual abuse,Newfoundland and Labrador,"Total, gender",45 to 54 years,,,,,,10,27.36
2018,Physical or sexual abuse,Newfoundland and Labrador,Male gender,45 to 54 years,,,,,,10,27.48
2018,Physical or sexual abuse,Newfoundland and Labrador,Female gender,45 to 54 years,,,,,,10,27.25
2018,Physical abuse,Newfoundland and Labrador,"Total, gender","Total, age",,,,,,10,15.92
2018,Physical abuse,Newfoundland and Labrador,Male gender,"Total, age",,,,,,10,18.32
2018,Physical abuse,Newfoundland and Labrador,Female gender,"Total, age",,,,,,10,13.69
2018,Physical abuse,Newfoundland and Labrador,"Total, gender",25 to 34 years,,,,,,10,11.04
2018,Physical abuse,Newfoundland and Labrador,Female gender,25 to 34 years,,,,,,10,15.41
