Year,Institutions,Selected sociodemographic characteristics,Visible minority,COMMENT_OBS,Value
2020,Confidence in the justice system and courts,"Total, 15 years and over",Total population,,55.2
2020,Confidence in Federal Parliament,"Total, 15 years and over",Total population,,44.4
2020,Confidence in the justice system and courts,15 to 24 years,Total population,,51.5
2020,Confidence in Federal Parliament,15 to 24 years,Total population,,42.4
2020,Confidence in the justice system and courts,25 to 64 years,Total population,,54.5
2020,Confidence in Federal Parliament,25 to 64 years,Total population,,43.5
2020,Confidence in the justice system and courts,65 years and over,Total population,,59.8
2020,Confidence in Federal Parliament,65 years and over,Total population,,48.5
2020,Confidence in the justice system and courts,Men,Total population,,56.9
2020,Confidence in Federal Parliament,Men,Total population,,44.0
2020,Confidence in the justice system and courts,Women,Total population,,53.9
2020,Confidence in Federal Parliament,Women,Total population,,45.2
2020,Confidence in the justice system and courts,Immigrants,Total population,,68.6
2020,Confidence in Federal Parliament,Immigrants,Total population,,59.6
2020,Confidence in the justice system and courts,Non-immigrants,Total population,,49.8
2020,Confidence in Federal Parliament,Non-immigrants,Total population,,38.1
2020,Confidence in the justice system and courts,First generation,Total population,,69.3
2020,Confidence in Federal Parliament,First generation,Total population,,60.3
2020,Confidence in the justice system and courts,Second generation,Total population,,49.7
2020,Confidence in Federal Parliament,Second generation,Total population,,39.4
2020,Confidence in the justice system and courts,Third generation or more,Total population,,50.0
2020,Confidence in Federal Parliament,Third generation or more,Total population,,37.9
2020,Confidence in the justice system and courts,"First official language spoken, English only",Total population,,56.3
2020,Confidence in Federal Parliament,"First official language spoken, English only",Total population,,44.5
2020,Confidence in the justice system and courts,"First official language spoken, French only",Total population,,57.4
2020,Confidence in Federal Parliament,"First official language spoken, French only",Total population,,48.7
2020,Confidence in the justice system and courts,Secondary (high) school diploma or equivalency certificate or less,Total population,,50.3
2020,Confidence in Federal Parliament,Secondary (high) school diploma or equivalency certificate or less,Total population,,40.8
2020,Confidence in the justice system and courts,Postsecondary certificate or diploma (non-university),Total population,,51.5
2020,Confidence in Federal Parliament,Postsecondary certificate or diploma (non-university),Total population,,39.9
2020,Confidence in the justice system and courts,University certificate or diploma,Total population,,62.6
2020,Confidence in Federal Parliament,University certificate or diploma,Total population,,51.2
2020,Confidence in the justice system and courts,"Total, 15 years and over",Total visible minority population,,65.7
2020,Confidence in Federal Parliament,"Total, 15 years and over",Total visible minority population,,58.7
2020,Confidence in the justice system and courts,15 to 24 years,Total visible minority population,,56.1
2020,Confidence in Federal Parliament,15 to 24 years,Total visible minority population,,44.8
2020,Confidence in the justice system and courts,25 to 64 years,Total visible minority population,,67.7
2020,Confidence in Federal Parliament,25 to 64 years,Total visible minority population,,61.6
2020,Confidence in the justice system and courts,65 years and over,Total visible minority population,,71.1
2020,Confidence in Federal Parliament,65 years and over,Total visible minority population,,65.7
2020,Confidence in the justice system and courts,Men,Total visible minority population,,68.7
2020,Confidence in Federal Parliament,Men,Total visible minority population,,61.2
2020,Confidence in the justice system and courts,Women,Total visible minority population,,63.0
2020,Confidence in Federal Parliament,Women,Total visible minority population,,56.5
2020,Confidence in the justice system and courts,Immigrants,Total visible minority population,,71.2
2020,Confidence in Federal Parliament,Immigrants,Total visible minority population,,63.0
2020,Confidence in the justice system and courts,Non-immigrants,Total visible minority population,,42.4
2020,Confidence in Federal Parliament,Non-immigrants,Total visible minority population,,38.5
2020,Confidence in the justice system and courts,First generation,Total visible minority population,,71.7
2020,Confidence in Federal Parliament,First generation,Total visible minority population,,63.7
2020,Confidence in the justice system and courts,Second generation,Total visible minority population,,44.2
2020,Confidence in Federal Parliament,Second generation,Total visible minority population,,42.6
2020,Confidence in the justice system and courts,Third generation or more,Total visible minority population,,
2020,Confidence in Federal Parliament,Third generation or more,Total visible minority population,,
2020,Confidence in the justice system and courts,"First official language spoken, English only",Total visible minority population,,67.2
2020,Confidence in Federal Parliament,"First official language spoken, English only",Total visible minority population,,59.7
2020,Confidence in the justice system and courts,"First official language spoken, French only",Total visible minority population,,68.0
2020,Confidence in Federal Parliament,"First official language spoken, French only",Total visible minority population,,64.6
2020,Confidence in the justice system and courts,Secondary (high) school diploma or equivalency certificate or less,Total visible minority population,,60.3
2020,Confidence in Federal Parliament,Secondary (high) school diploma or equivalency certificate or less,Total visible minority population,,54.3
