Year,Series,Value
2015,Foreign Direct Investment (FDI) Inflow,30.27
2016,Foreign Direct Investment (FDI) Inflow,31.83
2017,Foreign Direct Investment (FDI) Inflow,34.38
2018,Foreign Direct Investment (FDI) Inflow,35.95
2019,Foreign Direct Investment (FDI) Inflow,42.62
2020,Foreign Direct Investment (FDI) Inflow,43.2
2021,Foreign Direct Investment (FDI) Inflow,46.39
2022,Foreign Direct Investment (FDI) Inflow,45.43
2023,Foreign Direct Investment (FDI) Inflow,47.53
2015,Official Development Assistance (ODA),0.27
2016,Official Development Assistance (ODA),0.26
2017,Official Development Assistance (ODA),0.27
2018,Official Development Assistance (ODA),0.28
2019,Official Development Assistance (ODA),0.27
2020,Official Development Assistance (ODA),0.31
2021,Official Development Assistance (ODA),0.32
2022,Official Development Assistance (ODA),0.37
2023,Official Development Assistance (ODA),0.38
