Year,Population group,Severity,Value
2000,,,9.3
2001,,,9.0
2002,,,8.9
2003,,,8.8
2004,,,8.8
2005,,,8.7
2006,,,8.7
2007,,,8.7
2008,,,8.7
2009,,,8.7
2010,,,8.7
2011,,,8.8
2012,,,8.8
2013,,,9.0
2014,,,9.1
2015,,,9.3
2016,,,9.5
2017,,,9.7
2018,,,10.0
2019,,,10.4
2000,Women of reproductive age,Severe,0.4
2001,Women of reproductive age,Severe,0.4
2002,Women of reproductive age,Severe,0.3
2003,Women of reproductive age,Severe,0.3
2004,Women of reproductive age,Severe,0.3
2005,Women of reproductive age,Severe,0.3
2006,Women of reproductive age,Severe,0.3
2007,Women of reproductive age,Severe,0.3
2008,Women of reproductive age,Severe,0.3
2009,Women of reproductive age,Severe,0.3
2010,Women of reproductive age,Severe,0.3
2011,Women of reproductive age,Severe,0.3
2012,Women of reproductive age,Severe,0.3
2013,Women of reproductive age,Severe,0.3
2014,Women of reproductive age,Severe,0.3
2015,Women of reproductive age,Severe,0.3
2016,Women of reproductive age,Severe,0.3
2017,Women of reproductive age,Severe,0.3
2018,Women of reproductive age,Severe,0.3
2019,Women of reproductive age,Severe,0.3
2000,Women of reproductive age,Moderate,2.3
2001,Women of reproductive age,Moderate,2.2
2002,Women of reproductive age,Moderate,2.1
2003,Women of reproductive age,Moderate,2.1
2004,Women of reproductive age,Moderate,2.0
2005,Women of reproductive age,Moderate,2.0
2006,Women of reproductive age,Moderate,2.0
2007,Women of reproductive age,Moderate,2.0
2008,Women of reproductive age,Moderate,2.0
2009,Women of reproductive age,Moderate,2.0
2010,Women of reproductive age,Moderate,2.0
2011,Women of reproductive age,Moderate,2.0
2012,Women of reproductive age,Moderate,2.0
2013,Women of reproductive age,Moderate,2.0
2014,Women of reproductive age,Moderate,2.1
2015,Women of reproductive age,Moderate,2.1
2016,Women of reproductive age,Moderate,2.2
2017,Women of reproductive age,Moderate,2.3
2018,Women of reproductive age,Moderate,2.4
2019,Women of reproductive age,Moderate,2.6
2000,Women of reproductive age,Mild,6.6
2001,Women of reproductive age,Mild,6.5
2002,Women of reproductive age,Mild,6.4
2003,Women of reproductive age,Mild,6.4
2004,Women of reproductive age,Mild,6.4
2005,Women of reproductive age,Mild,6.4
2006,Women of reproductive age,Mild,6.4
2007,Women of reproductive age,Mild,6.4
2008,Women of reproductive age,Mild,6.4
2009,Women of reproductive age,Mild,6.4
2010,Women of reproductive age,Mild,6.5
2011,Women of reproductive age,Mild,6.5
2012,Women of reproductive age,Mild,6.6
2013,Women of reproductive age,Mild,6.7
2014,Women of reproductive age,Mild,6.8
2015,Women of reproductive age,Mild,6.9
2016,Women of reproductive age,Mild,7.0
2017,Women of reproductive age,Mild,7.1
2018,Women of reproductive age,Mild,7.3
2019,Women of reproductive age,Mild,7.5
2019,Pregnant women only,Severe,0.2
2019,Pregnant women only,Mild,11.1
2019,Pregnant women only,Total,16.0
2019,Pregnant women only,Moderate,4.7
2018,Pregnant women only,Severe,0.2
2018,Pregnant women only,Mild,11.0
2018,Pregnant women only,Total,15.7
2018,Pregnant women only,Moderate,4.6
2017,Pregnant women only,Severe,0.2
2017,Pregnant women only,Mild,10.9
2017,Pregnant women only,Total,15.5
2017,Pregnant women only,Moderate,4.5
2016,Pregnant women only,Severe,0.2
2016,Pregnant women only,Mild,10.7
2016,Pregnant women only,Total,15.4
2016,Pregnant women only,Moderate,4.5
2015,Pregnant women only,Severe,0.2
2015,Pregnant women only,Mild,10.6
2015,Pregnant women only,Total,15.2
2015,Pregnant women only,Moderate,4.4
2014,Pregnant women only,Severe,0.2
2014,Pregnant women only,Mild,10.5
2014,Pregnant women only,Total,15.0
2014,Pregnant women only,Moderate,4.3
2013,Pregnant women only,Severe,0.2
2013,Pregnant women only,Mild,10.4
2013,Pregnant women only,Total,14.8
2013,Pregnant women only,Moderate,4.3
2012,Pregnant women only,Severe,0.2
2012,Pregnant women only,Mild,10.2
2012,Pregnant women only,Total,14.7
2012,Pregnant women only,Moderate,4.3
2011,Pregnant women only,Severe,0.2
2011,Pregnant women only,Mild,10.2
2011,Pregnant women only,Total,14.6
2011,Pregnant women only,Moderate,4.2
2010,Pregnant women only,Severe,0.2
2010,Pregnant women only,Mild,10.1
2010,Pregnant women only,Total,14.6
2010,Pregnant women only,Moderate,4.3
2009,Pregnant women only,Severe,0.2
2009,Pregnant women only,Mild,10.1
2009,Pregnant women only,Total,14.6
2009,Pregnant women only,Moderate,4.3
2008,Pregnant women only,Severe,0.2
2008,Pregnant women only,Mild,10.0
2008,Pregnant women only,Total,14.6
2008,Pregnant women only,Moderate,4.3
2007,Pregnant women only,Severe,0.2
2007,Pregnant women only,Mild,10.0
2007,Pregnant women only,Total,14.6
2007,Pregnant women only,Moderate,4.4
2006,Pregnant women only,Severe,0.3
2006,Pregnant women only,Mild,10.0
2006,Pregnant women only,Total,14.6
2006,Pregnant women only,Moderate,4.4
2005,Pregnant women only,Severe,0.3
2005,Pregnant women only,Mild,10.0
2005,Pregnant women only,Total,14.7
2005,Pregnant women only,Moderate,4.4
2004,Pregnant women only,Severe,0.3
2004,Pregnant women only,Mild,10.0
2004,Pregnant women only,Total,14.8
2004,Pregnant women only,Moderate,4.5
2003,Pregnant women only,Severe,0.3
2003,Pregnant women only,Mild,10.1
2003,Pregnant women only,Total,14.9
2003,Pregnant women only,Moderate,4.6
2002,Pregnant women only,Severe,0.3
2002,Pregnant women only,Mild,10.1
2002,Pregnant women only,Total,15.1
2002,Pregnant women only,Moderate,4.6
2001,Pregnant women only,Severe,0.3
2001,Pregnant women only,Mild,10.2
2001,Pregnant women only,Total,15.3
2001,Pregnant women only,Moderate,4.8
2000,Pregnant women only,Severe,0.3
2000,Pregnant women only,Mild,10.4
2000,Pregnant women only,Total,15.7
2000,Pregnant women only,Moderate,5.0
2019,Non-pregnant women only,Severe,0.3
2019,Non-pregnant women only,Total,10.2
2019,Non-pregnant women only,Moderate,2.5
2019,Non-pregnant women only,Mild,7.4
2018,Non-pregnant women only,Severe,0.3
2018,Non-pregnant women only,Moderate,2.4
2018,Non-pregnant women only,Mild,7.2
2018,Non-pregnant women only,Total,9.8
2017,Non-pregnant women only,Severe,0.3
2017,Non-pregnant women only,Moderate,2.3
2017,Non-pregnant women only,Mild,7.0
2017,Non-pregnant women only,Total,9.5
2016,Non-pregnant women only,Severe,0.3
2016,Non-pregnant women only,Moderate,2.2
2016,Non-pregnant women only,Mild,6.9
2016,Non-pregnant women only,Total,9.3
2015,Non-pregnant women only,Severe,0.3
2015,Non-pregnant women only,Moderate,2.1
2015,Non-pregnant women only,Mild,6.8
2015,Non-pregnant women only,Total,9.1
2014,Non-pregnant women only,Severe,0.3
2014,Non-pregnant women only,Moderate,2.0
2014,Non-pregnant women only,Mild,6.7
2014,Non-pregnant women only,Total,8.9
2013,Non-pregnant women only,Severe,0.3
2013,Non-pregnant women only,Moderate,2.0
2013,Non-pregnant women only,Mild,6.6
2013,Non-pregnant women only,Total,8.8
2012,Non-pregnant women only,Severe,0.3
2012,Non-pregnant women only,Moderate,1.9
2012,Non-pregnant women only,Mild,6.5
2012,Non-pregnant women only,Total,8.7
2011,Non-pregnant women only,Severe,0.3
2011,Non-pregnant women only,Moderate,1.9
2011,Non-pregnant women only,Mild,6.4
2011,Non-pregnant women only,Total,8.6
2010,Non-pregnant women only,Severe,0.3
2010,Non-pregnant women only,Moderate,1.9
2010,Non-pregnant women only,Mild,6.4
2010,Non-pregnant women only,Total,8.5
2009,Non-pregnant women only,Severe,0.3
2009,Non-pregnant women only,Moderate,1.9
2009,Non-pregnant women only,Mild,6.3
2009,Non-pregnant women only,Total,8.5
2008,Non-pregnant women only,Severe,0.3
2008,Non-pregnant women only,Moderate,1.9
2008,Non-pregnant women only,Mild,6.3
2008,Non-pregnant women only,Total,8.5
2007,Non-pregnant women only,Severe,0.3
2007,Non-pregnant women only,Moderate,1.9
2007,Non-pregnant women only,Mild,6.3
2007,Non-pregnant women only,Total,8.5
2006,Non-pregnant women only,Severe,0.3
2006,Non-pregnant women only,Moderate,1.9
2006,Non-pregnant women only,Mild,6.3
2006,Non-pregnant women only,Total,8.5
2005,Non-pregnant women only,Severe,0.3
2005,Non-pregnant women only,Moderate,1.9
2005,Non-pregnant women only,Mild,6.3
2005,Non-pregnant women only,Total,8.6
2004,Non-pregnant women only,Severe,0.3
2004,Non-pregnant women only,Moderate,2.0
2004,Non-pregnant women only,Mild,6.3
2004,Non-pregnant women only,Total,8.6
2003,Non-pregnant women only,Severe,0.3
2003,Non-pregnant women only,Moderate,2.0
2003,Non-pregnant women only,Mild,6.3
2003,Non-pregnant women only,Total,8.7
2002,Non-pregnant women only,Severe,0.4
2002,Non-pregnant women only,Moderate,2.0
2002,Non-pregnant women only,Mild,6.4
2002,Non-pregnant women only,Total,8.7
2001,Non-pregnant women only,Severe,0.4
2001,Non-pregnant women only,Moderate,2.1
2001,Non-pregnant women only,Mild,6.4
2001,Non-pregnant women only,Total,8.9
2000,Non-pregnant women only,Severe,0.4
