Year,Size,Characteristics,Value
2001,Small-scale food producers,Total,-5671
2006,Small-scale food producers,Total,-5571
2011,Small-scale food producers,Total,-5220
2016,Small-scale food producers,Total,-3030
2021,Small-scale food producers,Total,-5138
2001,Small-scale food producers,Male,-6022
2006,Small-scale food producers,Male,-5952
2011,Small-scale food producers,Male,-5575
2016,Small-scale food producers,Male,-3060
2021,Small-scale food producers,Male,-5523
2001,Small-scale food producers,Female,-4824
2006,Small-scale food producers,Female,-4718
2011,Small-scale food producers,Female,-4433
2016,Small-scale food producers,Female,-2971
2021,Small-scale food producers,Female,-4406
2001,Small-scale food producers,Under 35 years,-6125
2006,Small-scale food producers,Under 35 years,-5720
2011,Small-scale food producers,Under 35 years,-5263
2016,Small-scale food producers,Under 35 years,-3128
2021,Small-scale food producers,Under 35 years,-5460
2001,Small-scale food producers,35 to 54 years,-6300
2006,Small-scale food producers,35 to 54 years,-6173
2011,Small-scale food producers,35 to 54 years,-6086
2016,Small-scale food producers,35 to 54 years,-3358
2021,Small-scale food producers,35 to 54 years,-6397
2001,Small-scale food producers,55 years and over,-4798
2006,Small-scale food producers,55 years and over,-4960
2011,Small-scale food producers,55 years and over,-4617
2016,Small-scale food producers,55 years and over,-2840
2021,Small-scale food producers,55 years and over,-4586
2001,Medium-Large scale food producers,Total,32717
2006,Medium-Large scale food producers,Total,39161
2011,Medium-Large scale food producers,Total,66051
2016,Medium-Large scale food producers,Total,93995
2021,Medium-Large scale food producers,Total,122075
2001,Medium-Large scale food producers,Male,37249
2006,Medium-Large scale food producers,Male,44557
2011,Medium-Large scale food producers,Male,76164
2016,Medium-Large scale food producers,Male,108019
2021,Medium-Large scale food producers,Male,139323
2001,Medium-Large scale food producers,Female,18739
2006,Medium-Large scale food producers,Female,23682
2011,Medium-Large scale food producers,Female,35968
2016,Medium-Large scale food producers,Female,53796
2021,Medium-Large scale food producers,Female,76733
2001,Medium-Large scale food producers,Under 35 years,26068
2006,Medium-Large scale food producers,Under 35 years,33589
2011,Medium-Large scale food producers,Under 35 years,59650
2016,Medium-Large scale food producers,Under 35 years,78230
2021,Medium-Large scale food producers,Under 35 years,93309
2001,Medium-Large scale food producers,35 to 54 years,36671
2006,Medium-Large scale food producers,35 to 54 years,43947
2011,Medium-Large scale food producers,35 to 54 years,73600
2016,Medium-Large scale food producers,35 to 54 years,101835
2021,Medium-Large scale food producers,35 to 54 years,138315
2001,Medium-Large scale food producers,55 years and over,28241
2006,Medium-Large scale food producers,55 years and over,33788
2011,Medium-Large scale food producers,55 years and over,59374
2016,Medium-Large scale food producers,55 years and over,91115
2021,Medium-Large scale food producers,55 years and over,117204
2001,,,18056
2006,,,22019
2011,,,38751
2016,,,56466
2021,,,69694
2001,Total,Male,21396
2006,Total,Male,26031
2011,Total,Male,46442
2016,Total,Male,67737
2021,Total,Male,83177
2001,Total,Female,8715
2006,Total,Female,11585
2011,Total,Female,18417
2016,Total,Female,28429
2021,Total,Female,38832
2001,Total,Under 35 years,15383
2006,Total,Under 35 years,20917
2011,Total,Under 35 years,40784
2016,Total,Under 35 years,51416
2021,Total,Under 35 years,60115
2001,Total,35 to 54 years,21600
2006,Total,35 to 54 years,26522
2011,Total,35 to 54 years,46740
2016,Total,35 to 54 years,65629
2021,Total,35 to 54 years,87649
2001,Total,55 years and over,13491
2006,Total,55 years and over,16707
2011,Total,55 years and over,31206
2016,Total,55 years and over,51204
2021,Total,55 years and over,61896
