Year,Units,Measure,Value
2015,"US dollar, Millions, 2023 constant prices",Official Development Assistance,195.771276
2016,"US dollar, Millions, 2023 constant prices",Official Development Assistance,207.918127
2017,"US dollar, Millions, 2023 constant prices",Official Development Assistance,171.612574
2018,"US dollar, Millions, 2023 constant prices",Official Development Assistance,224.344484
2019,"US dollar, Millions, 2023 constant prices",Official Development Assistance,159.352831
2020,"US dollar, Millions, 2023 constant prices",Official Development Assistance,224.445177
2021,"US dollar, Millions, 2023 constant prices",Official Development Assistance,250.975133
2022,"US dollar, Millions, 2023 constant prices",Official Development Assistance,245.605284
2023,"US dollar, Millions, 2023 constant prices",Official Development Assistance,151.914306
2020,"US dollar, Millions, 2023 constant prices",Other Official Flows (non Export Credit),23.374593
2022,"US dollar, Millions, 2023 constant prices",Other Official Flows (non Export Credit),2.651393
2015,"US dollar, Millions, 2023 constant prices",,195.771276
2016,"US dollar, Millions, 2023 constant prices",,207.918127
2017,"US dollar, Millions, 2023 constant prices",,171.612574
2018,"US dollar, Millions, 2023 constant prices",,224.344484
2019,"US dollar, Millions, 2023 constant prices",,159.352831
2020,"US dollar, Millions, 2023 constant prices",,247.81977
2021,"US dollar, Millions, 2023 constant prices",,250.975133
2022,"US dollar, Millions, 2023 constant prices",,248.256677
2023,"US dollar, Millions, 2023 constant prices",,151.914306
