Year,Geography,GeoCode,Value
2015,,,97.8
2016,,,97.8
2017,,,97.9
2018,,,97.9
2019,,,98.0
2020,,,97.7
2021,,,97.6
2022,,,97.7
2023,,,97.8
2015,Newfoundland and Labrador,10,99.6
2015,Prince Edward Island,11,99.3
2015,Nova Scotia,12,99.2
2015,New Brunswick,13,99.2
2015,Quebec,24,99.2
2015,Ontario,35,97.2
2015,Manitoba,46,99.0
2015,Saskatchewan,47,98.5
2015,Alberta,48,97.5
2015,British Columbia,59,96.3
2015,Yukon,60,97.9
2015,Northwest Territories,61,97.7
2015,Nunavut,62,94.1
2016,Newfoundland and Labrador,10,99.8
2016,Prince Edward Island,11,100.0
2016,Nova Scotia,12,99.2
2016,New Brunswick,13,99.4
2016,Quebec,24,99.2
2016,Ontario,35,97.2
2016,Manitoba,46,98.7
2016,Saskatchewan,47,98.5
2016,Alberta,48,97.2
2016,British Columbia,59,96.3
2016,Yukon,60,98.0
2016,Northwest Territories,61,97.2
2016,Nunavut,62,93.0
2017,Newfoundland and Labrador,10,99.9
2017,Prince Edward Island,11,99.8
2017,Nova Scotia,12,99.3
2017,New Brunswick,13,99.3
2017,Quebec,24,99.3
2017,Ontario,35,97.3
2017,Manitoba,46,98.7
2017,Saskatchewan,47,98.5
2017,Alberta,48,97.2
2017,British Columbia,59,96.5
2017,Northwest Territories,61,98.4
2017,Nunavut,62,95.4
2018,Newfoundland and Labrador,10,99.8
2018,Prince Edward Island,11,99.4
2018,Nova Scotia,12,99.3
2018,New Brunswick,13,99.2
2018,Quebec,24,99.3
2018,Ontario,35,97.4
2018,Manitoba,46,98.8
2018,Saskatchewan,47,98.4
2018,Alberta,48,97.2
2018,British Columbia,59,96.6
2018,Northwest Territories,61,98.3
2018,Nunavut,62,96.5
2019,Newfoundland and Labrador,10,99.7
2019,Prince Edward Island,11,99.4
2019,Nova Scotia,12,99.2
2019,New Brunswick,13,99.4
2019,Quebec,24,99.3
2019,Ontario,35,97.6
2019,Manitoba,46,98.7
2019,Saskatchewan,47,98.9
2019,Alberta,48,97.2
2019,British Columbia,59,96.9
2019,Northwest Territories,61,95.6
2019,Nunavut,62,96.1
2020,Newfoundland and Labrador,10,99.7
2020,Prince Edward Island,11,99.2
2020,Nova Scotia,12,99.2
2020,New Brunswick,13,99.1
2020,Quebec,24,99.5
2020,Ontario,35,97.1
2020,Manitoba,46,98.0
2020,Saskatchewan,47,98.7
2020,Alberta,48,96.2
2020,British Columbia,59,96.6
2020,Northwest Territories,61,97.3
2020,Nunavut,62,94.5
2021,Newfoundland and Labrador,10,99.5
2021,Prince Edward Island,11,99.0
2021,Nova Scotia,12,98.9
2021,New Brunswick,13,99.1
2021,Quebec,24,99.3
2021,Ontario,35,97.0
2021,Manitoba,46,97.5
2021,Saskatchewan,47,98.8
2021,Alberta,48,95.8
2021,British Columbia,59,96.7
2021,Northwest Territories,61,97.5
2021,Nunavut,62,96.2
2022,Newfoundland and Labrador,10,99.7
2022,Prince Edward Island,11,98.7
2022,Nova Scotia,12,99.0
2022,New Brunswick,13,98.9
2022,Quebec,24,99.5
2022,Ontario,35,97.3
2022,Manitoba,46,97.7
2022,Saskatchewan,47,98.8
2022,Alberta,48,95.8
2022,British Columbia,59,97.1
2022,Northwest Territories,61,95.1
2022,Nunavut,62,95.3
2023,Newfoundland and Labrador,10,99.8
2023,Prince Edward Island,11,98.1
2023,Nova Scotia,12,98.9
2023,New Brunswick,13,98.8
2023,Quebec,24,99.4
2023,Ontario,35,97.7
2023,Manitoba,46,97.3
2023,Saskatchewan,47,98.6
2023,Alberta,48,95.9
2023,British Columbia,59,97.1
2023,Yukon,60,98.2
2023,Northwest Territories,61,97.1
2023,Nunavut,62,96.4
