Year,Geography,Sex,GeoCode,Value
2015,,,,12.3
2016,,,,11.0
2017,,,,12.2
2018,,,,12.4
2019,,,,12.3
2020,,,,11.3
2021,,,,10.3
2022,,,,10.8
2023,,,,9.5
2015,Canada,Males,,18.4
2015,Canada,Females,,6.3
2015,Newfoundland and Labrador,Both sexes,10,11.9
2015,Newfoundland and Labrador,Males,10,19.2
2015,Newfoundland and Labrador,Females,10,4.8
2015,Prince Edward Island,Both sexes,11,5.4
2015,Prince Edward Island,Males,11,7.0
2015,Prince Edward Island,Females,11,4.0
2015,Nova Scotia,Both sexes,12,13.4
2015,Nova Scotia,Males,12,22.5
2015,Nova Scotia,Females,12,4.6
2015,New Brunswick,Both sexes,13,16.7
2015,New Brunswick,Males,13,26.6
2015,New Brunswick,Females,13,7.1
2015,Quebec,Both sexes,24,13.9
2015,Quebec,Males,24,20.7
2015,Quebec,Females,24,7.2
2015,Ontario,Both sexes,35,9.8
2015,Ontario,Males,35,14.3
2015,Ontario,Females,35,5.4
2015,Manitoba,Both sexes,46,13.8
2015,Manitoba,Males,46,18.5
2015,Manitoba,Females,46,9.2
2015,Saskatchewan,Both sexes,47,14.1
2015,Saskatchewan,Males,47,22.6
2015,Saskatchewan,Females,47,5.3
2015,Alberta,Both sexes,48,15.8
2015,Alberta,Males,48,22.9
2015,Alberta,Females,48,8.4
2015,British Columbia,Both sexes,59,11.6
2015,British Columbia,Males,59,18.1
2015,British Columbia,Females,59,5.2
2015,Yukon,Both sexes,60,13.4
2015,Yukon,Males,60,26.4
2015,Yukon,Females,60,0.0
2015,Northwest Territories,Both sexes,61,20.4
2015,Northwest Territories,Males,61,39.9
2015,Northwest Territories,Females,61,0.0
2015,Nunavut,Both sexes,62,79.2
2015,Nunavut,Males,62,132.0
2015,Nunavut,Females,62,22.6
2016,Canada,Males,,16.3
2016,Canada,Females,,5.7
2016,Newfoundland and Labrador,Both sexes,10,13.8
2016,Newfoundland and Labrador,Males,10,21.0
2016,Newfoundland and Labrador,Females,10,6.7
2016,Prince Edward Island,Both sexes,11,6.7
2016,Prince Edward Island,Males,11,12.3
2016,Prince Edward Island,Females,11,1.3
2016,Nova Scotia,Both sexes,12,13.2
2016,Nova Scotia,Males,12,20.9
2016,Nova Scotia,Females,12,5.8
2016,New Brunswick,Both sexes,13,15.8
2016,New Brunswick,Males,13,25.4
2016,New Brunswick,Females,13,6.5
2016,Quebec,Both sexes,24,9.4
2016,Quebec,Males,24,14.4
2016,Quebec,Females,24,4.4
2016,Ontario,Both sexes,35,9.8
2016,Ontario,Males,35,14.4
2016,Ontario,Females,35,5.3
2016,Manitoba,Both sexes,46,15.2
2016,Manitoba,Males,46,21.5
2016,Manitoba,Females,46,8.9
2016,Saskatchewan,Both sexes,47,15.7
2016,Saskatchewan,Males,47,21.9
2016,Saskatchewan,Females,47,9.3
2016,Alberta,Both sexes,48,13.9
2016,Alberta,Males,48,20.3
2016,Alberta,Females,48,7.4
2016,British Columbia,Both sexes,59,10.1
2016,British Columbia,Males,59,15.2
2016,British Columbia,Females,59,5.1
2016,Yukon,Both sexes,60,18.4
2016,Yukon,Males,60,25.8
2016,Yukon,Females,60,10.7
2016,Northwest Territories,Both sexes,61,26.9
2016,Northwest Territories,Males,61,35.0
2016,Northwest Territories,Females,61,18.4
2016,Nunavut,Both sexes,62,67.2
2016,Nunavut,Males,62,93.5
2016,Nunavut,Females,62,39.1
2017,Canada,Males,,18.4
2017,Canada,Females,,6.2
2017,Newfoundland and Labrador,Both sexes,10,17.4
2017,Newfoundland and Labrador,Males,10,26.7
2017,Newfoundland and Labrador,Females,10,8.2
2017,Prince Edward Island,Both sexes,11,11.4
2017,Prince Edward Island,Males,11,16.4
2017,Prince Edward Island,Females,11,6.5
2017,Nova Scotia,Both sexes,12,14.5
2017,Nova Scotia,Males,12,22.1
2017,Nova Scotia,Females,12,7.2
2017,New Brunswick,Both sexes,13,13.0
