Year,Age group,Sex,Value
2015,,,6.0
2016,,,6.1
2017,,,5.6
2018,,,5.7
2019,,,5.1
2020,,,4.8
2021,,,4.7
2022,,,5.1
2023,,,4.5
2024,,,4.5
2015,All ages,Males,8.6
2015,All ages,Females,3.3
2015,Under 1 year,Both sexes,1.6
2015,Under 1 year,Males,1.0
2015,Under 1 year,Females,2.1
2015,1 to 4 years,Both sexes,1.6
2015,1 to 4 years,Males,1.8
2015,1 to 4 years,Females,1.3
2015,5 to 9 years,Both sexes,0.8
2015,5 to 9 years,Males,1.3
2015,5 to 9 years,Females,0.3
2015,10 to 14 years,Both sexes,1.0
2015,10 to 14 years,Males,1.0
2015,10 to 14 years,Females,1.0
2015,15 to 19 years,Both sexes,7.3
2015,15 to 19 years,Males,10.0
2015,15 to 19 years,Females,4.5
2015,20 to 24 years,Both sexes,9.5
2015,20 to 24 years,Males,14.0
2015,20 to 24 years,Females,4.6
2015,25 to 29 years,Both sexes,7.4
2015,25 to 29 years,Males,11.6
2015,25 to 29 years,Females,3.0
2015,30 to 34 years,Both sexes,5.7
2015,30 to 34 years,Males,8.7
2015,30 to 34 years,Females,2.8
2015,35 to 39 years,Both sexes,4.3
2015,35 to 39 years,Males,6.2
2015,35 to 39 years,Females,2.3
2015,40 to 44 years,Both sexes,5.4
2015,40 to 44 years,Males,8.2
2015,40 to 44 years,Females,2.6
2015,45 to 49 years,Both sexes,5.9
2015,45 to 49 years,Males,8.1
2015,45 to 49 years,Females,3.6
2015,50 to 54 years,Both sexes,5.8
2015,50 to 54 years,Males,9.3
2015,50 to 54 years,Females,2.4
2015,55 to 59 years,Both sexes,6.7
2015,55 to 59 years,Males,11.0
2015,55 to 59 years,Females,2.5
2015,60 to 64 years,Both sexes,5.9
2015,60 to 64 years,Males,9.2
2015,60 to 64 years,Females,2.8
2015,65 to 69 years,Both sexes,5.8
2015,65 to 69 years,Males,7.6
2015,65 to 69 years,Females,4.1
2015,70 to 74 years,Both sexes,7.3
2015,70 to 74 years,Males,9.7
2015,70 to 74 years,Females,5.1
2015,75 to 79 years,Both sexes,10.5
2015,75 to 79 years,Males,15.0
2015,75 to 79 years,Females,6.6
2015,80 to 84 years,Both sexes,13.7
2015,80 to 84 years,Males,18.6
2015,80 to 84 years,Females,10.1
2015,85 to 89 years,Both sexes,14.8
2015,85 to 89 years,Males,22.0
2015,85 to 89 years,Females,10.3
2015,90 years and over,Both sexes,14.1
2015,90 years and over,Males,24.3
2015,90 years and over,Females,10.1
2015,Not stated,Both sexes,0.0
2015,Not stated,Males,0.0
2015,Not stated,Females,0.0
2016,All ages,Males,8.6
2016,All ages,Females,3.6
2016,Under 1 year,Both sexes,0.5
2016,Under 1 year,Males,0.5
2016,Under 1 year,Females,0.5
2016,1 to 4 years,Both sexes,1.3
2016,1 to 4 years,Males,1.6
2016,1 to 4 years,Females,1.0
2016,5 to 9 years,Both sexes,0.9
2016,5 to 9 years,Males,1.1
2016,5 to 9 years,Females,0.8
2016,10 to 14 years,Both sexes,1.5
2016,10 to 14 years,Males,1.9
2016,10 to 14 years,Females,1.1
2016,15 to 19 years,Both sexes,6.7
2016,15 to 19 years,Males,8.4
2016,15 to 19 years,Females,4.9
2016,20 to 24 years,Both sexes,8.7
2016,20 to 24 years,Males,12.5
2016,20 to 24 years,Females,4.6
2016,25 to 29 years,Both sexes,8.2
2016,25 to 29 years,Males,11.9
2016,25 to 29 years,Females,4.4
2016,30 to 34 years,Both sexes,6.6
2016,30 to 34 years,Males,9.9
2016,30 to 34 years,Females,3.4
2016,35 to 39 years,Both sexes,5.2
2016,35 to 39 years,Males,7.4
2016,35 to 39 years,Females,3.0
2016,40 to 44 years,Both sexes,5.8
2016,40 to 44 years,Males,9.2
2016,40 to 44 years,Females,2.4
2016,45 to 49 years,Both sexes,5.2
2016,45 to 49 years,Males,8.0
2016,45 to 49 years,Females,2.4
2016,50 to 54 years,Both sexes,5.8
2016,50 to 54 years,Males,8.4
2016,50 to 54 years,Females,3.1
2016,55 to 59 years,Both sexes,6.1
2016,55 to 59 years,Males,9.2
2016,55 to 59 years,Females,3.0
2016,60 to 64 years,Both sexes,6.6
2016,60 to 64 years,Males,10.5
2016,60 to 64 years,Females,2.8
2016,65 to 69 years,Both sexes,6.7
2016,65 to 69 years,Males,8.6
2016,65 to 69 years,Females,4.9
2016,70 to 74 years,Both sexes,7.8
2016,70 to 74 years,Males,10.5
2016,70 to 74 years,Females,5.3
2016,75 to 79 years,Both sexes,8.6
2016,75 to 79 years,Males,10.7
2016,75 to 79 years,Females,6.8
2016,80 to 84 years,Both sexes,13.9
2016,80 to 84 years,Males,16.1
2016,80 to 84 years,Females,12.2
2016,85 to 89 years,Both sexes,15.6
2016,85 to 89 years,Males,23.2
2016,85 to 89 years,Females,10.8
2016,90 years and over,Both sexes,13.4
2016,90 years and over,Males,27.4
