Year,Tobacco Product,Sex,Age group,Value
2015,,,,15.5
2017,,,,17.8
2019,,,,14.0
2020,,,,12.1
2021,,,,11.9
2022,,,,12.9
2015,Any tobacco product,Both sexes,15-19 years-old,13.1
2015,Cigarettes,Both sexes,15-19 years-old,9.8
2015,Cigars,Both sexes,15-19 years-old,1.3
2015,E-cigarettes,Both sexes,15-19 years-old,6.3
2015,Little cigars or cigarillos,Both sexes,15-19 years-old,3.0
2015,Smokeless tobacco,Both sexes,15-19 years-old,0.9
2015,Water pipe with tobacco,Both sexes,15-19 years-old,1.7
2015,Any tobacco product,Both sexes,20-24 years-old,23.8
2015,Cigarettes,Both sexes,20-24 years-old,18.9
2015,Cigars,Both sexes,20-24 years-old,2.3
2015,E-cigarettes,Both sexes,20-24 years-old,6.3
2015,Little cigars or cigarillos,Both sexes,20-24 years-old,5.7
2015,Pipe,Both sexes,20-24 years-old,1.5
2015,Smokeless tobacco,Both sexes,20-24 years-old,1.8
2015,Water pipe with tobacco,Both sexes,20-24 years-old,2.7
2015,Any tobacco product,Both sexes,25+ years-old,14.9
2015,Cigarettes,Both sexes,25+ years-old,12.9
2015,Cigars,Both sexes,25+ years-old,1.1
2015,E-cigarettes,Both sexes,25+ years-old,2.6
2015,Little cigars or cigarillos,Both sexes,25+ years-old,1.3
2015,Pipe,Both sexes,25+ years-old,0.4
2015,Smokeless tobacco,Both sexes,25+ years-old,0.2
2015,Any tobacco product,Both sexes,25-44 years-old,17.8
2015,Cigarettes,Both sexes,25-44 years-old,15.3
2015,Cigars,Both sexes,25-44 years-old,1.1
2015,E-cigarettes,Both sexes,25-44 years-old,3.4
2015,Little cigars or cigarillos,Both sexes,25-44 years-old,1.7
2015,Any tobacco product,Both sexes,45+ years-old,13.0
2015,Cigarettes,Both sexes,45+ years-old,11.4
2015,Cigars,Both sexes,45+ years-old,1.0
2015,E-cigarettes,Both sexes,45+ years-old,2.1
2015,Little cigars or cigarillos,Both sexes,45+ years-old,1.0
2015,Cigarettes,Both sexes,All age groups,13.2
2015,Cigars,Both sexes,All age groups,1.2
2015,E-cigarettes,Both sexes,All age groups,3.2
2015,Little cigars or cigarillos,Both sexes,All age groups,1.8
2015,Pipe,Both sexes,All age groups,0.5
