Year,Assistance type,Value
2015,,386.196408
2016,,416.350733
2017,,392.869885
2018,,354.693852
2019,,271.841027
2020,,357.764228
2021,,1227.49141
2022,,946.58531
2023,,446.655505
2015,Medical research,39.343608
2015,Basic health,346.8528
2016,Medical research,30.825096
2016,Basic health,385.525637
2017,Medical research,6.902483
2017,Basic health,385.967402
2018,Medical research,9.37229
2018,Basic health,345.321562
2019,Medical research,7.75346
2019,Basic health,264.087567
2020,Medical research,7.475785
2020,Basic health,350.288443
2021,Medical research,5.264689
2021,Basic health,1222.226721
2022,Basic health,942.605397
2022,Medical research,3.979913
2023,Medical research,4.044325
2023,Basic health,442.61118
