Year,Type of institution attended,Geography,Age group,GeoCode,Value
2014/2015,Total participation rate,Canada,15 to 19 years,,83
2014/2015,Elementary/High School,Canada,15 to 19 years,,58
2014/2015,College,Canada,15 to 19 years,,12
2014/2015,University,Canada,15 to 19 years,,12
2014/2015,Total participation rate,Canada,20 to 24 years,,40
2014/2015,Elementary/High School,Canada,20 to 24 years,,2
2014/2015,College,Canada,20 to 24 years,,12
2014/2015,University,Canada,20 to 24 years,,26
2014/2015,Total participation rate,Canada,25 to 29 years,,12
2014/2015,Elementary/High School,Canada,25 to 29 years,,1
2014/2015,College,Canada,25 to 29 years,,4
2014/2015,University,Canada,25 to 29 years,,8
2014/2015,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,85
2014/2015,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,62
2014/2015,College,Newfoundland and Labrador,15 to 19 years,10,7
2014/2015,University,Newfoundland and Labrador,15 to 19 years,10,15
2014/2015,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,36
2014/2015,College,Newfoundland and Labrador,20 to 24 years,10,11
2014/2015,University,Newfoundland and Labrador,20 to 24 years,10,24
2014/2015,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,14
2014/2015,College,Newfoundland and Labrador,25 to 29 years,10,3
2014/2015,University,Newfoundland and Labrador,25 to 29 years,10,11
2014/2015,Total participation rate,Prince Edward Island,15 to 19 years,11,83
2014/2015,Elementary/High School,Prince Edward Island,15 to 19 years,11,63
2014/2015,College,Prince Edward Island,15 to 19 years,11,6
2014/2015,University,Prince Edward Island,15 to 19 years,11,14
2014/2015,Total participation rate,Prince Edward Island,20 to 24 years,11,38
2014/2015,College,Prince Edward Island,20 to 24 years,11,10
2014/2015,University,Prince Edward Island,20 to 24 years,11,28
2014/2015,Total participation rate,Prince Edward Island,25 to 29 years,11,11
2014/2015,College,Prince Edward Island,25 to 29 years,11,4
2014/2015,University,Prince Edward Island,25 to 29 years,11,7
2014/2015,Total participation rate,Nova Scotia,15 to 19 years,12,83
2014/2015,Elementary/High School,Nova Scotia,15 to 19 years,12,64
2014/2015,College,Nova Scotia,15 to 19 years,12,7
2014/2015,University,Nova Scotia,15 to 19 years,12,11
2014/2015,Total participation rate,Nova Scotia,20 to 24 years,12,34
2014/2015,College,Nova Scotia,20 to 24 years,12,9
2014/2015,University,Nova Scotia,20 to 24 years,12,24
2014/2015,Total participation rate,Nova Scotia,25 to 29 years,12,12
2014/2015,College,Nova Scotia,25 to 29 years,12,3
2014/2015,University,Nova Scotia,25 to 29 years,12,9
2014/2015,Total participation rate,New Brunswick,15 to 19 years,13,84
2014/2015,Elementary/High School,New Brunswick,15 to 19 years,13,64
2014/2015,College,New Brunswick,15 to 19 years,13,7
2014/2015,University,New Brunswick,15 to 19 years,13,13
2014/2015,Total participation rate,New Brunswick,20 to 24 years,13,29
2014/2015,College,New Brunswick,20 to 24 years,13,6
2014/2015,University,New Brunswick,20 to 24 years,13,22
2014/2015,Total participation rate,New Brunswick,25 to 29 years,13,9
2014/2015,College,New Brunswick,25 to 29 years,13,3
2014/2015,University,New Brunswick,25 to 29 years,13,6
2014/2015,Total participation rate,Quebec,15 to 19 years,24,83
2014/2015,Elementary/High School,Quebec,15 to 19 years,24,49
2014/2015,College,Quebec,15 to 19 years,24,31
2014/2015,University,Quebec,15 to 19 years,24,3
2014/2015,Total participation rate,Quebec,20 to 24 years,24,47
2014/2015,Elementary/High School,Quebec,20 to 24 years,24,4
2014/2015,College,Quebec,20 to 24 years,24,14
2014/2015,University,Quebec,20 to 24 years,24,30
2014/2015,Total participation rate,Quebec,25 to 29 years,24,18
2014/2015,Elementary/High School,Quebec,25 to 29 years,24,1
2014/2015,College,Quebec,25 to 29 years,24,3
2014/2015,University,Quebec,25 to 29 years,24,13
2014/2015,Total participation rate,Ontario,15 to 19 years,35,87
2014/2015,Elementary/High School,Ontario,15 to 19 years,35,62
2014/2015,College,Ontario,15 to 19 years,35,8
2014/2015,University,Ontario,15 to 19 years,35,17
2014/2015,Total participation rate,Ontario,20 to 24 years,35,43
2014/2015,Elementary/High School,Ontario,20 to 24 years,35,1
2014/2015,College,Ontario,20 to 24 years,35,15
2014/2015,University,Ontario,20 to 24 years,35,27
2014/2015,Total participation rate,Ontario,25 to 29 years,35,11
2014/2015,Elementary/High School,Ontario,25 to 29 years,35,1
2014/2015,College,Ontario,25 to 29 years,35,5
2014/2015,University,Ontario,25 to 29 years,35,6
2014/2015,Total participation rate,Manitoba,15 to 19 years,46,78
2014/2015,Elementary/High School,Manitoba,15 to 19 years,46,61
2014/2015,College,Manitoba,15 to 19 years,46,3
2014/2015,University,Manitoba,15 to 19 years,46,13
2014/2015,Total participation rate,Manitoba,20 to 24 years,46,31
2014/2015,Elementary/High School,Manitoba,20 to 24 years,46,1
2014/2015,College,Manitoba,20 to 24 years,46,6
2014/2015,University,Manitoba,20 to 24 years,46,24
2014/2015,Total participation rate,Manitoba,25 to 29 years,46,12
2014/2015,Elementary/High School,Manitoba,25 to 29 years,46,1
2014/2015,College,Manitoba,25 to 29 years,46,3
2014/2015,University,Manitoba,25 to 29 years,46,8
2014/2015,Total participation rate,Saskatchewan,15 to 19 years,47,78
2014/2015,Elementary/High School,Saskatchewan,15 to 19 years,47,63
2014/2015,College,Saskatchewan,15 to 19 years,47,5
2014/2015,University,Saskatchewan,15 to 19 years,47,10
2014/2015,Total participation rate,Saskatchewan,20 to 24 years,47,31
2014/2015,Elementary/High School,Saskatchewan,20 to 24 years,47,1
2014/2015,College,Saskatchewan,20 to 24 years,47,6
2014/2015,University,Saskatchewan,20 to 24 years,47,24
2014/2015,Total participation rate,Saskatchewan,25 to 29 years,47,10
2014/2015,College,Saskatchewan,25 to 29 years,47,2
2014/2015,University,Saskatchewan,25 to 29 years,47,8
2014/2015,Total participation rate,Alberta,15 to 19 years,48,78
2014/2015,Elementary/High School,Alberta,15 to 19 years,48,61
2014/2015,College,Alberta,15 to 19 years,48,5
2014/2015,University,Alberta,15 to 19 years,48,12
2014/2015,Total participation rate,Alberta,20 to 24 years,48,28
2014/2015,Elementary/High School,Alberta,20 to 24 years,48,1
2014/2015,College,Alberta,20 to 24 years,48,7
2014/2015,University,Alberta,20 to 24 years,48,20
2014/2015,Total participation rate,Alberta,25 to 29 years,48,9
2014/2015,College,Alberta,25 to 29 years,48,3
2014/2015,University,Alberta,25 to 29 years,48,6
2014/2015,Total participation rate,British Columbia,15 to 19 years,59,76
2014/2015,Elementary/High School,British Columbia,15 to 19 years,59,55
2014/2015,College,British Columbia,15 to 19 years,59,8
2014/2015,University,British Columbia,15 to 19 years,59,13
2014/2015,Total participation rate,British Columbia,20 to 24 years,59,39
2014/2015,Elementary/High School,British Columbia,20 to 24 years,59,1
2014/2015,College,British Columbia,20 to 24 years,59,11
2014/2015,University,British Columbia,20 to 24 years,59,27
2014/2015,Total participation rate,British Columbia,25 to 29 years,59,12
2014/2015,College,British Columbia,25 to 29 years,59,4
2014/2015,University,British Columbia,25 to 29 years,59,7
2014/2015,Total participation rate,Yukon,15 to 19 years,60,78
2014/2015,Elementary/High School,Yukon,15 to 19 years,60,64
2014/2015,Total participation rate,Yukon,20 to 24 years,60,28
2014/2015,College,Yukon,20 to 24 years,60,13
2014/2015,University,Yukon,20 to 24 years,60,15
2014/2015,Total participation rate,Northwest Territories,15 to 19 years,61,74
2014/2015,Elementary/High School,Northwest Territories,15 to 19 years,61,62
2014/2015,University,Northwest Territories,15 to 19 years,61,8
2014/2015,Total participation rate,Northwest Territories,20 to 24 years,61,32
2014/2015,College,Northwest Territories,20 to 24 years,61,13
2014/2015,University,Northwest Territories,20 to 24 years,61,15
2014/2015,Total participation rate,Northwest Territories,25 to 29 years,61,8
2014/2015,Total participation rate,Nunavut,15 to 19 years,62,63
2014/2015,Elementary/High School,Nunavut,15 to 19 years,62,61
2014/2015,Total participation rate,Nunavut,20 to 24 years,62,12
2015/2016,Total participation rate,Canada,15 to 19 years,,83
2015/2016,Elementary/High School,Canada,15 to 19 years,,60
2015/2016,College,Canada,15 to 19 years,,12
2015/2016,University,Canada,15 to 19 years,,12
2015/2016,Total participation rate,Canada,20 to 24 years,,40
2015/2016,Elementary/High School,Canada,20 to 24 years,,2
2015/2016,College,Canada,20 to 24 years,,12
2015/2016,University,Canada,20 to 24 years,,27
2015/2016,Total participation rate,Canada,25 to 29 years,,12
2015/2016,Elementary/High School,Canada,25 to 29 years,,1
2015/2016,College,Canada,25 to 29 years,,4
2015/2016,University,Canada,25 to 29 years,,8
2015/2016,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,84
