Year,Activity related to digital skills,Age group,Highest level of education,Value
2018,Copied or moved files or folders digitally,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",66.2
2018,Copied or moved files or folders digitally,"Total, Internet users aged 15 years and over",High school or less,52.7
2018,Copied or moved files or folders digitally,"Total, Internet users aged 15 years and over","College, trade school or some university",63.8
2018,Copied or moved files or folders digitally,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,81.2
2018,Copied or moved files or folders digitally,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",76.1
2018,Copied or moved files or folders digitally,Internet users aged 15 to 24 years,High school or less,72.5
2018,Copied or moved files or folders digitally,Internet users aged 15 to 24 years,"College, trade school or some university",82.2
2018,Copied or moved files or folders digitally,Internet users aged 15 to 24 years,Bachelor's degree or higher,84.4
2018,Copied or moved files or folders digitally,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",78.0
2018,Copied or moved files or folders digitally,Internet users aged 25 to 44 years,High school or less,59.1
2018,Copied or moved files or folders digitally,Internet users aged 25 to 44 years,"College, trade school or some university",75.4
2018,Copied or moved files or folders digitally,Internet users aged 25 to 44 years,Bachelor's degree or higher,88.6
2018,Copied or moved files or folders digitally,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",61.4
2018,Copied or moved files or folders digitally,Internet users aged 45 to 64 years,High school or less,41.8
2018,Copied or moved files or folders digitally,Internet users aged 45 to 64 years,"College, trade school or some university",58.8
2018,Copied or moved files or folders digitally,Internet users aged 45 to 64 years,Bachelor's degree or higher,79.7
2018,Copied or moved files or folders digitally,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",41.2
2018,Copied or moved files or folders digitally,Internet users aged 65 years and over,High school or less,27.2
2018,Copied or moved files or folders digitally,Internet users aged 65 years and over,"College, trade school or some university",40.5
2018,Copied or moved files or folders digitally,Internet users aged 65 years and over,Bachelor's degree or higher,59.3
2018,Used word processing software,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",69.0
2018,Used word processing software,"Total, Internet users aged 15 years and over",High school or less,54.4
2018,Used word processing software,"Total, Internet users aged 15 years and over","College, trade school or some university",65.7
2018,Used word processing software,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,86.0
2018,Used word processing software,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",84.3
2018,Used word processing software,Internet users aged 15 to 24 years,High school or less,82.7
2018,Used word processing software,Internet users aged 15 to 24 years,"College, trade school or some university",84.7
2018,Used word processing software,Internet users aged 15 to 24 years,Bachelor's degree or higher,93.6
2018,Used word processing software,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",80.8
2018,Used word processing software,Internet users aged 25 to 44 years,High school or less,59.7
2018,Used word processing software,Internet users aged 25 to 44 years,"College, trade school or some university",78.5
2018,Used word processing software,Internet users aged 25 to 44 years,Bachelor's degree or higher,91.8
