Year,Series,Units,Highest level of education,Age group,Sex,Location,COMMENT_OBS,Progress,Value
2015,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.0,1.013
2016,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.04626405239105,1.046
2017,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.0,1.013
2015,Completion rate,Adjusted location parity index,Upper secondary education,,,,,1.0641742673454,0.94
2016,Completion rate,Adjusted location parity index,Upper secondary education,,,,,1.0,1.006
2017,Completion rate,Adjusted location parity index,Upper secondary education,,,,,1.0479315221139,0.954
2015,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,1.10550887808998,0.905
2016,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,1.12914790105838,0.886
2017,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,1.05873429083701,0.945
2015,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.991
2016,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.996
2017,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.997
2018,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.995
2019,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.995
2020,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.994
2021,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.993
2022,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.997
2023,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.995
2024,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0,0.996
2015,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.991
2016,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.996
2017,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.997
2018,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.995
2019,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.995
2020,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.994
2021,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.993
2022,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.997
2023,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.995
2024,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0,0.996
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Female,,,1.05263159215615,0.95
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Female,,,1.04166668994973,0.96
2015,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.0
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.01
2017,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.01
2018,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.011
2019,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.008
2020,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.008
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.01
2022,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.011
2023,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.011
2024,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0,1.012
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,,,,1.07526880893449,0.93
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,,,,1.06382978993231,0.94
2016,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Male,,,1.1111111405455,0.9
2021,Educational attainment rate,Adjusted location parity index,Completed upper secondary education or higher,,Male,,,1.09890106723096,0.91
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Rural,,1.05999994277954,1.06
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Rural,,1.05999994277954,1.06
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Urban,,1.0,1.0
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Urban,,1.0,1.0
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Female,,,1.12359552367771,0.89
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Female,,,1.13636364252114,0.88
2015,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.005
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.0
2017,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.02
2018,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.025
2019,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.018
2020,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.025
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0,1.02
2022,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.03940141796396,1.039
2023,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0346214302335,1.035
2024,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.03812229224545,1.038
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,,,,1.13636364252114,0.88
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,,,,1.16279067833273,0.86
2016,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Male,,,1.16279067833273,0.86
2021,Educational attainment rate,Adjusted location parity index,Completed post-secondary non-tertiary education or higher,,Male,,,1.17647055523618,0.85
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Rural,,1.0,1.03
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Rural,,1.04999995231628,1.05
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Urban,,1.0,0.99
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Urban,,1.0,1.01
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Female,,,1.19047622764462,0.84
2021,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,Female,,,1.24999998137355,0.8
2016,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.1599999666214,1.16
2021,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.13999998569489,1.14
2016,Educational attainment rate,Adjusted location parity index,Completed short-cycle tertiary education or higher,,,,,1.33333333333333,0.75
