Year,Proficiency level,Skill,Geography,Gender,Age group,GeoCode,Value
2012,2 or below,Literacy,Canada,Total,Total,,48.5
2012,3 or above,Literacy,Canada,Total,Total,,51.5
2012,2 or below,Numeracy,Canada,Total,Total,,54.7
2012,3 or above,Numeracy,Canada,Total,Total,,45.3
2012,2 or below,Literacy,Canada,Total,16 to 24 years,,46.4
2012,3 or above,Literacy,Canada,Total,16 to 24 years,,53.6
2012,2 or below,Numeracy,Canada,Total,16 to 24 years,,53.4
2012,3 or above,Numeracy,Canada,Total,16 to 24 years,,46.6
2012,2 or below,Literacy,Canada,Total,25 to 34 years,,39.9
2012,3 or above,Literacy,Canada,Total,25 to 34 years,,60.1
2012,2 or below,Numeracy,Canada,Total,25 to 34 years,,46.7
2012,3 or above,Numeracy,Canada,Total,25 to 34 years,,53.3
2012,2 or below,Literacy,Canada,Total,35 to 44 years,,42.4
2012,3 or above,Literacy,Canada,Total,35 to 44 years,,57.6
2012,2 or below,Numeracy,Canada,Total,35 to 44 years,,49.0
2012,3 or above,Numeracy,Canada,Total,35 to 44 years,,51.0
2012,2 or below,Literacy,Canada,Total,45 to 54 years,,52.9
2012,3 or above,Literacy,Canada,Total,45 to 54 years,,47.1
2012,2 or below,Numeracy,Canada,Total,45 to 54 years,,57.6
2012,3 or above,Numeracy,Canada,Total,45 to 54 years,,42.4
2012,2 or below,Literacy,Canada,Total,55 to 65 years,,59.7
2012,3 or above,Literacy,Canada,Total,55 to 65 years,,40.3
2012,2 or below,Numeracy,Canada,Total,55 to 65 years,,65.8
2012,3 or above,Numeracy,Canada,Total,55 to 65 years,,34.2
2012,2 or below,Literacy,Canada,Men+,Total,,47.6
2012,3 or above,Literacy,Canada,Men+,Total,,52.4
2012,2 or below,Numeracy,Canada,Men+,Total,,49.0
2012,3 or above,Numeracy,Canada,Men+,Total,,51.0
2012,2 or below,Literacy,Canada,Men+,16 to 24 years,,47.1
2012,3 or above,Literacy,Canada,Men+,16 to 24 years,,52.9
2012,2 or below,Numeracy,Canada,Men+,16 to 24 years,,49.9
2012,3 or above,Numeracy,Canada,Men+,16 to 24 years,,50.1
2012,2 or below,Literacy,Canada,Men+,25 to 34 years,,40.2
