Year,Type of intimate partner violence,Selected characteristics,Value
2018,"Emotional, financial, or psychological abuse","Total, all women",11.9
2018,Physical abuse,"Total, all women",2.4
2018,Sexual abuse,"Total, all women",1.2
2018,Total intimate partner violence,"Total, all women",12.1
2018,Total intimate partner violence,15 to 24 year old women,29.0
2018,Total intimate partner violence,Separated or divorced women,20.0
2018,Total intimate partner violence,LGBTQ2 women,20.0
2018,Total intimate partner violence,Single women,19.0
2018,Total intimate partner violence,"First Nations, Métis, or Inuit women",17.0
2018,Total intimate partner violence,Women with disability,16.0
2018,Total intimate partner violence,Immigrant women,10.0
2018,Total intimate partner violence,Women designated as visible minorities,9.0
