Year,Age group,Geography,Indigenous identity,Visible minority,Immigrant status,Sexual orientation,Disability,Employed in past 12 months,Educational status,Marital status,GeoCode,Value
2018,,,,,,,,,,,,2.9
2018,,Newfoundland and Labrador,,,,,,,,,10,1.5
2018,,Prince Edward Island,,,,,,,,,11,
2018,,Nova Scotia,,,,,,,,,12,2.8
2018,,New Brunswick,,,,,,,,,13,3.9
2018,,Quebec,,,,,,,,,24,2.1
2018,,Ontario,,,,,,,,,35,3.1
2018,,Manitoba,,,,,,,,,46,2.2
2018,,Saskatchewan,,,,,,,,,47,3.3
2018,,Alberta,,,,,,,,,48,3.6
2018,,British Columbia,,,,,,,,,59,3.3
2018,15 to 24 years,,,,,,,,,,,11.7
2018,25 to 34 years,,,,,,,,,,,3.2
2018,35 to 44 years,,,,,,,,,,,2.6
2018,45 to 54 years,,,,,,,,,,,1.2
2018,55 to 64 years,,,,,,,,,,,0.8
2018,65 to 74 years,,,,,,,,,,,0.3
2018,75 years and over,,,,,,,,,,,
2018,,,Indigenous person,,,,,,,,,4.1
2018,,,First Nations,,,,,,,,,4.9
2018,,,Métis,,,,,,,,,3.4
2018,,,Inuk,,,,,,,,,
2018,,,Multiple Indigenous identities or specific group not stated,,,,,,,,,
2018,,,Non-Indigenous person,,,,,,,,,2.9
2018,,,,Visible minority,,,,,,,,2.6
2018,,,,Not a visible minority,,,,,,,,3.0
2018,,,,,Immigrant,,,,,,,1.4
2018,,,,,Non-immigrant,,,,,,,3.4
2018,,,,,,Heterosexual,,,,,,2.7
2018,,,,,,Gay or lesbian,,,,,,
2018,,,,,,Bisexual,,,,,,11.2
2018,,,,,,Sexual orientation not elsewhere classified,,,,,,
2018,,,,,,Sexual orientation not stated,,,,,,
2018,,,,,,,Person with disability,,,,,4.6
2018,,,,,,,Person without disability,,,,,1.8
2018,,,,,,,,Employed in past 12 months,,,,3.8
2018,,,,,,,,Not employed in past 12 months,,,,1.2
2018,,,,,,,,,Currently attending school,,,8.0
2018,,,,,,,,,Not currently attending school,,,2.1
2018,,,,,,,,,,Married or common-law,,1.1
2018,,,,,,,,,,"Separated, divorced, or widowed",,1.3
2018,,,,,,,,,,"Single, never married",,8.3
