Year,Government,Elected officials,Geography,Progress,GeoCode,Value
2015,National,Members of Parliament,Canada,74.7,,25.3
2016,National,Members of Parliament,Canada,73.9,,26.1
2017,National,Members of Parliament,Canada,72.8,,27.2
2018,National,Members of Parliament,Canada,73.0,,27.0
2019,National,Members of Parliament,Canada,72.8,,27.2
2020,National,Members of Parliament,Canada,71.0,,29.0
2021,National,Members of Parliament,Canada,70.6,,29.4
2022,National,Members of Parliament,Canada,69.4,,30.6
2023,National,Members of Parliament,Canada,69.4,,30.6
2015,National,Members of Cabinet,Canada,69.2,,30.8
2016,National,Members of Cabinet,Canada,50.0,,50.0
2017,National,Members of Cabinet,Canada,50.0,,50.0
2022,National,Members of Cabinet,Canada,51.3,,48.7
2023,National,Members of Cabinet,Canada,51.3,,48.7
2015,National,Members of Parliament,Newfoundland and Labrador,71.4,10,28.6
2016,National,Members of Parliament,Newfoundland and Labrador,57.1,10,42.9
2017,National,Members of Parliament,Newfoundland and Labrador,57.1,10,42.9
2018,National,Members of Parliament,Newfoundland and Labrador,71.4,10,28.6
2019,National,Members of Parliament,Newfoundland and Labrador,71.4,10,28.6
2020,National,Members of Parliament,Newfoundland and Labrador,71.4,10,28.6
2021,National,Members of Parliament,Newfoundland and Labrador,71.4,10,28.6
2022,National,Members of Parliament,Newfoundland and Labrador,57.1,10,42.9
2023,National,Members of Parliament,Newfoundland and Labrador,57.1,10,42.9
2015,National,Members of Cabinet,Newfoundland and Labrador,100.0,10,0.0
2016,National,Members of Cabinet,Newfoundland and Labrador,100.0,10,100.0
2017,National,Members of Cabinet,Newfoundland and Labrador,100.0,10,100.0
2022,National,Members of Cabinet,Newfoundland and Labrador,50.0,10,50.0
2023,National,Members of Cabinet,Newfoundland and Labrador,50.0,10,50.0
2015,National,Members of Parliament,Prince Edward Island,75.0,11,25.0
2016,National,Members of Parliament,Prince Edward Island,100.0,11,0.0
2017,National,Members of Parliament,Prince Edward Island,100.0,11,0.0
2018,National,Members of Parliament,Prince Edward Island,100.0,11,0.0
2019,National,Members of Parliament,Prince Edward Island,100.0,11,0.0
2020,National,Members of Parliament,Prince Edward Island,100.0,11,0.0
2021,National,Members of Parliament,Prince Edward Island,100.0,11,0.0
2022,National,Members of Parliament,Prince Edward Island,100.0,11,0.0
2023,National,Members of Parliament,Prince Edward Island,100.0,11,0.0
2015,National,Members of Cabinet,Prince Edward Island,100.0,11,100.0
2016,National,Members of Cabinet,Prince Edward Island,100.0,11,0.0
2017,National,Members of Cabinet,Prince Edward Island,100.0,11,0.0
2022,National,Members of Cabinet,Prince Edward Island,100.0,11,0.0
2023,National,Members of Cabinet,Prince Edward Island,100.0,11,0.0
2015,National,Members of Parliament,Nova Scotia,90.9,12,9.1
2016,National,Members of Parliament,Nova Scotia,90.9,12,9.1
2017,National,Members of Parliament,Nova Scotia,90.9,12,9.1
2018,National,Members of Parliament,Nova Scotia,90.9,12,9.1
2019,National,Members of Parliament,Nova Scotia,90.0,12,10.0
2020,National,Members of Parliament,Nova Scotia,81.8,12,18.2
2021,National,Members of Parliament,Nova Scotia,81.8,12,18.2
2022,National,Members of Parliament,Nova Scotia,90.9,12,9.1
2023,National,Members of Parliament,Nova Scotia,90.9,12,9.1
2015,National,Members of Cabinet,Nova Scotia,100.0,12,0.0
2016,National,Members of Cabinet,Nova Scotia,100.0,12,0.0
2017,National,Members of Cabinet,Nova Scotia,100.0,12,0.0
2022,National,Members of Cabinet,Nova Scotia,100.0,12,0.0
2023,National,Members of Cabinet,Nova Scotia,100.0,12,0.0
2015,National,Members of Parliament,New Brunswick,90.0,13,10.0
2016,National,Members of Parliament,New Brunswick,70.0,13,30.0
2017,National,Members of Parliament,New Brunswick,70.0,13,30.0
2018,National,Members of Parliament,New Brunswick,70.0,13,30.0
2019,National,Members of Parliament,New Brunswick,70.0,13,30.0
2020,National,Members of Parliament,New Brunswick,80.0,13,20.0
2021,National,Members of Parliament,New Brunswick,80.0,13,20.0
2022,National,Members of Parliament,New Brunswick,80.0,13,20.0
2023,National,Members of Parliament,New Brunswick,80.0,13,20.0
2015,National,Members of Cabinet,New Brunswick,100.0,13,0.0
2016,National,Members of Cabinet,New Brunswick,100.0,13,0.0
2017,National,Members of Cabinet,New Brunswick,100.0,13,0.0
2022,National,Members of Cabinet,New Brunswick,50.0,13,50.0
2023,National,Members of Cabinet,New Brunswick,50.0,13,50.0
2015,National,Members of Parliament,Quebec,62.7,24,37.3
2016,National,Members of Parliament,Quebec,75.6,24,24.4
2017,National,Members of Parliament,Quebec,74.4,24,25.6
2018,National,Members of Parliament,Quebec,74.4,24,25.6
2019,National,Members of Parliament,Quebec,72.7,24,27.3
2020,National,Members of Parliament,Quebec,66.7,24,33.3
2021,National,Members of Parliament,Quebec,66.7,24,33.3
2022,National,Members of Parliament,Quebec,64.1,24,35.9
2023,National,Members of Parliament,Quebec,62.8,24,37.2
2015,National,Members of Cabinet,Quebec,100.0,24,0.0
2016,National,Members of Cabinet,Quebec,57.1,24,42.9
2017,National,Members of Cabinet,Quebec,57.1,24,42.9
2022,National,Members of Cabinet,Quebec,63.6,24,36.4
2023,National,Members of Cabinet,Quebec,63.6,24,36.4
2015,National,Members of Parliament,Ontario,80.4,35,19.6
2016,National,Members of Parliament,Ontario,68.6,35,31.4
2017,National,Members of Parliament,Ontario,66.9,35,33.1
2018,National,Members of Parliament,Ontario,65.8,35,34.2
2019,National,Members of Parliament,Ontario,66.1,35,33.9
2020,National,Members of Parliament,Ontario,68.6,35,31.4
2021,National,Members of Parliament,Ontario,67.5,35,32.5
2022,National,Members of Parliament,Ontario,63.3,35,36.7
2023,National,Members of Parliament,Ontario,63.6,35,36.4
2015,National,Members of Cabinet,Ontario,80.0,35,20.0
2016,National,Members of Cabinet,Ontario,72.7,35,72.7
2017,National,Members of Cabinet,Ontario,75.0,35,75.0
2022,National,Members of Cabinet,Ontario,68.8,35,68.8
2023,National,Members of Cabinet,Ontario,68.8,35,68.8
2015,National,Members of Parliament,Manitoba,64.3,46,35.7
2016,National,Members of Parliament,Manitoba,78.6,46,21.4
2017,National,Members of Parliament,Manitoba,78.6,46,21.4
2018,National,Members of Parliament,Manitoba,78.6,46,21.4
2019,National,Members of Parliament,Manitoba,78.6,46,21.4
2020,National,Members of Parliament,Manitoba,71.4,46,28.6
2021,National,Members of Parliament,Manitoba,71.4,46,28.6
2022,National,Members of Parliament,Manitoba,71.4,46,28.6
2023,National,Members of Parliament,Manitoba,78.6,46,21.4
2015,National,Members of Cabinet,Manitoba,100.0,46,100.0
2016,National,Members of Cabinet,Manitoba,50.0,46,50.0
2017,National,Members of Cabinet,Manitoba,100.0,46,0.0
2022,National,Members of Cabinet,Manitoba,100.0,46,0.0
2023,National,Members of Cabinet,Manitoba,100.0,46,0.0
2015,National,Members of Parliament,Saskatchewan,85.7,47,14.3
2016,National,Members of Parliament,Saskatchewan,71.4,47,28.6
2017,National,Members of Parliament,Saskatchewan,71.4,47,28.6
2018,National,Members of Parliament,Saskatchewan,64.3,47,35.7
2019,National,Members of Parliament,Saskatchewan,64.3,47,35.7
2020,National,Members of Parliament,Saskatchewan,78.6,47,21.4
2021,National,Members of Parliament,Saskatchewan,78.6,47,21.4
2022,National,Members of Parliament,Saskatchewan,78.6,47,21.4
2023,National,Members of Parliament,Saskatchewan,78.6,47,21.4
2015,National,Members of Cabinet,Saskatchewan,50.0,47,50.0
2016,National,Members of Cabinet,Saskatchewan,100.0,47,0.0
2017,National,Members of Cabinet,Saskatchewan,100.0,47,0.0
2022,National,Members of Cabinet,Saskatchewan,100.0,47,0.0
2023,National,Members of Cabinet,Saskatchewan,100.0,47,0.0
2015,National,Members of Parliament,Alberta,82.1,48,17.9
2016,National,Members of Parliament,Alberta,84.8,48,15.2
2017,National,Members of Parliament,Alberta,82.4,48,17.6
2018,National,Members of Parliament,Alberta,85.3,48,14.7
2019,National,Members of Parliament,Alberta,85.3,48,14.7
2020,National,Members of Parliament,Alberta,82.4,48,17.6
2021,National,Members of Parliament,Alberta,82.4,48,17.6
2022,National,Members of Parliament,Alberta,82.4,48,17.6
2023,National,Members of Parliament,Alberta,81.8,48,18.2
2015,National,Members of Cabinet,Alberta,66.7,48,33.3
2016,National,Members of Cabinet,Alberta,100.0,48,0.0
2017,National,Members of Cabinet,Alberta,100.0,48,0.0
2022,National,Members of Cabinet,Alberta,100.0,48,0.0
2023,National,Members of Cabinet,Alberta,100.0,48,0.0
2015,National,Members of Parliament,British Columbia,69.4,59,30.6
2016,National,Members of Parliament,British Columbia,71.4,59,28.6
2017,National,Members of Parliament,British Columbia,71.4,59,28.6
2018,National,Members of Parliament,British Columbia,73.8,59,26.2
2019,National,Members of Parliament,British Columbia,75.6,59,24.4
2020,National,Members of Parliament,British Columbia,66.7,59,33.3
2021,National,Members of Parliament,British Columbia,66.7,59,33.3
2022,National,Members of Parliament,British Columbia,73.8,59,26.2
2023,National,Members of Parliament,British Columbia,73.8,59,26.2
2015,National,Members of Cabinet,British Columbia,60.0,59,40.0
2016,National,Members of Cabinet,British Columbia,66.7,59,66.7
2017,National,Members of Cabinet,British Columbia,66.7,59,66.7
2022,National,Members of Cabinet,British Columbia,50.0,59,50.0
2023,National,Members of Cabinet,British Columbia,50.0,59,50.0
2015,National,Members of Parliament,Yukon,100.0,60,0.0
2016,National,Members of Parliament,Yukon,100.0,60,0.0
2017,National,Members of Parliament,Yukon,100.0,60,0.0
2018,National,Members of Parliament,Yukon,100.0,60,0.0
2019,National,Members of Parliament,Yukon,100.0,60,0.0
2020,National,Members of Parliament,Yukon,100.0,60,0.0
2021,National,Members of Parliament,Yukon,100.0,60,0.0
2022,National,Members of Parliament,Yukon,100.0,60,0.0
2023,National,Members of Parliament,Yukon,100.0,60,0.0
2015,National,Members of Cabinet,Yukon,100.0,60,0.0
2016,National,Members of Cabinet,Yukon,100.0,60,0.0
2017,National,Members of Cabinet,Yukon,100.0,60,0.0
2022,National,Members of Cabinet,Yukon,100.0,60,0.0
2023,National,Members of Cabinet,Yukon,100.0,60,0.0
2015,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2016,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2017,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2018,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2019,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2020,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2021,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2022,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2023,National,Members of Parliament,Northwest Territories,100.0,61,0.0
2015,National,Members of Cabinet,Northwest Territories,100.0,61,0.0
2016,National,Members of Cabinet,Northwest Territories,100.0,61,0.0
2017,National,Members of Cabinet,Northwest Territories,100.0,61,0.0
2022,National,Members of Cabinet,Northwest Territories,100.0,61,0.0
2023,National,Members of Cabinet,Northwest Territories,100.0,61,0.0
2015,National,Members of Parliament,Nunavut,100.0,62,100.0
2016,National,Members of Parliament,Nunavut,100.0,62,0.0
2017,National,Members of Parliament,Nunavut,100.0,62,0.0
2018,National,Members of Parliament,Nunavut,100.0,62,0.0
2019,National,Members of Parliament,Nunavut,100.0,62,0.0
2020,National,Members of Parliament,Nunavut,100.0,62,100.0
2021,National,Members of Parliament,Nunavut,100.0,62,100.0
2022,National,Members of Parliament,Nunavut,100.0,62,100.0
2023,National,Members of Parliament,Nunavut,100.0,62,100.0
2015,National,Members of Cabinet,Nunavut,100.0,62,100.0
2016,National,Members of Cabinet,Nunavut,100.0,62,0.0
2017,National,Members of Cabinet,Nunavut,100.0,62,0.0
2022,National,Members of Cabinet,Nunavut,100.0,62,0.0
2023,National,Members of Cabinet,Nunavut,100.0,62,0.0
2015,Local,Chiefs in First Nation communities,Canada,80.5,,19.5
2015,Local,First Nations council members,Canada,69.5,,30.5
2016,Local,Chiefs in First Nation communities,Canada,80.3,,19.7
2016,Local,First Nations council members,Canada,69.3,,30.7
2017,Local,Chiefs in First Nation communities,Canada,81.2,,18.8
2017,Local,First Nations council members,Canada,71.4,,28.6
2018,Local,Chiefs in First Nation communities,Canada,79.6,,20.4
2018,Local,First Nations council members,Canada,71.8,,28.2
2019,Local,Chiefs in First Nation communities,Canada,81.5,,18.5
2019,Local,First Nations council members,Canada,72.6,,27.4
