Year,Economic activity,Value
2000,,4.31
2000,"Agriculture, forestry and fishing",0.37
2000,Industry,3.36
2000,Services,0.59
2001,,4.31
2001,"Agriculture, forestry and fishing",0.35
2001,Industry,3.37
2001,Services,0.59
2002,,4.3
2002,"Agriculture, forestry and fishing",0.33
2002,Industry,3.37
2002,Services,0.59
2003,Industry,3.38
2003,Services,0.6
2003,"Agriculture, forestry and fishing",0.31
2003,,4.29
2004,,4.28
2004,"Agriculture, forestry and fishing",0.29
2004,Industry,3.39
2004,Services,0.6
2005,,4.27
2005,"Agriculture, forestry and fishing",0.28
2005,Industry,3.4
2005,Services,0.6
2006,,4.26
2006,Services,0.6
2006,Industry,3.4
2006,"Agriculture, forestry and fishing",0.26
2007,,4.26
2007,"Agriculture, forestry and fishing",0.24
2007,Industry,3.41
2007,Services,0.61
2008,,4.13
2008,"Agriculture, forestry and fishing",0.23
2008,Industry,3.31
2008,Services,0.59
2009,,4.0
2009,Services,0.57
2009,Industry,3.2
2009,"Agriculture, forestry and fishing",0.22
2010,,3.83
2010,"Agriculture, forestry and fishing",0.45
2010,Industry,2.88
2010,Services,0.5
2011,Services,0.48
2011,Industry,2.79
2011,"Agriculture, forestry and fishing",0.4
2011,,3.67
2012,,3.75
2012,"Agriculture, forestry and fishing",0.38
2012,Industry,2.87
2012,Services,0.5
2013,,3.84
2013,"Agriculture, forestry and fishing",0.36
2013,Industry,2.96
2013,Services,0.52
2014,Industry,2.92
2014,Services,0.52
2014,"Agriculture, forestry and fishing",0.32
2014,,3.76
2015,,3.68
2015,"Agriculture, forestry and fishing",0.28
2015,Industry,2.88
2015,Services,0.53
2016,,3.71
2016,"Agriculture, forestry and fishing",0.34
2016,Industry,2.86
2016,Services,0.51
2017,Services,0.5
2017,Industry,2.83
2017,,3.73
2017,"Agriculture, forestry and fishing",0.4
2018,,3.73
2018,"Agriculture, forestry and fishing",0.4
2018,Industry,2.83
2018,Services,0.5
2019,,3.73
2019,"Agriculture, forestry and fishing",0.4
2019,Industry,2.83
2019,Services,0.5
2020,Services,0.51
2020,Industry,2.83
2020,"Agriculture, forestry and fishing",0.4
2020,,3.73
2021,,3.72
2021,"Agriculture, forestry and fishing",0.4
2021,Industry,2.82
2021,Services,0.5
2022,,3.72
2022,"Agriculture, forestry and fishing",0.4
2022,Industry,2.82
2022,Services,0.5
