Year,Status,Geography,Sex,Age group,GeoCode,Value
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Both sexes,15 to 19 years,,7
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Males,15 to 19 years,,7
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Females,15 to 19 years,,6
2015,,,,,,11
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Males,15 to 24 years,,11
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Females,15 to 24 years,,9
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Both sexes,18 to 24 years,,13
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Males,18 to 24 years,,14
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Females,18 to 24 years,,11
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Both sexes,20 to 24 years,,14
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Males,20 to 24 years,,15
2015,"Sub-total, not in employment, education or training (NEET)",Canada,Females,20 to 24 years,,12
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Both sexes,15 to 19 years,,2
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Males,15 to 19 years,,3
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Females,15 to 19 years,,2
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Both sexes,15 to 24 years,,5
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Males,15 to 24 years,,6
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Females,15 to 24 years,,3
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Both sexes,18 to 24 years,,6
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Males,18 to 24 years,,8
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Females,18 to 24 years,,4
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Both sexes,20 to 24 years,,7
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Males,20 to 24 years,,9
2015,"Unemployed, Not in employment, education or training (NEET)",Canada,Females,20 to 24 years,,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Both sexes,15 to 19 years,,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Males,15 to 19 years,,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Females,15 to 19 years,,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Both sexes,15 to 24 years,,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Males,15 to 24 years,,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Females,15 to 24 years,,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Both sexes,18 to 24 years,,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Males,18 to 24 years,,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Females,18 to 24 years,,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Both sexes,20 to 24 years,,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Males,20 to 24 years,,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Canada,Females,20 to 24 years,,8
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,15 to 19 years,10,8
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Males,15 to 19 years,10,10
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,15 to 24 years,10,14
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Males,15 to 24 years,10,19
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Females,15 to 24 years,10,10
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,18 to 24 years,10,19
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Males,18 to 24 years,10,25
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Females,18 to 24 years,10,13
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,20 to 24 years,10,21
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Males,20 to 24 years,10,26
2015,"Sub-total, not in employment, education or training (NEET)",Newfoundland and Labrador,Females,20 to 24 years,10,15
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,15 to 19 years,10,3
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Males,15 to 19 years,10,5
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,15 to 24 years,10,9
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Males,15 to 24 years,10,12
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Females,15 to 24 years,10,5
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,18 to 24 years,10,12
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Males,18 to 24 years,10,17
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Females,18 to 24 years,10,7
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,20 to 24 years,10,14
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Males,20 to 24 years,10,19
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Females,20 to 24 years,10,8
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,15 to 19 years,10,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Males,15 to 19 years,10,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,15 to 24 years,10,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Males,15 to 24 years,10,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Females,15 to 24 years,10,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,18 to 24 years,10,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Males,18 to 24 years,10,8
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Females,18 to 24 years,10,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Both sexes,20 to 24 years,10,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Males,20 to 24 years,10,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Females,20 to 24 years,10,7
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Both sexes,15 to 19 years,11,7
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Both sexes,15 to 24 years,11,13
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Males,15 to 24 years,11,15
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Females,15 to 24 years,11,10
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Both sexes,18 to 24 years,11,17
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Males,18 to 24 years,11,21
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Females,18 to 24 years,11,12
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Both sexes,20 to 24 years,11,18
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Males,20 to 24 years,11,23
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Females,20 to 24 years,11,12
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Both sexes,15 to 19 years,11,4
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Both sexes,15 to 24 years,11,8
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Males,15 to 24 years,11,12
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Females,15 to 24 years,11,4
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Both sexes,18 to 24 years,11,11
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Males,18 to 24 years,11,17
