Year,Flow type,Value
2015,Commitments,871.391441
2015,Disbursements,418.732901
2016,Commitments,668.962271
2016,Disbursements,474.170973
2017,Commitments,223.79897
2017,Disbursements,556.448246
2018,Commitments,681.942372
2018,Disbursements,684.573792
2019,Commitments,547.949707
2019,Disbursements,437.344613
2020,Commitments,503.674191
2020,Disbursements,688.27523
2021,Commitments,623.432753
2021,Disbursements,825.036913
2022,Commitments,1194.635813
2022,Disbursements,701.483505
2023,Commitments,358.114048
2023,Disbursements,614.280465
