Year,Value,Series,GeoCode
2021,45.7,Proportion of population covered by at least one social protection cash benefit,
2015,90.0,Proportion of children covered by social protection benefits,
2018,90.0,Proportion of children covered by social protection benefits,
2021,93.2,Proportion of children covered by social protection benefits,
2021,59.9,Proportion of persons with disabilities receiving benefits,
2015,85.07,Proportion of workers covered in case of employment injury,
2016,84.38,Proportion of workers covered in case of employment injury,
2017,84.4,Proportion of workers covered in case of employment injury,
2018,84.67,Proportion of workers covered in case of employment injury,
2019,84.52,Proportion of workers covered in case of employment injury,
2020,83.33,Proportion of workers covered in case of employment injury,
2021,83.62,Proportion of workers covered in case of employment injury,
2022,83.42,Proportion of workers covered in case of employment injury,
2017,93.4,Proportion of older persons receiving a pension,
2018,93.0,Proportion of older persons receiving a pension,
2021,92.7,Proportion of older persons receiving a pension,
2021,52.1,Proportion of vulnerable persons receiving benefits,
2021,19.4,Proportion of poor population receiving social assistance cash benefit,
