Year,Value,Units,Series,GeoCode
2000,99.6,Percentage (%),Access to basic drinking water services,
2001,99.6,Percentage (%),Access to basic drinking water services,
2002,99.6,Percentage (%),Access to basic drinking water services,
2003,99.6,Percentage (%),Access to basic drinking water services,
2004,99.6,Percentage (%),Access to basic drinking water services,
2005,99.5,Percentage (%),Access to basic drinking water services,
2006,99.4,Percentage (%),Access to basic drinking water services,
2007,99.4,Percentage (%),Access to basic drinking water services,
2008,99.3,Percentage (%),Access to basic drinking water services,
2009,99.2,Percentage (%),Access to basic drinking water services,
2010,99.2,Percentage (%),Access to basic drinking water services,
2011,99.1,Percentage (%),Access to basic drinking water services,
2012,99.0,Percentage (%),Access to basic drinking water services,
2013,99.0,Percentage (%),Access to basic drinking water services,
2014,98.9,Percentage (%),Access to basic drinking water services,
2015,98.8,Percentage (%),Access to basic drinking water services,
2016,98.8,Percentage (%),Access to basic drinking water services,
2017,98.7,Percentage (%),Access to basic drinking water services,
2018,98.6,Percentage (%),Access to basic drinking water services,
2019,98.6,Percentage (%),Access to basic drinking water services,
2020,98.5,Percentage (%),Access to basic drinking water services,
2021,98.4,Percentage (%),Access to basic drinking water services,
2022,98.4,Percentage (%),Access to basic drinking water services,
2023,98.3,Percentage (%),Access to basic drinking water services,
2024,98.3,Percentage (%),Access to basic drinking water services,
2000,99.9,Percentage (%),Access to basic sanitation services,
2001,99.9,Percentage (%),Access to basic sanitation services,
2002,99.9,Percentage (%),Access to basic sanitation services,
2003,99.9,Percentage (%),Access to basic sanitation services,
2004,99.9,Percentage (%),Access to basic sanitation services,
2005,99.9,Percentage (%),Access to basic sanitation services,
2006,99.8,Percentage (%),Access to basic sanitation services,
2007,99.8,Percentage (%),Access to basic sanitation services,
2008,99.7,Percentage (%),Access to basic sanitation services,
2009,99.6,Percentage (%),Access to basic sanitation services,
2010,99.5,Percentage (%),Access to basic sanitation services,
2011,99.4,Percentage (%),Access to basic sanitation services,
2012,99.3,Percentage (%),Access to basic sanitation services,
2013,99.3,Percentage (%),Access to basic sanitation services,
2014,99.2,Percentage (%),Access to basic sanitation services,
2015,99.1,Percentage (%),Access to basic sanitation services,
2016,99.0,Percentage (%),Access to basic sanitation services,
2017,98.9,Percentage (%),Access to basic sanitation services,
2018,98.8,Percentage (%),Access to basic sanitation services,
2019,98.8,Percentage (%),Access to basic sanitation services,
2020,98.7,Percentage (%),Access to basic sanitation services,
2021,98.6,Percentage (%),Access to basic sanitation services,
2022,98.6,Percentage (%),Access to basic sanitation services,
2023,98.6,Percentage (%),Access to basic sanitation services,
2024,98.6,Percentage (%),Access to basic sanitation services,
2015,100.0,Percentage (%),Access to clean fuels and technology,
2016,100.0,Percentage (%),Access to clean fuels and technology,
2017,100.0,Percentage (%),Access to clean fuels and technology,
2018,100.0,Percentage (%),Access to clean fuels and technology,
2019,100.0,Percentage (%),Access to clean fuels and technology,
2020,100.0,Percentage (%),Access to clean fuels and technology,
2021,100.0,Percentage (%),Access to clean fuels and technology,
2022,100.0,Percentage (%),Access to clean fuels and technology,
2023,100.0,Percentage (%),Access to clean fuels and technology,
2002,24081371.0,Tonnes,Access to basic waste collection services,
2004,25226766.0,Tonnes,Access to basic waste collection services,
2006,26417011.0,Tonnes,Access to basic waste collection services,
2008,25926476.0,Tonnes,Access to basic waste collection services,
2010,24952415.0,Tonnes,Access to basic waste collection services,
2012,24681474.0,Tonnes,Access to basic waste collection services,
2014,24766650.0,Tonnes,Access to basic waste collection services,
2016,24940747.0,Tonnes,Access to basic waste collection services,
2018,25733021.0,Tonnes,Access to basic waste collection services,
2020,26107720.0,Tonnes,Access to basic waste collection services,
2022,26617188.0,Tonnes,Access to basic waste collection services,
