Year,Value,Units,Series
2000,1196.74,Tonnes (million),Material footprint
2001,1101.55,Tonnes (million),Material footprint
2002,1097.2,Tonnes (million),Material footprint
2003,1203.02,Tonnes (million),Material footprint
2004,1315.71,Tonnes (million),Material footprint
2005,1107.7,Tonnes (million),Material footprint
2006,1149.26,Tonnes (million),Material footprint
2007,1115.39,Tonnes (million),Material footprint
2008,1081.33,Tonnes (million),Material footprint
2009,1028.52,Tonnes (million),Material footprint
2010,1178.79,Tonnes (million),Material footprint
2011,1271.44,Tonnes (million),Material footprint
2012,1216.29,Tonnes (million),Material footprint
2013,1235.32,Tonnes (million),Material footprint
2014,1206.28,Tonnes (million),Material footprint
2015,1240.12,Tonnes (million),Material footprint
2016,1290.24,Tonnes (million),Material footprint
2017,1340.02,Tonnes (million),Material footprint
2018,1328.66,Tonnes (million),Material footprint
2019,1311.23,Tonnes (million),Material footprint
2000,39.0,Tonnes per capita,Material footprint per capita
2001,35.51,Tonnes per capita,Material footprint per capita
2002,34.99,Tonnes per capita,Material footprint per capita
2003,38.02,Tonnes per capita,Material footprint per capita
2004,41.19,Tonnes per capita,Material footprint per capita
2005,34.36,Tonnes per capita,Material footprint per capita
2006,35.28,Tonnes per capita,Material footprint per capita
2007,33.91,Tonnes per capita,Material footprint per capita
2008,32.52,Tonnes per capita,Material footprint per capita
2009,30.58,Tonnes per capita,Material footprint per capita
2010,34.66,Tonnes per capita,Material footprint per capita
2011,37.03,Tonnes per capita,Material footprint per capita
2012,35.04,Tonnes per capita,Material footprint per capita
2013,35.21,Tonnes per capita,Material footprint per capita
2014,34.04,Tonnes per capita,Material footprint per capita
2015,34.73,Tonnes per capita,Material footprint per capita
2016,35.73,Tonnes per capita,Material footprint per capita
2017,36.67,Tonnes per capita,Material footprint per capita
2018,35.84,Tonnes per capita,Material footprint per capita
2019,34.86,Tonnes per capita,Material footprint per capita
2000,0.00078,Tonnes per dollar,Material footprint per GDP
2001,0.0007,Tonnes per dollar,Material footprint per GDP
2002,0.00068,Tonnes per dollar,Material footprint per GDP
2003,0.00073,Tonnes per dollar,Material footprint per GDP
2004,0.00078,Tonnes per dollar,Material footprint per GDP
2005,0.00063,Tonnes per dollar,Material footprint per GDP
2006,0.00064,Tonnes per dollar,Material footprint per GDP
2007,0.00061,Tonnes per dollar,Material footprint per GDP
2008,0.00059,Tonnes per dollar,Material footprint per GDP
2009,0.00057,Tonnes per dollar,Material footprint per GDP
2010,0.00064,Tonnes per dollar,Material footprint per GDP
2011,0.00067,Tonnes per dollar,Material footprint per GDP
2012,0.00063,Tonnes per dollar,Material footprint per GDP
2013,0.00062,Tonnes per dollar,Material footprint per GDP
2014,0.00059,Tonnes per dollar,Material footprint per GDP
2015,0.0006,Tonnes per dollar,Material footprint per GDP
2016,0.00062,Tonnes per dollar,Material footprint per GDP
2017,0.00063,Tonnes per dollar,Material footprint per GDP
2018,0.0006,Tonnes per dollar,Material footprint per GDP
2019,0.00059,Tonnes per dollar,Material footprint per GDP
