Year,Value,Series
2015,30.27,Foreign Direct Investment (FDI) Inflow
2016,31.83,Foreign Direct Investment (FDI) Inflow
2017,34.38,Foreign Direct Investment (FDI) Inflow
2018,35.95,Foreign Direct Investment (FDI) Inflow
2019,42.62,Foreign Direct Investment (FDI) Inflow
2020,43.2,Foreign Direct Investment (FDI) Inflow
2021,46.39,Foreign Direct Investment (FDI) Inflow
2022,45.43,Foreign Direct Investment (FDI) Inflow
2023,47.53,Foreign Direct Investment (FDI) Inflow
2015,0.27,Official Development Assistance (ODA)
2016,0.26,Official Development Assistance (ODA)
2017,0.27,Official Development Assistance (ODA)
2018,0.28,Official Development Assistance (ODA)
2019,0.27,Official Development Assistance (ODA)
2020,0.31,Official Development Assistance (ODA)
2021,0.32,Official Development Assistance (ODA)
2022,0.37,Official Development Assistance (ODA)
2023,0.38,Official Development Assistance (ODA)
