Year,Value,Units,Series
2015,4.0,Score,Trend score
2016,4.67,Score,Trend score
2017,4.67,Score,Trend score
2018,4.67,Score,Trend score
2019,4.67,Score,Trend score
2020,4.67,Score,Trend score
2021,3.83,Score,Trend score
2022,4.67,Score,Trend score
2023,4.67,Score,Trend score
2015,4.0,Score,Current score
2016,4.17,Score,Current score
2017,4.17,Score,Current score
2018,4.17,Score,Current score
2019,4.17,Score,Current score
2020,4.17,Score,Current score
2021,3.83,Score,Current score
2022,4.17,Score,Current score
2023,4.17,Score,Current score
