Year,Value,Units
2015,3.5,"Mortality rate per 1,000 live births"
2016,3.4,"Mortality rate per 1,000 live births"
2017,3.5,"Mortality rate per 1,000 live births"
2018,3.6,"Mortality rate per 1,000 live births"
2019,3.4,"Mortality rate per 1,000 live births"
2020,3.5,"Mortality rate per 1,000 live births"
2021,3.4,"Mortality rate per 1,000 live births"
2022,3.6,"Mortality rate per 1,000 live births"
2023,3.4,"Mortality rate per 1,000 live births"
2015,1353.0,Number of deaths
2016,1291.0,Number of deaths
2017,1323.0,Number of deaths
2018,1335.0,Number of deaths
2019,1258.0,Number of deaths
2020,1266.0,Number of deaths
2021,1254.0,Number of deaths
2022,1270.0,Number of deaths
2023,1198.0,Number of deaths
