Year,Value,Series
2015,22.91,"Number of commercial bank branches per 100,000 adults"
2016,22.34,"Number of commercial bank branches per 100,000 adults"
2017,20.83,"Number of commercial bank branches per 100,000 adults"
2018,20.18,"Number of commercial bank branches per 100,000 adults"
2019,19.75,"Number of commercial bank branches per 100,000 adults"
2020,20.18,"Number of commercial bank branches per 100,000 adults"
2021,20.69,"Number of commercial bank branches per 100,000 adults"
2022,19.77,"Number of commercial bank branches per 100,000 adults"
2023,19.02,"Number of commercial bank branches per 100,000 adults"
2015,222.13,"Number of automated teller machines (ATMs) per 100,000 adults"
2016,224.76,"Number of automated teller machines (ATMs) per 100,000 adults"
2017,229.25,"Number of automated teller machines (ATMs) per 100,000 adults"
2018,220.49,"Number of automated teller machines (ATMs) per 100,000 adults"
2019,214.33,"Number of automated teller machines (ATMs) per 100,000 adults"
2020,210.34,"Number of automated teller machines (ATMs) per 100,000 adults"
2021,212.43,"Number of automated teller machines (ATMs) per 100,000 adults"
2022,206.02,"Number of automated teller machines (ATMs) per 100,000 adults"
2023,188.53,"Number of automated teller machines (ATMs) per 100,000 adults"
