Year,Series,Géographie,GeoCode,Value
2021,Proportion de la population couverte par au moins une prestation de protection sociale en espèces,,,45.7
2015,Proportion d'enfants couverts par des prestations de protection sociale,,,90.0
2018,Proportion d'enfants couverts par des prestations de protection sociale,,,90.0
2021,Proportion d'enfants couverts par des prestations de protection sociale,,,93.2
2021,Proportion de personnes handicapées bénéficiant de prestations,,,59.9
2015,Proportion de travailleurs couverts en cas d'accident du travail,,,85.07
2015,Proportion de travailleurs couverts en cas d'accident du travail,Terre-Neuve-et-Labrador,10,97.63
2015,Proportion de travailleurs couverts en cas d'accident du travail,Île-du-Prince-Édouard,11,97.48
2015,Proportion de travailleurs couverts en cas d'accident du travail,Nouvelle-Écosse,12,72.87
2015,Proportion de travailleurs couverts en cas d'accident du travail,Nouveau-Brunswick,13,91.38
2015,Proportion de travailleurs couverts en cas d'accident du travail,Québec,24,93.11
2015,Proportion de travailleurs couverts en cas d'accident du travail,Ontario,35,75.93
2015,Proportion de travailleurs couverts en cas d'accident du travail,Manitoba,46,76.44
2015,Proportion de travailleurs couverts en cas d'accident du travail,Saskatchewan,47,73.71
2015,Proportion de travailleurs couverts en cas d'accident du travail,Alberta,48,89.94
2015,Proportion de travailleurs couverts en cas d'accident du travail,Colombie-Britannique,59,98.01
2015,Proportion de travailleurs couverts en cas d'accident du travail,Territoires du Nord-Ouest et Nunavut,,97.8
2015,Proportion de travailleurs couverts en cas d'accident du travail,Yukon,60,94.88
2016,Proportion de travailleurs couverts en cas d'accident du travail,,,84.38
2016,Proportion de travailleurs couverts en cas d'accident du travail,Terre-Neuve-et-Labrador,10,97.61
2016,Proportion de travailleurs couverts en cas d'accident du travail,Île-du-Prince-Édouard,11,98.04
2016,Proportion de travailleurs couverts en cas d'accident du travail,Nouvelle-Écosse,12,75.4
2016,Proportion de travailleurs couverts en cas d'accident du travail,Nouveau-Brunswick,13,91.39
2016,Proportion de travailleurs couverts en cas d'accident du travail,Québec,24,92.6
2016,Proportion de travailleurs couverts en cas d'accident du travail,Ontario,35,76.24
2016,Proportion de travailleurs couverts en cas d'accident du travail,Manitoba,46,77.4
2016,Proportion de travailleurs couverts en cas d'accident du travail,Saskatchewan,47,71.3
2016,Proportion de travailleurs couverts en cas d'accident du travail,Alberta,48,84.36
2016,Proportion de travailleurs couverts en cas d'accident du travail,Colombie-Britannique,59,97.61
2016,Proportion de travailleurs couverts en cas d'accident du travail,Territoires du Nord-Ouest et Nunavut,,97.16
2016,Proportion de travailleurs couverts en cas d'accident du travail,Yukon,60,97.32
2017,Proportion de travailleurs couverts en cas d'accident du travail,,,84.4
2017,Proportion de travailleurs couverts en cas d'accident du travail,Terre-Neuve-et-Labrador,10,97.44
2017,Proportion de travailleurs couverts en cas d'accident du travail,Île-du-Prince-Édouard,11,97.71
2017,Proportion de travailleurs couverts en cas d'accident du travail,Nouvelle-Écosse,12,74.93
2017,Proportion de travailleurs couverts en cas d'accident du travail,Nouveau-Brunswick,13,91.39
2017,Proportion de travailleurs couverts en cas d'accident du travail,Québec,24,92.6
2017,Proportion de travailleurs couverts en cas d'accident du travail,Ontario,35,76.48
2017,Proportion de travailleurs couverts en cas d'accident du travail,Manitoba,46,78.81
2017,Proportion de travailleurs couverts en cas d'accident du travail,Saskatchewan,47,75.77
2017,Proportion de travailleurs couverts en cas d'accident du travail,Alberta,48,82.62
2017,Proportion de travailleurs couverts en cas d'accident du travail,Colombie-Britannique,59,97.15
2017,Proportion de travailleurs couverts en cas d'accident du travail,Territoires du Nord-Ouest et Nunavut,,97.03
2017,Proportion de travailleurs couverts en cas d'accident du travail,Yukon,60,96.35
