Year,Units,Géographie,Région,Genre,GeoCode,Value
2020/2021,Pourcentage (%),Abbotsford - Mission (RMR),Total,Total,,47.81
2020/2021,Pourcentage (%),Bathurst (AR),Total,Total,,60.24
2020/2021,Pourcentage (%),Colombie-Britannique,Total,Total,59,50.05
2020/2021,Pourcentage (%),Colombie-Britannique,Urbain,Total,59,47.48
2020/2021,Pourcentage (%),Colombie-Britannique,Rural,Total,59,72.0
2020/2021,Pourcentage (%),Colombie-Britannique,Total,Homme,59,48.65
2020/2021,Pourcentage (%),Colombie-Britannique,Total,Femme,59,49.72
2020/2021,Pourcentage (%),Campbellton (partie du Nouveau Brunswick)(AR),Total,Total,,60.52
2020/2021,Pourcentage (%),Cape Breton (AR),Total,Total,,57.98
2020/2021,Pourcentage (%),Corner Brook (AR),Total,Total,,57.96
2020/2021,Pourcentage (%),Edmundston (AR),Total,Total,,62.6
2020/2021,Pourcentage (%),Fredericton (RMR),Total,Total,,53.1
2020/2021,Pourcentage (%),Gander (AR),Total,Total,,54.34
2020/2021,Pourcentage (%),Grand Falls-Windsor (AR),Total,Total,,56.8
2020/2021,Pourcentage (%),Halifax (RMR),Total,Total,,44.51
2020/2021,Pourcentage (%),Hamilton (RMR),Total,Total,,41.81
2020/2021,Pourcentage (%),Kamloops (RMR),Total,Total,,52.09
2020/2021,Pourcentage (%),Kelowna (RMR),Total,Total,,52.28
2020/2021,Pourcentage (%),Kentville (AR),Total,Total,,56.41
2020/2021,Pourcentage (%),Kitchener - Cambridge - Waterloo (RMR),Total,Total,,49.24
2020/2021,Pourcentage (%),London (RMR),Total,Total,,48.71
2020/2021,Pourcentage (%),Moncton (RMR),Total,Total,,51.92
2020/2021,Pourcentage (%),Nanaimo (RMR),Total,Total,,51.33
2020/2021,Pourcentage (%),Nouveau-Brunswick,Total,Total,13,59.56
2020/2021,Pourcentage (%),Nouveau-Brunswick,Urbain,Total,13,54.96
2020/2021,Pourcentage (%),Nouveau-Brunswick,Rural,Total,13,67.28
2020/2021,Pourcentage (%),Nouveau-Brunswick,Total,Homme,13,59.8
2020/2021,Pourcentage (%),Nouveau-Brunswick,Total,Femme,13,54.8
2020/2021,Pourcentage (%),New Glasgow (AR),Total,Total,,61.36
2020/2021,Pourcentage (%),Terre-Neuve-et-Labrador,Total,Total,10,50.47
2020/2021,Pourcentage (%),Terre-Neuve-et-Labrador,Urbain,Total,10,56.66
2020/2021,Pourcentage (%),Terre-Neuve-et-Labrador,Rural,Total,10,43.77
2020/2021,Pourcentage (%),Terre-Neuve-et-Labrador,Total,Homme,10,45.94
2020/2021,Pourcentage (%),Terre-Neuve-et-Labrador,Total,Femme,10,36.58
2020/2021,Pourcentage (%),Territoires du Nord-Ouest,Total,Total,61,43.04
2020/2021,Pourcentage (%),Territoires du Nord-Ouest,Total,Homme,61,20.74
2020/2021,Pourcentage (%),Territoires du Nord-Ouest,Total,Femme,61,21.87
2020/2021,Pourcentage (%),Nouvelle-Écosse,Total,Total,12,56.66
2020/2021,Pourcentage (%),Nouvelle-Écosse,Urbain,Total,12,48.76
2020/2021,Pourcentage (%),Nouvelle-Écosse,Rural,Total,12,74.11
2020/2021,Pourcentage (%),Nouvelle-Écosse,Total,Homme,12,46.38
2020/2021,Pourcentage (%),Nouvelle-Écosse,Total,Femme,12,45.39
2020/2021,Pourcentage (%),Nunavut,Total,Total,62,12.66
2020/2021,Pourcentage (%),Nunavut,Rural,Total,62,12.66
2020/2021,Pourcentage (%),Nunavut,Total,Homme,62,12.55
2020/2021,Pourcentage (%),Nunavut,Total,Femme,62,12.44
2020/2021,Pourcentage (%),Ontario,Total,Total,35,51.04
2020/2021,Pourcentage (%),Ontario,Urbain,Total,35,49.43
2020/2021,Pourcentage (%),Ontario,Rural,Total,35,65.5
2020/2021,Pourcentage (%),Ontario,Total,Homme,35,50.67
2020/2021,Pourcentage (%),Ontario,Total,Femme,35,51.33
2020/2021,Pourcentage (%),Ottawa - Gatineau (partie de l'Ontario)(RMR),Total,Total,,48.52
2020/2021,Pourcentage (%),Saint John (RMR),Total,Total,,55.88
2020/2021,Pourcentage (%),St. Catharines - Niagara (RMR),Total,Total,,53.4
2020/2021,Pourcentage (%),St. John's (RMR),Total,Total,,53.61
2020/2021,Pourcentage (%),Toronto (RMR),Total,Total,,46.36
2020/2021,Pourcentage (%),Truro (AR),Total,Total,,57.7
2020/2021,Pourcentage (%),Vancouver (RMR),Total,Total,,44.97
2020/2021,Pourcentage (%),Victoria (RMR),Total,Total,,48.89
2020/2021,Pourcentage (%),Whitehorse (AR),Total,Total,,48.01
2020/2021,Pourcentage (%),Yellowknife (AR),Total,Total,,43.04
2020/2021,Pourcentage (%),Yukon,Total,Total,60,47.43
2020/2021,Pourcentage (%),Yukon,Urbain,Total,60,48.01
2020/2021,Pourcentage (%),Yukon,Rural,Total,60,45.25
2020/2021,Pourcentage (%),Yukon,Total,Homme,60,46.05
2020/2021,Pourcentage (%),Yukon,Total,Femme,60,46.65
