Year,Units,Type de catastrophe naturelle,Value
2020,Taux pour 100 000 personnes,Tempête-non précisée/autre,0.0
2020,Taux pour 100 000 personnes,Feu de forêt,0.0
2020,Taux pour 100 000 personnes,Orages et orages graves,0.0
2020,Taux pour 100 000 personnes,Inondation,35.373341532768
2020,Taux pour 100 000 personnes,Tempête hivernale,0.0052591943997573
2019,Taux pour 100 000 personnes,Tempête-non précisée/autre,0.0
2019,Taux pour 100 000 personnes,Tempête hivernale,15.949601386233
2019,Taux pour 100 000 personnes,Ouragan / ouragan / tempête tropicale,0.0
2019,Taux pour 100 000 personnes,Orages et orages graves,0.0
2019,Taux pour 100 000 personnes,Feu de forêt,14.6204679373803
2019,Taux pour 100 000 personnes,Inondation,33.2309944882165
2018,Taux pour 100 000 personnes,Orages et orages graves,0.0053948169835312
2018,Taux pour 100 000 personnes,Tornade,0.0161844509505937
2018,Taux pour 100 000 personnes,Feu de forêt,13.4600683739104
2018,Taux pour 100 000 personnes,Inondation,30.1381450784973
2018,Taux pour 100 000 personnes,Épisode de chaleur,0.250858989734203
2018,Taux pour 100 000 personnes,Tempête-non précisée/autre,0.0080922254752968
2018,Taux pour 100 000 personnes,Tempête hivernale,0.0026974084917656
2017,Taux pour 100 000 personnes,Tempête-non précisée/autre,0.547269365297513
2017,Taux pour 100 000 personnes,Feu de forêt,177.862543721692
2017,Taux pour 100 000 personnes,Inondation,19.3459720632671
2017,Taux pour 100 000 personnes,Tempête hivernale,0.128608300844915
2016,Taux pour 100 000 personnes,Tempête-non précisée/autre,0.0055385087947227
2016,Taux pour 100 000 personnes,Tempête hivernale,0.553850879472273
2016,Taux pour 100 000 personnes,Inondation,5.103735854337
2016,Taux pour 100 000 personnes,Feu de forêt,256.726498161783
2016,Taux pour 100 000 personnes,Tornade,1.66155263841682
2015,Taux pour 100 000 personnes,Tempête-non précisée/autre,0.0028007675671563
2015,Taux pour 100 000 personnes,Tornade,0.0168046054029383
2015,Taux pour 100 000 personnes,Inondation,4.57365343716638
2015,Taux pour 100 000 personnes,Feu de forêt,46.0250134310809
2015,Taux pour 100 000 personnes,Tempête hivernale,0.0588161189102841
2020,Taux pour 100 000 personnes,,35.3786007271678
2019,Taux pour 100 000 personnes,,63.8010638118298
2018,Taux pour 100 000 personnes,,43.8814413440431
2017,Taux pour 100 000 personnes,,197.884393451101
2016,Taux pour 100 000 personnes,,264.051176042804
2015,Taux pour 100 000 personnes,,50.6770883601276
2020,Nombre,Tempête-non précisée/autre,0.0
2020,Nombre,Feu de forêt,0.0
2020,Nombre,Orages et orages graves,0.0
2020,Nombre,Inondation,13452.0
2020,Nombre,Tempête hivernale,2.0
2019,Nombre,Tempête-non précisée/autre,0.0
2019,Nombre,Tempête hivernale,6000.0
2019,Nombre,Ouragan / ouragan / tempête tropicale,0.0
2019,Nombre,Orages et orages graves,0.0
2019,Nombre,Feu de forêt,5500.0
2019,Nombre,Inondation,12501.0
2018,Nombre,Orages et orages graves,2.0
2018,Nombre,Tornade,6.0
2018,Nombre,Feu de forêt,4990.0
2018,Nombre,Inondation,11173.0
2018,Nombre,Épisode de chaleur,93.0
2018,Nombre,Tempête-non précisée/autre,3.0
2018,Nombre,Tempête hivernale,1.0
2017,Nombre,Tempête-non précisée/autre,200.0
2017,Nombre,Feu de forêt,65000.0
2017,Nombre,Inondation,7070.0
2017,Nombre,Tempête hivernale,47.0
2016,Nombre,Tempête-non précisée/autre,2.0
2016,Nombre,Tempête hivernale,200.0
2016,Nombre,Inondation,1843.0
2016,Nombre,Feu de forêt,92706.0
2016,Nombre,Tornade,600.0
2015,Nombre,Tempête-non précisée/autre,1.0
2015,Nombre,Tornade,6.0
2015,Nombre,Inondation,1633.0
2015,Nombre,Feu de forêt,16433.0
2015,Nombre,Tempête hivernale,21.0
2020,Nombre,,13454.0
2019,Nombre,,24001.0
2018,Nombre,,16268.0
2017,Nombre,,72317.0
2016,Nombre,,95351.0
2015,Nombre,,18094.0
