Year,Géographie,Product category,GeoCode,Value
2015,,,,0.83
2016,,,,0.83
2017,,,,0.81
2018,,,,0.8
2019,,,,0.81
2020,,,,0.82
2021,,,,0.81
2015,Canada,Construction materials,,0.88
2015,Canada,Electrical and electronic equipment,,0.9
2015,Canada,Matériel électronique,,0.88
2015,Canada,Major appliances,,0.88
2015,Canada,Other electrical and electronic equipment,,0.92
2015,Canada,Packaging,,0.88
2015,Canada,Bottles,,0.88
2015,Canada,Film,,0.88
2015,Canada,Non-bottle rigid,,0.88
2015,Canada,Other packaging products,,0.88
2015,Canada,Agriculture film,,0.88
2015,Canada,Textiles,,0.88
2015,Canada,Vehicles,,0.67
2015,Canada,Other products,,0.76
2015,Terre-Neuve-et-Labrador,"Total, all product categories",10,3.72
2015,Terre-Neuve-et-Labrador,Construction materials,10,0.89
2015,Terre-Neuve-et-Labrador,Electrical and electronic equipment,10,0.91
2015,Terre-Neuve-et-Labrador,Packaging,10,0.88
2015,Terre-Neuve-et-Labrador,Agriculture film,10,0.72
2015,Terre-Neuve-et-Labrador,Textiles,10,0.89
2015,Terre-Neuve-et-Labrador,Vehicles,10,20.0
2015,Terre-Neuve-et-Labrador,Other products,10,0.61
2015,Île-du-Prince-Édouard,"Total, all product categories",11,0.7
2015,Île-du-Prince-Édouard,Construction materials,11,0.91
2015,Île-du-Prince-Édouard,Electrical and electronic equipment,11,0.94
2015,Île-du-Prince-Édouard,Packaging,11,0.87
2015,Île-du-Prince-Édouard,Agriculture film,11,0.95
2015,Île-du-Prince-Édouard,Textiles,11,0.87
2015,Île-du-Prince-Édouard,Vehicles,11,0.22
2015,Île-du-Prince-Édouard,Other products,11,0.59
2015,Nouvelle-Écosse,"Total, all product categories",12,0.7
2015,Nouvelle-Écosse,Construction materials,12,0.89
2015,Nouvelle-Écosse,Electrical and electronic equipment,12,0.91
2015,Nouvelle-Écosse,Packaging,12,0.88
2015,Nouvelle-Écosse,Agriculture film,12,0.95
2015,Nouvelle-Écosse,Textiles,12,0.88
2015,Nouvelle-Écosse,Vehicles,12,0.22
2015,Nouvelle-Écosse,Other products,12,0.6
2015,Nouveau-Brunswick,"Total, all product categories",13,0.74
2015,Nouveau-Brunswick,Construction materials,13,0.88
2015,Nouveau-Brunswick,Electrical and electronic equipment,13,0.91
2015,Nouveau-Brunswick,Packaging,13,0.88
2015,Nouveau-Brunswick,Agriculture film,13,0.95
2015,Nouveau-Brunswick,Textiles,13,0.88
