Year,Outils de comptabilité standards,Value
2008,,6
2009,,9
2010,,8
2011,,9
2012,,9
2013,,9
2014,,9
2015,,9
2016,,8
2017,,10
2018,,8
2019,,8
2020,,6
2021,,6
2008,Tableaux du Compte satellite du tourisme,6
2009,Tableaux du Compte satellite du tourisme,6
2010,Tableaux du Compte satellite du tourisme,6
2011,Tableaux du Compte satellite du tourisme,6
2012,Tableaux du Compte satellite du tourisme,7
2013,Tableaux du Compte satellite du tourisme,6
2014,Tableaux du Compte satellite du tourisme,7
2015,Tableaux du Compte satellite du tourisme,6
2016,Tableaux du Compte satellite du tourisme,6
2017,Tableaux du Compte satellite du tourisme,7
2018,Tableaux du Compte satellite du tourisme,6
2019,Tableaux du Compte satellite du tourisme,6
2020,Tableaux du Compte satellite du tourisme,6
2021,Tableaux du Compte satellite du tourisme,6
2008,Tableaux du Système de comptabilité économique et environnementale,0
2009,Tableaux du Système de comptabilité économique et environnementale,3
2010,Tableaux du Système de comptabilité économique et environnementale,2
2011,Tableaux du Système de comptabilité économique et environnementale,3
2012,Tableaux du Système de comptabilité économique et environnementale,2
2013,Tableaux du Système de comptabilité économique et environnementale,3
2014,Tableaux du Système de comptabilité économique et environnementale,2
2015,Tableaux du Système de comptabilité économique et environnementale,3
2016,Tableaux du Système de comptabilité économique et environnementale,2
2017,Tableaux du Système de comptabilité économique et environnementale,3
2018,Tableaux du Système de comptabilité économique et environnementale,2
2019,Tableaux du Système de comptabilité économique et environnementale,2
2020,Tableaux du Système de comptabilité économique et environnementale,0
2021,Tableaux du Système de comptabilité économique et environnementale,0
