Year,Groupe de stocks,Value
2011,,89.6774193548387
2012,,95.483870967742
2013,,97.4193548387097
2014,,98.7012987012987
2015,,95.5974842767296
2016,,95.8823529411765
2017,,95.5307262569832
2018,,96.045197740113
2019,,94.3181818181818
2020,,98.3333333333333
2021,,95.3125
2022,,96.9230769230769
2023,,97.4874371859297
2023,Mammifères marins,94.1176470588235
2023,Poissons de fond,100.0
2023,Petits poissons pélagiques,95.8333333333333
2023,Grands poissons pélagiques,100.0
2023,Salmonidés,96.0
2023,Crustacés,98.2142857142857
2023,Mollusques,100.0
2023,Autres,83.3333333333333
2022,Mammifères marins,94.1176470588235
2022,Poissons de fond,100.0
2022,Petits poissons pélagiques,100.0
2022,Grands poissons pélagiques,100.0
2022,Salmonidés,96.0
2022,Crustacés,92.3076923076923
2022,Mollusques,100.0
2022,Autres,100.0
2021,Mammifères marins,94.1176470588235
2021,Poissons de fond,100.0
2021,Petits poissons pélagiques,95.0
2021,Grands poissons pélagiques,100.0
2021,Salmonidés,91.6666666666667
2021,Crustacés,92.3076923076923
2021,Mollusques,94.4444444444444
2021,Autres,100.0
2020,Mammifères marins,94.1176470588235
2020,Poissons de fond,100.0
2020,Petits poissons pélagiques,100.0
2020,Grands poissons pélagiques,100.0
2020,Salmonidés,95.4545454545455
2020,Crustacés,97.6744186046512
2020,Mollusques,100.0
2020,Autres,100.0
