Year,Sites importants pour la biodiversité (SIB),Value
1980,Sites importants pour la biodiversité terrestre,8.64
1990,Sites importants pour la biodiversité terrestre,12.66
2000,Sites importants pour la biodiversité terrestre,17.21
2010,Sites importants pour la biodiversité terrestre,25.01
2020,Sites importants pour la biodiversité terrestre,28.93
2021,Sites importants pour la biodiversité terrestre,29.04
2022,Sites importants pour la biodiversité terrestre,29.2
2023,Sites importants pour la biodiversité terrestre,29.2
1980,Sites importants pour la biodiversité des eaux douces,7.01
1990,Sites importants pour la biodiversité des eaux douces,11.34
2000,Sites importants pour la biodiversité des eaux douces,15.19
2010,Sites importants pour la biodiversité des eaux douces,18.59
2020,Sites importants pour la biodiversité des eaux douces,19.72
2021,Sites importants pour la biodiversité des eaux douces,19.97
2022,Sites importants pour la biodiversité des eaux douces,19.97
2023,Sites importants pour la biodiversité des eaux douces,19.97
