Year,Units,Series,Value
2015-2016,Pourcentage (%),Taux de variation nette de la superficie forestière,-0.01
2016-2017,Pourcentage (%),Taux de variation nette de la superficie forestière,-0.01
2017-2018,Pourcentage (%),Taux de variation nette de la superficie forestière,-0.01
2018-2019,Pourcentage (%),Taux de variation nette de la superficie forestière,-0.01
2019-2020,Pourcentage (%),Taux de variation nette de la superficie forestière,-0.01
2010,Tonnes/hectare,Stock de biomasse aérienne en forêt,91.16
2015,Tonnes/hectare,Stock de biomasse aérienne en forêt,90.49
2016,Tonnes/hectare,Stock de biomasse aérienne en forêt,90.43
2017,Tonnes/hectare,Stock de biomasse aérienne en forêt,90.43
2018,Tonnes/hectare,Stock de biomasse aérienne en forêt,90.43
2019,Tonnes/hectare,Stock de biomasse aérienne en forêt,90.43
2020,Tonnes/hectare,Stock de biomasse aérienne en forêt,90.43
2010,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies,8.13
2015,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies,8.5
2016,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies,8.5
2017,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies,8.5
2018,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies,8.5
2019,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies,8.5
2020,Pourcentage (%),Proportion de la superficie forestière située dans des aires protégées légalement établies,8.5
2010,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme,54.12
2015,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme,54.35
2016,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme,57.64
2017,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme,57.64
2018,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme,60.71
2019,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme,60.82
2020,Pourcentage (%),Proportion de la superficie forestière faisant l’objet d’un plan de gestion forestière à long terme,60.82
2000,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",5.0
2001,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",17.0
2002,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",28.0
2003,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",58.0
2004,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",86.0
2005,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",120.0
2006,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",124.0
2007,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",138.0
2008,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",146.0
2009,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",143.0
2010,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",150.0
2011,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",151.0
2012,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",148.0
2013,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",153.0
2014,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",161.0
2015,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",166.0
2016,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",168.0
2017,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",170.0
2018,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",164.0
2019,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",168.0
2020,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",164.0
2021,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",158.0
2022,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",155.0
2023,Hectares (Millions),"Superficie forestière faisant l’objet d’un système de certification de la gestion forestière vérifié de manière indépendante
",160.0
