Year,Series,Groupe d'espèces,Système,Progress,Value
1970,Par groupe d'espèces,,,1.0,0.0
1971,Par groupe d'espèces,,,1.0145,1.45
1972,Par groupe d'espèces,,,1.0266,2.66
1973,Par groupe d'espèces,,,1.0352,3.52
1974,Par groupe d'espèces,,,1.0398,3.98
1975,Par groupe d'espèces,,,1.0453,4.53
1976,Par groupe d'espèces,,,1.0485,4.85
1977,Par groupe d'espèces,,,1.0503,5.03
1978,Par groupe d'espèces,,,1.0559,5.59
1979,Par groupe d'espèces,,,1.0634,6.34
1980,Par groupe d'espèces,,,1.0725,7.25
1981,Par groupe d'espèces,,,1.0803,8.03
1982,Par groupe d'espèces,,,1.0801,8.01
1983,Par groupe d'espèces,,,1.0811,8.11
1984,Par groupe d'espèces,,,1.0897,8.97
1985,Par groupe d'espèces,,,1.097,9.7
1986,Par groupe d'espèces,,,1.1002,10.02
1987,Par groupe d'espèces,,,1.0885,8.85
1988,Par groupe d'espèces,,,1.0806,8.06
1989,Par groupe d'espèces,,,1.0723,7.23
1990,Par groupe d'espèces,,,1.0696,6.96
1991,Par groupe d'espèces,,,1.0658,6.58
1992,Par groupe d'espèces,,,1.063,6.3
1993,Par groupe d'espèces,,,1.065,6.5
1994,Par groupe d'espèces,,,1.0707,7.07
1995,Par groupe d'espèces,,,1.0715,7.15
1996,Par groupe d'espèces,,,1.0695,6.95
1997,Par groupe d'espèces,,,1.0652,6.52
1998,Par groupe d'espèces,,,1.0527,5.27
1999,Par groupe d'espèces,,,1.0417,4.17
2000,Par groupe d'espèces,,,1.0331,3.31
2001,Par groupe d'espèces,,,1.0277,2.77
2002,Par groupe d'espèces,,,1.0207,2.07
2003,Par groupe d'espèces,,,1.0159,1.59
2004,Par groupe d'espèces,,,1.0107,1.07
2005,Par groupe d'espèces,,,1.0117,1.17
2006,Par groupe d'espèces,,,1.0132,1.32
2007,Par groupe d'espèces,,,1.0117,1.17
2008,Par groupe d'espèces,,,1.0043,0.43
2009,Par groupe d'espèces,,,0.9986,-0.14
2010,Par groupe d'espèces,,,0.9924,-0.76
2011,Par groupe d'espèces,,,0.9872,-1.28
2012,Par groupe d'espèces,,,0.9741,-2.59
2013,Par groupe d'espèces,,,0.9568,-4.32
2014,Par groupe d'espèces,,,0.9414,-5.86
2015,Par groupe d'espèces,,,0.9339,-6.61
2016,Par groupe d'espèces,,,0.9356,-6.44
2017,Par groupe d'espèces,,,0.9252,-7.48
2018,Par groupe d'espèces,,,0.9257,-7.43
1970,Par groupe d'espèces,Indice des oiseaux,,1.0,0.0
1971,Par groupe d'espèces,Indice des oiseaux,,1.0127,1.27
1972,Par groupe d'espèces,Indice des oiseaux,,1.0257,2.57
1973,Par groupe d'espèces,Indice des oiseaux,,1.0396,3.96
1974,Par groupe d'espèces,Indice des oiseaux,,1.0558,5.58
1975,Par groupe d'espèces,Indice des oiseaux,,1.0711,7.11
1976,Par groupe d'espèces,Indice des oiseaux,,1.0836,8.36
1977,Par groupe d'espèces,Indice des oiseaux,,1.0923,9.23
1978,Par groupe d'espèces,Indice des oiseaux,,1.0996,9.96
1979,Par groupe d'espèces,Indice des oiseaux,,1.1083,10.83
1980,Par groupe d'espèces,Indice des oiseaux,,1.1178,11.78
1981,Par groupe d'espèces,Indice des oiseaux,,1.126,12.6
1982,Par groupe d'espèces,Indice des oiseaux,,1.1319,13.19
1983,Par groupe d'espèces,Indice des oiseaux,,1.137,13.7
1984,Par groupe d'espèces,Indice des oiseaux,,1.1524,15.24
1985,Par groupe d'espèces,Indice des oiseaux,,1.1679,16.79
1986,Par groupe d'espèces,Indice des oiseaux,,1.1813,18.13
1987,Par groupe d'espèces,Indice des oiseaux,,1.1771,17.71
1988,Par groupe d'espèces,Indice des oiseaux,,1.1772,17.72
1989,Par groupe d'espèces,Indice des oiseaux,,1.1783,17.83
1990,Par groupe d'espèces,Indice des oiseaux,,1.1803,18.03
1991,Par groupe d'espèces,Indice des oiseaux,,1.1827,18.27
1992,Par groupe d'espèces,Indice des oiseaux,,1.1849,18.49
1993,Par groupe d'espèces,Indice des oiseaux,,1.1856,18.56
1994,Par groupe d'espèces,Indice des oiseaux,,1.1838,18.38
1995,Par groupe d'espèces,Indice des oiseaux,,1.1798,17.98
1996,Par groupe d'espèces,Indice des oiseaux,,1.1732,17.32
1997,Par groupe d'espèces,Indice des oiseaux,,1.1644,16.44
1998,Par groupe d'espèces,Indice des oiseaux,,1.154,15.4
1999,Par groupe d'espèces,Indice des oiseaux,,1.142,14.2
2000,Par groupe d'espèces,Indice des oiseaux,,1.1293,12.93
2001,Par groupe d'espèces,Indice des oiseaux,,1.1211,12.11
2002,Par groupe d'espèces,Indice des oiseaux,,1.1112,11.12
2003,Par groupe d'espèces,Indice des oiseaux,,1.1034,10.34
2004,Par groupe d'espèces,Indice des oiseaux,,1.1053,10.53
2005,Par groupe d'espèces,Indice des oiseaux,,1.1111,11.11
2006,Par groupe d'espèces,Indice des oiseaux,,1.1157,11.57
2007,Par groupe d'espèces,Indice des oiseaux,,1.1136,11.36
2008,Par groupe d'espèces,Indice des oiseaux,,1.1053,10.53
2009,Par groupe d'espèces,Indice des oiseaux,,1.0955,9.55
2010,Par groupe d'espèces,Indice des oiseaux,,1.0889,8.89
2011,Par groupe d'espèces,Indice des oiseaux,,1.0859,8.59
2012,Par groupe d'espèces,Indice des oiseaux,,1.0825,8.25
2013,Par groupe d'espèces,Indice des oiseaux,,1.0756,7.56
2014,Par groupe d'espèces,Indice des oiseaux,,1.0674,6.74
2015,Par groupe d'espèces,Indice des oiseaux,,1.0608,6.08
2016,Par groupe d'espèces,Indice des oiseaux,,1.0573,5.73
2017,Par groupe d'espèces,Indice des oiseaux,,1.0567,5.67
2018,Par groupe d'espèces,Indice des oiseaux,,1.0579,5.79
1970,Par groupe d'espèces,Indice des mammifères,,1.0,0.0
1971,Par groupe d'espèces,Indice des mammifères,,0.9119,-8.81
1972,Par groupe d'espèces,Indice des mammifères,,0.8407,-15.93
1973,Par groupe d'espèces,Indice des mammifères,,0.7807,-21.93
1974,Par groupe d'espèces,Indice des mammifères,,0.6934,-30.66
1975,Par groupe d'espèces,Indice des mammifères,,0.6442,-35.58
1976,Par groupe d'espèces,Indice des mammifères,,0.6269,-37.31
1977,Par groupe d'espèces,Indice des mammifères,,0.6278,-37.22
1978,Par groupe d'espèces,Indice des mammifères,,0.6579,-34.21
1979,Par groupe d'espèces,Indice des mammifères,,0.684,-31.6
1980,Par groupe d'espèces,Indice des mammifères,,0.7192,-28.08
1981,Par groupe d'espèces,Indice des mammifères,,0.7559,-24.41
1982,Par groupe d'espèces,Indice des mammifères,,0.7445,-25.55
1983,Par groupe d'espèces,Indice des mammifères,,0.727,-27.3
1984,Par groupe d'espèces,Indice des mammifères,,0.7153,-28.47
1985,Par groupe d'espèces,Indice des mammifères,,0.7015,-29.85
1986,Par groupe d'espèces,Indice des mammifères,,0.69,-31.0
1987,Par groupe d'espèces,Indice des mammifères,,0.6756,-32.44
1988,Par groupe d'espèces,Indice des mammifères,,0.687,-31.3
1989,Par groupe d'espèces,Indice des mammifères,,0.7012,-29.88
1990,Par groupe d'espèces,Indice des mammifères,,0.7183,-28.17
1991,Par groupe d'espèces,Indice des mammifères,,0.7308,-26.92
1992,Par groupe d'espèces,Indice des mammifères,,0.732,-26.8
1993,Par groupe d'espèces,Indice des mammifères,,0.7275,-27.25
1994,Par groupe d'espèces,Indice des mammifères,,0.7155,-28.45
1995,Par groupe d'espèces,Indice des mammifères,,0.7321,-26.79
1996,Par groupe d'espèces,Indice des mammifères,,0.7714,-22.86
1997,Par groupe d'espèces,Indice des mammifères,,0.8018,-19.82
1998,Par groupe d'espèces,Indice des mammifères,,0.7965,-20.35
1999,Par groupe d'espèces,Indice des mammifères,,0.7784,-22.16
2000,Par groupe d'espèces,Indice des mammifères,,0.7679,-23.21
2001,Par groupe d'espèces,Indice des mammifères,,0.7506,-24.94
2002,Par groupe d'espèces,Indice des mammifères,,0.7368,-26.32
2003,Par groupe d'espèces,Indice des mammifères,,0.7399,-26.01
2004,Par groupe d'espèces,Indice des mammifères,,0.7624,-23.76
2005,Par groupe d'espèces,Indice des mammifères,,0.7859,-21.41
2006,Par groupe d'espèces,Indice des mammifères,,0.8045,-19.55
2007,Par groupe d'espèces,Indice des mammifères,,0.8203,-17.97
2008,Par groupe d'espèces,Indice des mammifères,,0.8243,-17.57
2009,Par groupe d'espèces,Indice des mammifères,,0.8176,-18.24
2010,Par groupe d'espèces,Indice des mammifères,,0.7964,-20.36
2011,Par groupe d'espèces,Indice des mammifères,,0.7612,-23.88
2012,Par groupe d'espèces,Indice des mammifères,,0.6968,-30.32
2013,Par groupe d'espèces,Indice des mammifères,,0.6711,-32.89
2014,Par groupe d'espèces,Indice des mammifères,,0.6317,-36.83
2015,Par groupe d'espèces,Indice des mammifères,,0.6255,-37.45
2016,Par groupe d'espèces,Indice des mammifères,,0.6301,-36.99
2017,Par groupe d'espèces,Indice des mammifères,,0.5732,-42.68
2018,Par groupe d'espèces,Indice des mammifères,,0.5774,-42.26
1970,Par groupe d'espèces,Indice des poissons,,1.0,0.0
1971,Par groupe d'espèces,Indice des poissons,,1.0568,5.68
1972,Par groupe d'espèces,Indice des poissons,,1.1005,10.05
1973,Par groupe d'espèces,Indice des poissons,,1.1251,12.51
1974,Par groupe d'espèces,Indice des poissons,,1.1415,14.15
1975,Par groupe d'espèces,Indice des poissons,,1.1451,14.51
1976,Par groupe d'espèces,Indice des poissons,,1.1321,13.21
1977,Par groupe d'espèces,Indice des poissons,,1.1208,12.08
1978,Par groupe d'espèces,Indice des poissons,,1.1097,10.97
1979,Par groupe d'espèces,Indice des poissons,,1.1066,10.66
1980,Par groupe d'espèces,Indice des poissons,,1.1037,10.37
1981,Par groupe d'espèces,Indice des poissons,,1.0993,9.93
1982,Par groupe d'espèces,Indice des poissons,,1.0931,9.31
1983,Par groupe d'espèces,Indice des poissons,,1.0883,8.83
1984,Par groupe d'espèces,Indice des poissons,,1.0878,8.78
1985,Par groupe d'espèces,Indice des poissons,,1.0911,9.11
1986,Par groupe d'espèces,Indice des poissons,,1.077,7.7
1987,Par groupe d'espèces,Indice des poissons,,1.051,5.1
1988,Par groupe d'espèces,Indice des poissons,,1.0214,2.14
1989,Par groupe d'espèces,Indice des poissons,,0.9879,-1.21
1990,Par groupe d'espèces,Indice des poissons,,0.9587,-4.13
1991,Par groupe d'espèces,Indice des poissons,,0.9373,-6.27
1992,Par groupe d'espèces,Indice des poissons,,0.9239,-7.61
1993,Par groupe d'espèces,Indice des poissons,,0.9319,-6.81
1994,Par groupe d'espèces,Indice des poissons,,0.9601,-3.99
1995,Par groupe d'espèces,Indice des poissons,,0.9709,-2.91
1996,Par groupe d'espèces,Indice des poissons,,0.968,-3.2
1997,Par groupe d'espèces,Indice des poissons,,0.954,-4.6
1998,Par groupe d'espèces,Indice des poissons,,0.9336,-6.64
1999,Par groupe d'espèces,Indice des poissons,,0.9205,-7.95
2000,Par groupe d'espèces,Indice des poissons,,0.9145,-8.55
2001,Par groupe d'espèces,Indice des poissons,,0.9151,-8.49
2002,Par groupe d'espèces,Indice des poissons,,0.9078,-9.22
2003,Par groupe d'espèces,Indice des poissons,,0.9027,-9.73
2004,Par groupe d'espèces,Indice des poissons,,0.8703,-12.97
2005,Par groupe d'espèces,Indice des poissons,,0.857,-14.3
2006,Par groupe d'espèces,Indice des poissons,,0.8539,-14.61
2007,Par groupe d'espèces,Indice des poissons,,0.8477,-15.23
2008,Par groupe d'espèces,Indice des poissons,,0.8384,-16.16
2009,Par groupe d'espèces,Indice des poissons,,0.8361,-16.39
2010,Par groupe d'espèces,Indice des poissons,,0.8331,-16.69
2011,Par groupe d'espèces,Indice des poissons,,0.8312,-16.88
2012,Par groupe d'espèces,Indice des poissons,,0.8164,-18.36
2013,Par groupe d'espèces,Indice des poissons,,0.791,-20.9
2014,Par groupe d'espèces,Indice des poissons,,0.7731,-22.69
2015,Par groupe d'espèces,Indice des poissons,,0.7642,-23.58
2016,Par groupe d'espèces,Indice des poissons,,0.772,-22.8
2017,Par groupe d'espèces,Indice des poissons,,0.7345,-26.55
2018,Par groupe d'espèces,Indice des poissons,,0.7019,-29.81
1970,Par système,,,1.0,0.0
1971,Par système,,,1.0145,1.45
1972,Par système,,,1.0266,2.66
1973,Par système,,,1.0352,3.52
1974,Par système,,,1.0398,3.98
1975,Par système,,,1.0453,4.53
1976,Par système,,,1.0485,4.85
1977,Par système,,,1.0503,5.03
1978,Par système,,,1.0559,5.59
1979,Par système,,,1.0634,6.34
