Year,Type de violence physique ou sexuelle subie durant l'enfance,Géographie,Genre,Groupe d'âge,Status d'immigrant,Minorité visible,Identité autochtone,Incapacité,Orientation sexuelle,GeoCode,Value
2018,,,,,,,,,,,27.04
2018,Violence physique ou sexuelle,Canada,Genre masculin,"Total, âge",,,,,,,26.13
2018,Violence physique ou sexuelle,Canada,Genre féminin,"Total, âge",,,,,,,27.87
2018,Violence physique ou sexuelle,Canada,"Total, genre",15 à 24 ans,,,,,,,20.19
2018,Violence physique ou sexuelle,Canada,Genre masculin,15 à 24 ans,,,,,,,19.87
2018,Violence physique ou sexuelle,Canada,Genre féminin,15 à 24 ans,,,,,,,20.58
2018,Violence physique ou sexuelle,Canada,"Total, genre",25 à 34 ans,,,,,,,24.82
2018,Violence physique ou sexuelle,Canada,Genre masculin,25 à 34 ans,,,,,,,21.61
2018,Violence physique ou sexuelle,Canada,Genre féminin,25 à 34 ans,,,,,,,27.7
2018,Violence physique ou sexuelle,Canada,"Total, genre",35 à 44 ans,,,,,,,29.05
2018,Violence physique ou sexuelle,Canada,Genre masculin,35 à 44 ans,,,,,,,27.3
2018,Violence physique ou sexuelle,Canada,Genre féminin,35 à 44 ans,,,,,,,30.7
2018,Violence physique ou sexuelle,Canada,"Total, genre",45 à 54 ans,,,,,,,32.0
2018,Violence physique ou sexuelle,Canada,Genre masculin,45 à 54 ans,,,,,,,31.34
2018,Violence physique ou sexuelle,Canada,Genre féminin,45 à 54 ans,,,,,,,32.65
2018,Violence physique,Canada,"Total, genre","Total, âge",,,,,,,23.54
2018,Violence physique,Canada,Genre masculin,"Total, âge",,,,,,,24.8
2018,Violence physique,Canada,Genre féminin,"Total, âge",,,,,,,22.26
2018,Violence physique,Canada,"Total, genre",15 à 24 ans,,,,,,,18.77
2018,Violence physique,Canada,Genre masculin,15 à 24 ans,,,,,,,19.39
2018,Violence physique,Canada,Genre féminin,15 à 24 ans,,,,,,,18.17
2018,Violence physique,Canada,"Total, genre",25 à 34 ans,,,,,,,22.54
2018,Violence physique,Canada,Genre masculin,25 à 34 ans,,,,,,,20.86
2018,Violence physique,Canada,Genre féminin,25 à 34 ans,,,,,,,23.85
2018,Violence physique,Canada,"Total, genre",35 à 44 ans,,,,,,,25.16
2018,Violence physique,Canada,Genre masculin,35 à 44 ans,,,,,,,25.82
2018,Violence physique,Canada,Genre féminin,35 à 44 ans,,,,,,,24.41
2018,Violence physique,Canada,"Total, genre",45 à 54 ans,,,,,,,27.66
2018,Violence physique,Canada,Genre masculin,45 à 54 ans,,,,,,,29.42
2018,Violence physique,Canada,Genre féminin,45 à 54 ans,,,,,,,25.91
2018,Violence sexuelle,Canada,"Total, genre","Total, âge",,,,,,,7.77
2018,Violence sexuelle,Canada,Genre masculin,"Total, âge",,,,,,,3.7
2018,Violence sexuelle,Canada,Genre féminin,"Total, âge",,,,,,,11.76
2018,Violence sexuelle,Canada,"Total, genre",15 à 24 ans,,,,,,,3.14
2018,Violence sexuelle,Canada,Genre masculin,15 à 24 ans,,,,,,,1.33
2018,Violence sexuelle,Canada,Genre féminin,15 à 24 ans,,,,,,,5.1
2018,Violence sexuelle,Canada,"Total, genre",25 à 34 ans,,,,,,,5.33
2018,Violence sexuelle,Canada,Genre masculin,25 à 34 ans,,,,,,,2.2
2018,Violence sexuelle,Canada,Genre féminin,25 à 34 ans,,,,,,,8.51
2018,Violence sexuelle,Canada,"Total, genre",35 à 44 ans,,,,,,,8.99
2018,Violence sexuelle,Canada,Genre masculin,35 à 44 ans,,,,,,,4.46
2018,Violence sexuelle,Canada,Genre féminin,35 à 44 ans,,,,,,,13.44
2018,Violence sexuelle,Canada,"Total, genre",45 à 54 ans,,,,,,,10.52
2018,Violence sexuelle,Canada,Genre masculin,45 à 54 ans,,,,,,,5.31
2018,Violence sexuelle,Canada,Genre féminin,45 à 54 ans,,,,,,,15.71
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,"Total, genre","Total, âge",,,,,,10,18.92
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,Genre masculin,"Total, âge",,,,,,10,18.91
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,Genre féminin,"Total, âge",,,,,,10,18.97
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,"Total, genre",25 à 34 ans,,,,,,10,12.91
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,Genre féminin,25 à 34 ans,,,,,,10,18.28
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,"Total, genre",35 à 44 ans,,,,,,10,17.17
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,Genre masculin,35 à 44 ans,,,,,,10,13.44
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,Genre féminin,35 à 44 ans,,,,,,10,20.57
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,"Total, genre",45 à 54 ans,,,,,,10,27.36
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,Genre masculin,45 à 54 ans,,,,,,10,27.48
2018,Violence physique ou sexuelle,Terre-Neuve-et-Labrador,Genre féminin,45 à 54 ans,,,,,,10,27.25
2018,Violence physique,Terre-Neuve-et-Labrador,"Total, genre","Total, âge",,,,,,10,15.92
2018,Violence physique,Terre-Neuve-et-Labrador,Genre masculin,"Total, âge",,,,,,10,18.32
2018,Violence physique,Terre-Neuve-et-Labrador,Genre féminin,"Total, âge",,,,,,10,13.69
2018,Violence physique,Terre-Neuve-et-Labrador,"Total, genre",25 à 34 ans,,,,,,10,11.04
2018,Violence physique,Terre-Neuve-et-Labrador,Genre féminin,25 à 34 ans,,,,,,10,15.41
2018,Violence physique,Terre-Neuve-et-Labrador,"Total, genre",35 à 44 ans,,,,,,10,14.09
2018,Violence physique,Terre-Neuve-et-Labrador,Genre masculin,35 à 44 ans,,,,,,10,13.44
2018,Violence physique,Terre-Neuve-et-Labrador,Genre féminin,35 à 44 ans,,,,,,10,14.68
2018,Violence physique,Terre-Neuve-et-Labrador,"Total, genre",45 à 54 ans,,,,,,10,21.01
2018,Violence physique,Terre-Neuve-et-Labrador,Genre masculin,45 à 54 ans,,,,,,10,27.04
2018,Violence physique,Terre-Neuve-et-Labrador,Genre féminin,45 à 54 ans,,,,,,10,15.35
2018,Violence sexuelle,Terre-Neuve-et-Labrador,"Total, genre","Total, âge",,,,,,10,6.0
2018,Violence sexuelle,Terre-Neuve-et-Labrador,Genre masculin,"Total, âge",,,,,,10,2.63
2018,Violence sexuelle,Terre-Neuve-et-Labrador,Genre féminin,"Total, âge",,,,,,10,9.2
2018,Violence sexuelle,Terre-Neuve-et-Labrador,"Total, genre",35 à 44 ans,,,,,,10,6.57
2018,Violence sexuelle,Terre-Neuve-et-Labrador,Genre féminin,35 à 44 ans,,,,,,10,10.96
2018,Violence sexuelle,Terre-Neuve-et-Labrador,"Total, genre",45 à 54 ans,,,,,,10,10.86
2018,Violence sexuelle,Terre-Neuve-et-Labrador,Genre féminin,45 à 54 ans,,,,,,10,17.15
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,"Total, genre","Total, âge",,,,,,11,24.18
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,Genre masculin,"Total, âge",,,,,,11,22.29
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,Genre féminin,"Total, âge",,,,,,11,26.05
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,"Total, genre",25 à 34 ans,,,,,,11,23.29
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,Genre féminin,25 à 34 ans,,,,,,11,22.31
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,"Total, genre",35 à 44 ans,,,,,,11,16.81
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,Genre féminin,35 à 44 ans,,,,,,11,22.16
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,"Total, genre",45 à 54 ans,,,,,,11,29.37
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,Genre masculin,45 à 54 ans,,,,,,11,30.38
2018,Violence physique ou sexuelle,Île-du-Prince-Édouard,Genre féminin,45 à 54 ans,,,,,,11,28.3
2018,Violence physique,Île-du-Prince-Édouard,"Total, genre","Total, âge",,,,,,11,21.11
2018,Violence physique,Île-du-Prince-Édouard,Genre masculin,"Total, âge",,,,,,11,21.56
2018,Violence physique,Île-du-Prince-Édouard,Genre féminin,"Total, âge",,,,,,11,20.67
2018,Violence physique,Île-du-Prince-Édouard,"Total, genre",25 à 34 ans,,,,,,11,23.29
2018,Violence physique,Île-du-Prince-Édouard,Genre féminin,25 à 34 ans,,,,,,11,22.31
2018,Violence physique,Île-du-Prince-Édouard,"Total, genre",35 à 44 ans,,,,,,11,13.04
2018,Violence physique,Île-du-Prince-Édouard,Genre féminin,35 à 44 ans,,,,,,11,15.04
2018,Violence physique,Île-du-Prince-Édouard,"Total, genre",45 à 54 ans,,,,,,11,27.57
2018,Violence physique,Île-du-Prince-Édouard,Genre masculin,45 à 54 ans,,,,,,11,30.38
2018,Violence physique,Île-du-Prince-Édouard,Genre féminin,45 à 54 ans,,,,,,11,24.62
2018,Violence sexuelle,Île-du-Prince-Édouard,"Total, genre","Total, âge",,,,,,11,7.22
2018,Violence sexuelle,Île-du-Prince-Édouard,Genre masculin,"Total, âge",,,,,,11,2.18
2018,Violence sexuelle,Île-du-Prince-Édouard,Genre féminin,"Total, âge",,,,,,11,12.19
2018,Violence sexuelle,Île-du-Prince-Édouard,"Total, genre",35 à 44 ans,,,,,,11,8.06
2018,Violence sexuelle,Île-du-Prince-Édouard,Genre féminin,35 à 44 ans,,,,,,11,15.25
2018,Violence sexuelle,Île-du-Prince-Édouard,"Total, genre",45 à 54 ans,,,,,,11,7.41
2018,Violence sexuelle,Île-du-Prince-Édouard,Genre féminin,45 à 54 ans,,,,,,11,13.21
