Year,Genre,Groupe d'âge,Géographie,GeoCode,Value
2018,"Total, genre",15 à 24 ans,Canada,,3.14
2018,Genre masculin,15 à 24 ans,Canada,,1.33
2018,Genre féminin,15 à 24 ans,Canada,,5.1
2018,"Total, genre",25 à 34 ans,Canada,,5.33
2018,Genre masculin,25 à 34 ans,Canada,,2.2
2018,Genre féminin,25 à 34 ans,Canada,,8.51
2018,"Total, genre",25 à 34 ans,Nouvelle-Écosse,12,7.22
2018,Genre féminin,25 à 34 ans,Nouvelle-Écosse,12,12.24
2018,"Total, genre",25 à 34 ans,Québec,24,4.26
2018,Genre masculin,25 à 34 ans,Québec,24,2.47
2018,Genre féminin,25 à 34 ans,Québec,24,6.07
2018,"Total, genre",15 à 24 ans,Ontario,35,3.54
2018,Genre féminin,15 à 24 ans,Ontario,35,6.27
2018,"Total, genre",25 à 34 ans,Ontario,35,4.45
2018,Genre masculin,25 à 34 ans,Ontario,35,1.38
2018,Genre féminin,25 à 34 ans,Ontario,35,7.5
2018,"Total, genre",15 à 24 ans,Manitoba,46,5.1
2018,"Total, genre",25 à 34 ans,Manitoba,46,6.18
2018,Genre féminin,25 à 34 ans,Manitoba,46,11.4
2018,"Total, genre",15 à 24 ans,Saskatchewan,47,3.36
2018,Genre féminin,15 à 24 ans,Saskatchewan,47,5.76
2018,"Total, genre",25 à 34 ans,Saskatchewan,47,3.88
2018,Genre féminin,25 à 34 ans,Saskatchewan,47,7.27
2018,"Total, genre",15 à 24 ans,Alberta,48,2.76
2018,Genre féminin,15 à 24 ans,Alberta,48,5.68
2018,"Total, genre",25 à 34 ans,Alberta,48,7.04
2018,Genre féminin,25 à 34 ans,Alberta,48,12.66
2018,"Total, genre",15 à 24 ans,Colombie-Britannique,59,2.72
2018,"Total, genre",25 à 34 ans,Colombie-Britannique,59,7.95
2018,Genre masculin,25 à 34 ans,Colombie-Britannique,59,5.67
2018,Genre féminin,25 à 34 ans,Colombie-Britannique,59,10.31
2018,"Total, genre",25 à 34 ans,Yukon,60,11.87
2018,Genre féminin,25 à 34 ans,Yukon,60,13.73
2018,"Total, genre",25 à 34 ans,Territoires du Nord-Ouest,61,10.79
2018,Genre féminin,25 à 34 ans,Territoires du Nord-Ouest,61,14.2
2018,"Total, genre",25 à 34 ans,Nunavut,62,13.24
2018,Genre féminin,25 à 34 ans,Nunavut,62,19.94
