Year,Series,Éléments,Catégories de données,Pilier,Value
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Population et statistiques démographiques,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements d'enseignement,,50.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière d'éducation,,50.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements de soins de santé,,50.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière de santé,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Santé reproductive,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Statistiques sur le genre,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pauvreté et revenus,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques sociales,,81.3
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Comptes nationaux,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Travail,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Indices de prix,,50.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Finances gouvernementales,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Monnaie et banque,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Commerce international,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Balance des paiements,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques économiques et financières,,92.9
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Agriculture et utilisation des terres,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Utilisation des ressources,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Consommation d'énergie,,100.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pollution,,50.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Environnement bâti,,50.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score de l'environnement,,80.0
2016,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Toutes les catégories,,84.7
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Population et statistiques démographiques,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements d'enseignement,,50.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière d'éducation,,50.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements de soins de santé,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière de santé,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Santé reproductive,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Statistiques sur le genre,,50.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Criminalité et justice,,50.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pauvreté et revenus,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques sociales,,77.8
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Comptes nationaux,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Travail,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Indices de prix,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Finances gouvernementales,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Monnaie et banque,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Commerce international,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Balance des paiements,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques économiques et financières,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Agriculture et utilisation des terres,,50.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Utilisation des ressources,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Consommation d'énergie,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pollution,,100.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Environnement bâti,,50.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score de l'environnement,,80.0
2017,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Toutes les catégories,,85.9
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Population et statistiques démographiques,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements d'enseignement,,50.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière d'éducation,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements de soins de santé,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière de santé,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Santé reproductive,,50.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Statistiques sur le genre,,50.0
